"Presidency","Presidency__URI","Presidency (period)","President","President__URI","Prior office","Prior office__URI","Party","Party__URI","Election","Election__URI","Vice President","Vice President__URI"
"38","http://dbpedia.org/resource/Presidency_of_Gerald_Ford","August 9, 1974 – January 20, 1978","Gerald Ford","http://dbpedia.org/resource/Gerald_Ford","40th vice president of the United States","http://dbpedia.org/resource/Vice_president_of_the_United_States","Republican","http://dbpedia.org/resource/Republican_Party_(United_States)","1972","http://dbpedia.org/resource/United_States_presidential_election,_1972","Nelson Rockefeller","http://dbpedia.org/resource/Nelson_Rockefeller"
"39","http://dbpedia.org/resource/Presidency_of_Jimmy_Carter","January 20, 1977 – January 20, 1981","Jimmy Carter","http://dbpedia.org/resource/Jimmy_Carter","76th governor of Georgia","http://dbpedia.org/resource/Governor_of_Georgia","Democratic","http://dbpedia.org/resource/Democratic_Party_(United_States)","1976","http://dbpedia.org/resource/United_States_presidential_election,_1976","Walter Mondale","http://dbpedia.org/resource/Walter_Mondale"
"40","http://dbpedia.org/resource/Presidency_of_Ronald_Reagan","January 20, 1981 – January 20, 1989","Ronald Reagan","http://dbpedia.org/resource/Ronald_Reagan","33rd governor of California","http://dbpedia.org/resource/Governor_of_California","Republican","http://dbpedia.org/resource/Republican_Party_(United_States)","1980","http://dbpedia.org/resource/United_States_presidential_election,_1980","George H. W. Bush","http://dbpedia.org/resource/George_H._W._Bush"
"40","http://dbpedia.org/resource/Presidency_of_Ronald_Reagan","January 20, 1981 – January 20, 1989","Ronald Reagan","http://dbpedia.org/resource/Ronald_Reagan","33rd governor of California","http://dbpedia.org/resource/Governor_of_California","Republican","http://dbpedia.org/resource/Republican_Party_(United_States)","1984","http://dbpedia.org/resource/United_States_presidential_election,_1984","George H. W. Bush","http://dbpedia.org/resource/George_H._W._Bush"
"41","http://dbpedia.org/resource/Presidency_of_George_H._W._Bush","January 20, 1989 – January 20, 1993","George H. W. Bush","http://dbpedia.org/resource/George_H._W._Bush","43rd vice president of the United States","http://dbpedia.org/resource/Vice_president_of_the_United_States","Republican","http://dbpedia.org/resource/Republican_Party_(United_States)","1988","http://dbpedia.org/resource/United_States_presidential_election,_1988","Dan Quayle","http://dbpedia.org/resource/Dan_Quayle"
"42","http://dbpedia.org/resource/Presidency_of_Bill_Clinton","January 20, 1993 – January 20, 2001","Bill Clinton","http://dbpedia.org/resource/Bill_Clinton","40th & 42nd governor of Arkansas","http://dbpedia.org/resource/Governor_of_Arkansas","Democratic","http://dbpedia.org/resource/Democratic_Party_(United_States)","1992","http://dbpedia.org/resource/United_States_presidential_election,_1992","Al Gore","http://dbpedia.org/resource/Al_Gore"
"42","http://dbpedia.org/resource/Presidency_of_Bill_Clinton","January 20, 1993 – January 20, 2001","Bill Clinton","http://dbpedia.org/resource/Bill_Clinton","40th & 42nd governor of Arkansas","http://dbpedia.org/resource/Governor_of_Arkansas","Democratic","http://dbpedia.org/resource/Democratic_Party_(United_States)","1996","http://dbpedia.org/resource/United_States_presidential_election,_1996","Al Gore","http://dbpedia.org/resource/Al_Gore"
"43","http://dbpedia.org/resource/Presidency_of_George_W._Bush","January 20, 2001 – January 20, 2009","George W. Bush","http://dbpedia.org/resource/George_W._Bush","46th governor of Texas","http://dbpedia.org/resource/Governor_of_Texas","Republican","http://dbpedia.org/resource/Republican_Party_(United_States)","2000","http://dbpedia.org/resource/United_States_presidential_election,_2000","Dick Cheney","http://dbpedia.org/resource/Dick_Cheney"
"43","http://dbpedia.org/resource/Presidency_of_George_W._Bush","January 20, 2001 – January 20, 2009","George W. Bush","http://dbpedia.org/resource/George_W._Bush","46th governor of Texas","http://dbpedia.org/resource/Governor_of_Texas","Republican","http://dbpedia.org/resource/Republican_Party_(United_States)","2004","http://dbpedia.org/resource/United_States_presidential_election,_2004","Dick Cheney","http://dbpedia.org/resource/Dick_Cheney"
"44","http://dbpedia.org/resource/Presidency_of_Barack_Obama","January 20, 2009 – January 20, 2017","Barack Obama","http://dbpedia.org/resource/Barack_Obama","U.S. senator from Illinois","http://dbpedia.org/resource/U.S._senator","Democratic","http://dbpedia.org/resource/Democratic_Party_(United_States)","2008","http://dbpedia.org/resource/United_States_presidential_election,_2008","Joe Biden","http://dbpedia.org/resource/Joe_Biden"
"44","http://dbpedia.org/resource/Presidency_of_Barack_Obama","January 20, 2009 – January 20, 2017","Barack Obama","http://dbpedia.org/resource/Barack_Obama","U.S. senator from Illinois","http://dbpedia.org/resource/U.S._senator","Democratic","http://dbpedia.org/resource/Democratic_Party_(United_States)","2012","http://dbpedia.org/resource/United_States_presidential_election,_2012","Joe Biden","http://dbpedia.org/resource/Joe_Biden"
"45","","January 20, 2017 – Incumbent","Donald Trump","http://dbpedia.org/resource/Donald_Trump","President and Chairman of The Trump Organization","","Republican","http://dbpedia.org/resource/Republican_Party_(United_States)","2016","http://dbpedia.org/resource/United_States_presidential_election,_2016","Mike Pence","http://dbpedia.org/resource/Mike_Pence"
