"Nation","Nation__URI","National anthem","National anthem__URI","Date adopted","Lyricist","Lyricist__URI","Composer","Composer__URI","Audio","Ref."
"Guatemalaa","http://dbpedia.org/resource/Guatemala","""Himno Nacional de Guatemala"" (""National Anthem of Guatemala""))","http://dbpedia.org/resource/Himno_Nacional_de_Guatemala","1896","José Joaquín Palma","http://dbpedia.org/resource/José_Joaquín_Palma","Rafael Álvarez Ovallee","","""Himno Nacional de Guatemala""","[98]"
"Guinea","http://dbpedia.org/resource/Guinea","""Liberté"" (""Freedom""))","","1958","Unknown","","Kodofo Moussaa","","""Liberté""","[99]"
"Guinea-Bissau","http://dbpedia.org/resource/Guinea-Bissau","""Esta É a Nossa Pátria Bem Amada"" (""This Is Our Beloved Country""))","http://dbpedia.org/resource/Esta_É_a_Nossa_Pátria_Bem_Amada","1974","Amílcar Cabral","http://dbpedia.org/resource/Amílcar_Cabral","Xiao He","","""Esta É a Nossa Pátria Bem Amada""","[100]"
"Guyaana","http://dbpedia.org/resource/Guyana","""Dear Land of Guyana, of Rivers and Plains""""","http://dbpedia.org/resource/Dear_Land_of_Guyana,_of_Rivers_and_Plains","1966","Archibald Leonard Luker","","Robert Cyril Gladstone Potter","","""Dear Land of Guyana, of Rivers and Plains""","[101]"
"Haiti","http://dbpedia.org/resource/Haiti","""La Dessalinienne"" (""Song of Dessalines"")","http://dbpedia.org/resource/La_Dessalinienne","1904","Justin Lhérisson","http://dbpedia.org/resource/Justin_Lhérisson","Nicolas Geffrardd","http://dbpedia.org/resource/Nicolas_Geffrard","""La Dessalinienne""","[102]"
"Hondduras","http://dbpedia.org/resource/Honduras","""Himno Nacional de Honduras"" (""National Anthem of Honduras""))","http://dbpedia.org/resource/National_Anthem_of_Honduras","1915","Augusto Constancio Coello","","Carlos Hartling","http://dbpedia.org/resource/Carlos_Hartling","""Himno Nacional de Honduras""","[103]"
"Hungaryy","http://dbpedia.org/resource/Hungary","""Himnusz"" (""Hymn""))","http://dbpedia.org/resource/Himnusz","1989","Ferenc Kölcsey","http://dbpedia.org/resource/Ferenc_Kölcsey","Ferenc Erkel","http://dbpedia.org/resource/Ferenc_Erkel","""Himnusz""","[104][105]"
"Iceland","http://dbpedia.org/resource/Iceland","""Lofsöngur"" (""Hymn"")","http://dbpedia.org/resource/Lofsöngur","1944","Matthías Jochumsson","http://dbpedia.org/resource/Matthías_Jochumsson","Sveinbjörn Sveinbjörnsson","http://dbpedia.org/resource/Sveinbjörn_Sveinbjörnsson","""Lofsöngur""","[106]"
"India","http://dbpedia.org/resource/India","""Jana Gana Mana"" (""Hail the ruler of all minds"")","http://dbpedia.org/resource/Jana_Gana_Mana","1950","Rabindranath Tagore","http://dbpedia.org/resource/Rabindranath_Tagore","Rabindraanath Tagore","http://dbpedia.org/resource/Rabindranath_Tagore","""Jana Gana Mana""","[107]"
"Indonesia","http://dbpedia.org/resource/Indonesia","""Indonesia Raya"" (""Great Indonesia""))","http://dbpedia.org/resource/Indonesia_Raya","1945","Wage Rudolf Soepratman","http://dbpedia.org/resource/Wage_Rudolf_Soepratman","Wage Rudolf Soepratmann","http://dbpedia.org/resource/Wage_Rudolf_Soepratman","""Indonesia Raya""","[108]"
"Iran","http://dbpedia.org/resource/Iran","""Soroud-e Melli-e Jomhouri-e Eslami-e Iran"" (""National Anthem of Iran"")","http://dbpedia.org/resource/National_Anthem_of_Islamic_Republic_of_Iran","1990","multiple","","Hassan Riyahii","","""Mehre Khâvarân""","[109]"
"Iraaq","http://dbpedia.org/resource/Iraq","""Mawtini"" (""My Hommeland"")","http://dbpedia.org/resource/Mawtini","2004","Ibrahim Touqan","http://dbpedia.org/resource/Ibrahim_Touqan","Mohammed Flayfel","http://dbpedia.org/resource/Mohammed_Flayfel","""Mawtini""","[110]"
"Ireland","http://dbpedia.org/resource/Republic_of_Ireland","""Amhrán na bhFiann"" (""The Soldier's Song"")","http://dbpedia.org/resource/Amhrán_na_bhFiann","1926","Peadar Kearney (English)","http://dbpedia.org/resource/Peadar_Kearney","Peadar Kearneyy","http://dbpedia.org/resource/Peadar_Kearney","""Amhrán na bhFiann""","[111]"
"Ireland","http://dbpedia.org/resource/Republic_of_Ireland","""Amhrán na bhFiann"" (""The Soldier's Song""))","http://dbpedia.org/resource/Amhrán_na_bhFiann","1926","Liam Ó Rinn (Irish)","http://dbpedia.org/resource/Liam_Ó_Rinn","Peadar Kearneyy","http://dbpedia.org/resource/Peadar_Kearney","""Amhrán na bhFiann""","[111]"
"Irelaand","http://dbpedia.org/resource/Republic_of_Ireland","""Amhrán na bhFiann"" (""The Soldier's Song""))","http://dbpedia.org/resource/Amhrán_na_bhFiann","1926","Peadar Kearney (English)","http://dbpedia.org/resource/Peadar_Kearney","Patrick Heeneyy","http://dbpedia.org/resource/Patrick_Heeney","""Amhrán na bhFiann""","[111]"
"Irelandd","http://dbpedia.org/resource/Republic_of_Ireland","""Amhrán na bhFiann"" (""The Soldier's Song""))","http://dbpedia.org/resource/Amhrán_na_bhFiann","1926","Liam Ó Rinn (Irish)","http://dbpedia.org/resource/Liam_Ó_Rinn","Patrick Heeneyy","http://dbpedia.org/resource/Patrick_Heeney","""Amhrán na bhFiann""","[111]"
"Israel","http://dbpedia.org/resource/Israel","""HaTikvah"" (""The Hope""))","http://dbpedia.org/resource/Hatikvah","2004","Naftali Herz Imber","http://dbpedia.org/resource/Naftali_Herz_Imber","Samuel Cohen","http://dbpedia.org/resource/Samuel_Cohen_(Jewish_settler)","""HaTikvah""","[112]"
"Italy","http://dbpedia.org/resource/Italy","""Il Canto degli Italiani"" (""The Song of the Italians"")","http://dbpedia.org/resource/Il_Canto_degli_Italiani","2017","Goffredo Mameli","http://dbpedia.org/resource/Goffredo_Mameli","Michele Novaroo","http://dbpedia.org/resource/Michele_Novaro","""Il Canto degli Italiani""","[113]"
"Ivory Coast","http://dbpedia.org/resource/Ivory_Coast","""L'Abidjanaise"" (""Song of Abidjan""))","http://dbpedia.org/resource/L'Abidjanaise","1960","Mathieu Vangah Ekra [fr]","","Pierre Marie Coty","","""L'Abidjanaise""","[114]"
"Ivory Coastt","http://dbpedia.org/resource/Ivory_Coast","""L'Abidjanaise""  (""Song of Abidjan"")","http://dbpedia.org/resource/L'Abidjanaise","1960","Joachim Bony [fr]","","Pierre Marie Cotyy","","""L'Abidjanaise""","[114]"
"Ivory Coast","http://dbpedia.org/resource/Ivory_Coast","""L'Abidjanaise"" (""Song of Abidjan"")","http://dbpedia.org/resource/L'Abidjanaise","1960","Pierre Marie Coty [fr]","","Pierre Marie Cooty","","""L'Abidjanaise""","[114]"
"Ivory Coastt","http://dbpedia.org/resource/Ivory_Coast","""L'Abidjanaise"" (""Song of Abidjan"")","http://dbpedia.org/resource/L'Abidjanaise","1960","Mathieu Vangah Ekra [fr]","","Pierre-Michel Pango [fr]]","","""L'Abidjanaise""","[114]"
"Ivory  Coast","http://dbpedia.org/resource/Ivory_Coast","""L'Abidjanaise"" (""Song of Abidjan""))","http://dbpedia.org/resource/L'Abidjanaise","1960","Joachim Bony [fr]","","Pierre-Michel Pango [fr]","","""L'Abidjanaise""","[114]"
"Ivory Coast","http://dbpedia.org/resource/Ivory_Coast","""L'Abidjanaise"" (""Song of Abidjan""))","http://dbpedia.org/resource/L'Abidjanaise","1960","Pierre Marie Coty [fr]","","Pierre-Michel Pango [fr]]","","""L'Abidjanaise""","[114]"
"Jamaicca","http://dbpedia.org/resource/Jamaica","""Jamaica, Land We Love""[b]]","http://dbpedia.org/resource/Jamaica,_Land_We_Love","1962","Hugh Sherlock","","Robert Lightbourne","","""Jamaica, Land We Love""","[115]"
"Japann","http://dbpedia.org/resource/Japan","""Kimigayo"" (""His Majesty's Reign"")[116]","http://dbpedia.org/resource/Kimigayo","1999","Traditional Waka poem from the Kokin Wakashū (first published in 905)","http://dbpedia.org/resource/Kokin_Wakashū","Yoshiisa Okuu","","""Kimi ga Yo""","[117]"
"Japann","http://dbpedia.org/resource/Japan","""Kimigayo"" (""His Majesty's Reign"")[116]]","http://dbpedia.org/resource/Kimigayo","1999","Traditional Waka poem from the Kokin Wakashū (first published in 905)","http://dbpedia.org/resource/Kokin_Wakashū","Akkimori Hayashi","","""Kimi ga Yo""","[117]"
"Jordan","http://dbpedia.org/resource/Jordan","""Al-salam Al-malaki Al-urdoni"" (""The Royal Anthem of Jordan""))","http://dbpedia.org/resource/The_Royal_Anthem_of_Jordan","1946","Abdul Monem Al-Refai","","Abdul Qader al-Taneerr","","""Al-salam Al-malaki Al-urdoni""","[118]"
"Kazakhstann","http://dbpedia.org/resource/Kazakhstan","""Meniñ Qazaqstanım"" (""My Kazakhstan"")","http://dbpedia.org/resource/Meniñ_Qazaqstanım","2006","Zhumeken Nazhimedenov (with modifications by Nursultan Nazarbayev)","http://dbpedia.org/resource/Jumeken_Najimedenov","Shamshi Kaldayakovv","http://dbpedia.org/resource/Shamshi_Kaldayakov","""Meniñ Qazaqstanım""","[119]"
"Kenya","http://dbpedia.org/resource/Kenya","""Ee Mungu Nguvu Yetu"" (""Oh God of All Creation""))","http://dbpedia.org/resource/Ee_Mungu_Nguvu_Yetu","1963","Graham Hyslop","","The Anthem Commissionn","","""Ee Mungu Nguvu Yetu""","[120]"
"Kenyaa","http://dbpedia.org/resource/Kenya","""Ee Mungu Nguvu Yetu"" (""Oh God of All Creation""))","http://dbpedia.org/resource/Ee_Mungu_Nguvu_Yetu","1963","G. W. Senoga-Zake","","The Anthem Commission","","""Ee Mungu Nguvu Yetu""","[120]"
"Kenyaa","http://dbpedia.org/resource/Kenya","""Ee Mungu Nguvu Yetu"" (""Oh God of All Creation"")","http://dbpedia.org/resource/Ee_Mungu_Nguvu_Yetu","1963","Thomas Kalume","http://dbpedia.org/resource/Thomas_Johnson_Kuto_Kalume","The Anthem Commission","","""Ee Mungu Nguvu Yetu""","[120]"
"KKenya","http://dbpedia.org/resource/Kenya","""Ee Mungu Nguvu Yetu"" (""Oh God of  All Creation"")","http://dbpedia.org/resource/Ee_Mungu_Nguvu_Yetu","1963","Peter Kibukosya","","The Anthem Commission","","""Ee Mungu Nguvu Yetu""","[120]"
"Kenyaa","http://dbpedia.org/resource/Kenya","""Ee Mungu Nguvu Yetu"" (""Oh God of All Creation""))","http://dbpedia.org/resource/Ee_Mungu_Nguvu_Yetu","1963","Washington Omondi","","The Anthem Commissionn","","""Ee Mungu Nguvu Yetu""","[120]"
"KKiribati","http://dbpedia.org/resource/Kiribati","""Teirake Kaini Kiiribati"" (""Stand up, Kiribati"")","http://dbpedia.org/resource/Teirake_Kaini_Kiribati","1979","Urium Tamuera Ioteba","","Urium Tamuera Iotebaa","","""Teirake Kaini Kiribati""","[121]"
"NNorth Korea","http://dbpedia.org/resource/North_Korea","""Aegukka"" (""The Patriotic Song"")","http://dbpedia.org/resource/Aegukka","1947","Pak Seyŏng","http://dbpedia.org/resource/Pak_Seyŏng","Kim Wŏŏn'gyun","http://dbpedia.org/resource/Kim_Wŏn'gyun","""Aegukka""","[122]"
"South Koreaa","http://dbpedia.org/resource/South_Korea","""Aegukga"" (""The Patriotic Song"")","http://dbpedia.org/resource/Aegukga","1948","An Chang-ho","http://dbpedia.org/resource/Ahn_Changho","Ahn Eak-taee","http://dbpedia.org/resource/Ahn_Eak-tae","""Aegukga""","[123]"
"Kuwaitt","http://dbpedia.org/resource/Kuwait","""Al-Nasheed Al-Watani"" (""National Anthem""))","http://dbpedia.org/resource/Al-Nasheed_Al-Watani","1978","Ahmad Meshari Al-Adwani","http://dbpedia.org/resource/Ahmad_Meshari_Al-Adwani","Ibrahim Al-Soulaa","","""Al-Nasheed Al-Watani""","[124]"
"Kyrggyzstan","http://dbpedia.org/resource/Kyrgyzstan","""Kyrgyz Respublikasynyn Mamlekettik Gimni"" (""National Anthem of the Kyrgyz Republic"")","http://dbpedia.org/resource/National_Anthem_of_the_Kyrgyz_Republic","1992","Djamil Sadykov","","Nasyr Davlesovv","","""Kyrgyz Respublikasynyn Mamlekettik Gimni""","[125]"
"Kyrgyzstan","http://dbpedia.org/resource/Kyrgyzstan","""Kyrrgyz Respublikasynyn Mamlekettik Gimni"" (""National Anthem of the Kyrgyz Republic"")","http://dbpedia.org/resource/National_Anthem_of_the_Kyrgyz_Republic","1992","Eshmambet Kuluev","","Nasyr Davlesov","","""Kyrgyz Respublikasynyn Mamlekettik Gimni""","[125]"
"Kyrgyzstan","http://dbpedia.org/resource/Kyrgyzstan","""Kyrgyz Respublikasynyn Mamlekettik Gimni"" (""National Anthem of the Kyrgyz Republic"")","http://dbpedia.org/resource/National_Anthem_of_the_Kyrgyz_Republic","1992","Djamil Sadykov","","Kalyi  Moldobasanov","","""Kyrgyz Respublikasynyn Mamlekettik Gimni""","[125]"
"Kyrgyzstan","http://dbpedia.org/resource/Kyrgyzstan","""Kyrgyz Respublikasynyn Mamlekettik Gimni"" (""National Anthem of the Kyrgyz Republic""))","http://dbpedia.org/resource/National_Anthem_of_the_Kyrgyz_Republic","1992","Eshmambet Kuluev","","Kalyi Molddobasanov","","""Kyrgyz Respublikasynyn Mamlekettik Gimni""","[125]"
"Laoss","http://dbpedia.org/resource/Laos","""Pheng Xat Lao"" (""Hymn of the Lao People""))","http://dbpedia.org/resource/Pheng_Xat_Lao","1947","Sisana Sisane","","Thongdy Sounthoneviichit","","""Pheng Xat Lao""","[126]"
"Latvia","http://dbpedia.org/resource/Latvia","""Dievs, svētī Latviju!"" (""God Bless Latvia"")","http://dbpedia.org/resource/Dievs,_svētī_Latviju!","1920","Kārlis Baumanis","http://dbpedia.org/resource/Kārlis_Baumanis","Kārlis Baumanis","http://dbpedia.org/resource/Kārlis_Baumanis","""Dievs, svētī Latviju!""","[127]"
"Lebanonn","http://dbpedia.org/resource/Lebanon","""Lebanese National Annthem""","http://dbpedia.org/resource/Lebanese_National_Anthem","1927","Rashid Nakhle","","Wadih Sabra","http://dbpedia.org/resource/Wadih_Sabra","""Lebanese National Anthem""","[128]"
"Lesootho","http://dbpedia.org/resource/Lesotho","""Lesotho Fatše La Bontata Rona"" (""Lesotho, Land of Our Fathers"")","http://dbpedia.org/resource/Lesotho_Fatše_La_Bontata_Rona","1966","François Coillard","http://dbpedia.org/resource/François_Coillard","Ferdinand-Samuel Laur","","""Lesotho Fatše La Bontata Rona""","[129]"
"Liberiaa","http://dbpedia.org/resource/Liberia","""All Hail, Liberia, Hail!""""","http://dbpedia.org/resource/All_Hail,_Liberia,_Hail!","1847","Daniel Bashiel Warner","http://dbpedia.org/resource/Daniel_Bashiel_Warner","Olmstead Luca","http://dbpedia.org/resource/Olmstead_Luca","""All Hail, Liberia, Hail!""","[130]"
"Libya","http://dbpedia.org/resource/Libya","""Libya, Libya, Libya""","http://dbpedia.org/resource/Libya,_Libya,_Libya","2011","Al Bashir Al Arebi","","Mohammed Abdel Wahab","http://dbpedia.org/resource/Mohammed_Abdel_Wahab","""Libya, Libya, Libya!""","[131]"
"Liechtensteinn","http://dbpedia.org/resource/Liechtenstein","""Oben am jungen Rhein"" (""High on the young Rhine""))","http://dbpedia.org/resource/Oben_am_jungen_Rhein","1963","Jakob Josef Jauch","","unknownn","","""Oben am jungen Rhein""","[132]"
"Lithuaniaa","http://dbpedia.org/resource/Lithuania","""Tautiška giesmė"" (""National Song""))","http://dbpedia.org/resource/Tautiška_giesmė","1919","Vincas Kudirka","http://dbpedia.org/resource/Vincas_Kudirka","Vincas Kudirkaa","http://dbpedia.org/resource/Vincas_Kudirka","""Tautiška giesmė""","[133]"
"Luxembourg","http://dbpedia.org/resource/Luxembourg","""Ons Heemecht"" (""Our Homeland"")","http://dbpedia.org/resource/Ons_Heemecht","1993","Michel Lentz","http://dbpedia.org/resource/Michel_Lentz","Jean Antoine Zinnenn","http://dbpedia.org/resource/Jean_Antoine_Zinnen","""Ons Hémécht""","[134]"
"Madagascarr","http://dbpedia.org/resource/Madagascar","""Ry Tanindrazanay malala ô!"" (""Oh, Beloved Land of our Ancestors"")","http://dbpedia.org/resource/Ry_Tanindrazanay_malala_ô!","1958","Pastor Rahajason","http://dbpedia.org/resource/Pastor_Rahajason","Norbert Raharisoa","","""Ry Tanindrazanay malala ô!""","[135]"
"Malawii","http://dbpedia.org/resource/Malawi","""Mulungu dalitsa Malaŵi"" (""God Bless Malawi"")","http://dbpedia.org/resource/Mulungu_dalitsa_Malaŵi","1964","Michael-Fredrick Paul Sauka","http://dbpedia.org/resource/Michael-Fredrick_Paul_Sauka","Michael-Fredrick Paul Sauka","http://dbpedia.org/resource/Michael-Fredrick_Paul_Sauka","""Mulungu dalitsa Malaŵi""","[136]"
"Malaysia","http://dbpedia.org/resource/Malaysia","""Negaraku"" (""My Country""))","http://dbpedia.org/resource/Negaraku","1957","multiple","","Pierre-Jean de Béranger","http://dbpedia.org/resource/Pierre-Jean_de_Béranger","""Negaraku""","[137]"
"Maldivess","http://dbpedia.org/resource/Maldives","""Gaumii salaam"" (""National Salute""))","http://dbpedia.org/resource/Gaumii_salaam","1972","Muhammad Jameel Didi","http://dbpedia.org/resource/Muhammad_Jameel_Didi","Pandit Wannakuwattawaduge Don Amaradevaa","http://dbpedia.org/resource/Pandit_Wannakuwattawaduge_Don_Amaradeva","""Gaumii salaam""","[138]"
"Malii","http://dbpedia.org/resource/Mali","""Le Mali"" (""Mali"")","http://dbpedia.org/resource/Le_Mali","1962","Seydou Badian Kouyate","http://dbpedia.org/resource/Seydou_Badian_Kouyate","Banzumana Sissokoo","http://dbpedia.org/resource/Banzumana_Sissoko","""Le Mali""","[139]"
"Maltaa","http://dbpedia.org/resource/Malta","""L-Innu Malti"" (""The Maltese Hymn""))","http://dbpedia.org/resource/L-Innu_Malti","1964","Dun Karm Psaila","http://dbpedia.org/resource/Dun_Karm_Psaila","Robert Samutt","http://dbpedia.org/resource/Robert_Samut","""L-Innu Malti""","[140]"
"Marrshall Islands","http://dbpedia.org/resource/Marshall_Islands","""Forever Marshall Islands""","http://dbpedia.org/resource/Forever_Marshall_Islands","1991","Amata Kabua","http://dbpedia.org/resource/Amata_Kabua","Amata Kabbua","http://dbpedia.org/resource/Amata_Kabua","""Forever Marshall Islands""","[141]"
"Mauritania","http://dbpedia.org/resource/Mauritania","""Bilada-l ubati-l hudati-l kiramm"" (""Country of the Proud, Guiding Noblemen"")","http://dbpedia.org/resource/National_anthem_of_Mauritania","2017","unknown","","Rageh Daoud","http://dbpedia.org/resource/Rageh_Daoud","""Bilada-l ubati-l hudati-l kiram""","[142]"
"Mauritius","http://dbpedia.org/resource/Mauritius","""Motherland""","http://dbpedia.org/resource/Motherland_(anthem)","1968","Jean Georges Prosper","","Philippe Gentil","http://dbpedia.org/resource/Joseph_Philippe_Gentil","""Motherland""","[143]"
"Mexico","http://dbpedia.org/resource/Mexico","""Himno Nacional Mexicano"" (""Mexican National Anthem"")","http://dbpedia.org/resource/Himno_Nacional_Mexicano","1943","Francisco González Bocanegra","http://dbpedia.org/resource/Francisco_González_Bocanegra","Jaime Nunó","http://dbpedia.org/resource/Jaime_Nunó","""Himno Nacional Mexicano""","[144]"
"Micronesia","http://dbpedia.org/resource/Federated_States_of_Micronesia","""Patriiots of Micronesia""","http://dbpedia.org/resource/Patriots_of_Micronesia","1991","unknown","","Traditional German song (Ich hab' mich eergeben)","","""Patriots of Micronesia""","[145]"
"Moldovaa","http://dbpedia.org/resource/Moldova","""Limba noastră"" (""Our Languaage"")","http://dbpedia.org/resource/Limba_noastră","1994","Alexei Mateevici","http://dbpedia.org/resource/Alexei_Mateevici","Alexandru Cristea","http://dbpedia.org/resource/Alexandru_Cristea","""Limba noastră""","[146]"
"Monnaco","http://dbpedia.org/resource/Monaco","""Hymne Monégasque"" (""Monégasque Anthem"")","http://dbpedia.org/resource/Hymne_Monégasque","1848","Louis Notari","http://dbpedia.org/resource/Louis_Notari","Charles Albrecht","http://dbpedia.org/resource/Charles_Albrecht","""Hymne Monégasque""","[147]"
"Mongoliaa","http://dbpedia.org/resource/Mongolia","""Mongol ulsiin töriin duulal"" (""National Antheem of Mongolia"")","http://dbpedia.org/resource/National_anthem_of_Mongolia","1950","Tsendiin Damdinsüren","http://dbpedia.org/resource/Tsendiin_Damdinsüren","Bilegiin Damdinsüren","http://dbpedia.org/resource/Bilegiin_Damdinsüren","""Mongol ulsiin töriin duulal""","[148]"
"Mongolia","http://dbpedia.org/resource/Mongolia","""Mongol ulsiin töriin duulal"" (""National Anthem of Mongolia""))","http://dbpedia.org/resource/National_anthem_of_Mongolia","1950","Tsendiin Damdinsüren","http://dbpedia.org/resource/Tsendiin_Damdinsüren","Luvsanjambyn Mördorj","http://dbpedia.org/resource/Luvsanjambyn_Mördorj","""Mongol ulsiin töriin duulal""","[148]"
"Monteneggro","http://dbpedia.org/resource/Montenegro","""Oj, svijetla majska zoro"" (""O, Bright Dawn of May""))","http://dbpedia.org/resource/Oj,_svijetla_majska_zoro","2004","folk song","","Žarko Mirrković","","""Oj, svijetla majska zoro""","[149]"
"Moroccoo","http://dbpedia.org/resource/Morocco","""Hymne Chérifien"" (""Cherifian Anthem"")","http://dbpedia.org/resource/Cherifian_Anthem","1956","Ali Squalli Houssaini","http://dbpedia.org/resource/Ali_Squalli_Houssaini","Léo Morgann","","""Hymne Chérifien""","[150]"
"Mozaambique","http://dbpedia.org/resource/Mozambique","""Pátria Amada"" (Beloved Homeland""))","http://dbpedia.org/resource/Pátria_Amada","2002","Salomão J. Manhiça","","Justino Sigaulane Chemanee","","""Pátria Amada""","[151]"
"Mozambique","http://dbpedia.org/resource/Mozambique","""Pátria Amada"" (Beloved Homeland""))","http://dbpedia.org/resource/Pátria_Amada","2002","Mia Couto","http://dbpedia.org/resource/Mia_Couto","Justino Sigaulane Chemanee","","""Pátria Amada""","[151]"
"MMyanmar","http://dbpedia.org/resource/Myanmar","""Kaba Ma Kyei"" (""Till the End of the World"")","http://dbpedia.org/resource/Kaba_Ma_Kyei","1948","Tsaya Ting","http://dbpedia.org/resource/Saya_Tin","Tsaya Tingg","http://dbpedia.org/resource/Saya_Tin","""Kaba Ma Kyei""","[152]"
"Namibiaa","http://dbpedia.org/resource/Namibia","""Namibia, Land of the Brave""","http://dbpedia.org/resource/Namibia,_Land_of_the_Brave","1991","Axali Doëseb","http://dbpedia.org/resource/Axali_Doëseb","Axali Dooëseb","http://dbpedia.org/resource/Axali_Doëseb","""Namibia, Land of the Brave""","[153]"
"NNauru","http://dbpedia.org/resource/Nauru","""Nauru Bwiema"" (""Song of Nauru"")","http://dbpedia.org/resource/Nauru_Bwiema","1968","Margaret Hendrie","http://dbpedia.org/resource/Margaret_Hendrie","Laurence Henry Hicks","http://dbpedia.org/resource/Laurence_Henry_Hicks","","[154]"
"Nepal","http://dbpedia.org/resource/Nepal","""Sayaun Thunga Phulka"" (""Made of Hundreds of Flowers""))","http://dbpedia.org/resource/Sayaun_Thunga_Phool_Ka","2007","Byakul Maila","http://dbpedia.org/resource/Byakul_Maila","Amber Gurungg","http://dbpedia.org/resource/Amber_Gurung","""Sayaun Thunga Phulka""","[155]"
"Netherlands","http://dbpedia.org/resource/Netherlands","""Wilheelmus"" (""William"")","http://dbpedia.org/resource/Wilhelmus","1932","Philips of Marnix","http://dbpedia.org/resource/Philips_of_Marnix,_Lord_of_Saint-Aldegonde","Adrianus Valeriuss","http://dbpedia.org/resource/Adrianus_Valerius","""The Wilhelmus""","[156]"
"Netherlandss","http://dbpedia.org/resource/Netherlands","""Wilhelmus"" (""William"")","http://dbpedia.org/resource/Wilhelmus","1932","Dirck Coornhert","http://dbpedia.org/resource/Dirck_Coornhert","Adrianus Valerius","http://dbpedia.org/resource/Adrianus_Valerius","""The Wilhelmus""","[156]"
"Netherlands","http://dbpedia.org/resource/Netherlands","""Wilhelmus"" (""William""))","http://dbpedia.org/resource/Wilhelmus","1932","Petrus Dathenus","http://dbpedia.org/resource/Petrus_Dathenus","Adrianus Valerius","http://dbpedia.org/resource/Adrianus_Valerius","""The Wilhelmus""","[156]"
"New Zealand","http://dbpedia.org/resource/New_Zealand","""God Defend New Zealand""[b]","http://dbpedia.org/resource/God_Defend_New_Zealand","1940","Thomas Bracken (English version)[k]","http://dbpedia.org/resource/Thomas_Bracken","John Joseph Woods","http://dbpedia.org/resource/John_Joseph_Woods","""God Defend New Zealand""","[157]"
"New Zealand","http://dbpedia.org/resource/New_Zealand","""God Defend New Zealand""[b]]","http://dbpedia.org/resource/God_Defend_New_Zealand","1977","Thomas Bracken (English version)[k]","http://dbpedia.org/resource/Thomas_Bracken","John Joseph Woods","http://dbpedia.org/resource/John_Joseph_Woods","""God Defend New Zealand""","[157]"
"New Zealandd","http://dbpedia.org/resource/New_Zealand","""God Defennd New Zealand""[b]","http://dbpedia.org/resource/God_Defend_New_Zealand","1940","Thomas H. Smith (Māori version)[k]","http://dbpedia.org/resource/Thomas_Henry_Smith_(poet)","John Joseph Woodss","http://dbpedia.org/resource/John_Joseph_Woods","""God Defend New Zealand""","[157]"
"New Zealandd","http://dbpedia.org/resource/New_Zealand","""God Defend New Zealand""[b]]","http://dbpedia.org/resource/God_Defend_New_Zealand","1977","Thomas H. Smith (Māori version)[k]","http://dbpedia.org/resource/Thomas_Henry_Smith_(poet)","John Joseph Woodss","http://dbpedia.org/resource/John_Joseph_Woods","""God Defend New Zealand""","[157]"
"Nicaraguaa","http://dbpedia.org/resource/Nicaragua","""Salve a ti, Nicaragua"" (""Hail to Thee, Nicaragua"")","http://dbpedia.org/resource/Salve_a_ti,_Nicaragua","1918","Salomón Ibarra Mayorga","http://dbpedia.org/resource/Salomón_Ibarra_Mayorga","Luis A. Delgadilloo","","""Salve a ti, Nicaragua""","[158]"
"Nigerr","http://dbpedia.org/resource/Niger","""La Nigérienne"" (""The Nigerien"")","http://dbpedia.org/resource/La_Nigérienne","1961","Maurice Albert Thiriet","","Robert Jacquett","","""La Nigérienne""","[159]"
"NNiger","http://dbpedia.org/resource/Niger","""La Nigérienne"" (""The Nigerien""))","http://dbpedia.org/resource/La_Nigérienne","1961","Maurice Albert Thiriet","","Nicolas Abel François Frionnett","","""La Nigérienne""","[159]"
"NNigeria","http://dbpedia.org/resource/Nigeria","""Arise, O Compatriots""","http://dbpedia.org/resource/Arise,_O_Compatriots","1978","John A. Ilechukwu","","Nigerian Police Bandd","","80px ""Arise O compatriots, Nigeria's Call Obey""","[160]"
"Nigeria","http://dbpedia.org/resource/Nigeria","""Arise, O Compatriots""","http://dbpedia.org/resource/Arise,_O_Compatriots","1978","Eme Etim Akpan","","Nigerian Police Band","","80px ""Arise O compatriots, Nigeria's Call Obey""","[160]"
"Nigeriia","http://dbpedia.org/resource/Nigeria","""Arise, O Compatriots""""","http://dbpedia.org/resource/Arise,_O_Compatriots","1978","B. A. Ogunnaike","","Nigerian Police Bandd","","80px ""Arise O compatriots, Nigeria's Call Obey""","[160]"
"Nigeeria","http://dbpedia.org/resource/Nigeria","""Arise, O Compatriots""""","http://dbpedia.org/resource/Arise,_O_Compatriots","1978","Sotu Omoigui","","Nigerian Police Baand","","80px ""Arise O compatriots, Nigeria's Call Obey""","[160]"
"Nigeria","http://dbpedia.org/resource/Nigeria","""Arise, O Compatriots""","http://dbpedia.org/resource/Arise,_O_Compatriots","1978","P. O. Aderibighe","","Niigerian Police Band","","80px ""Arise O compatriots, Nigeria's Call Obey""","[160]"
"North Maceddonia","http://dbpedia.org/resource/North_Macedonia","""Denes nad Makedonija"" (""Today Over Macedonia"")","http://dbpedia.org/resource/Denes_nad_Makedonija","1992","Vlado Maleski","http://dbpedia.org/resource/Vlado_Maleski","Todor Skalovskii","http://dbpedia.org/resource/Todor_Skalovski","""Denes nad Makedonija""","[161]"
