"lake","lake__URI","area","location","location__URI","state","state__URI"
"Elbow Pond (Plymouth, Massachusetts)","http://dbpedia.org/resource/Elbow_Pond_(Plymouth,_Massachusetts)","64749.7","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Plymouth County, Massachusettss","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Elbow Pond (Plymouth, Massachusetts)","http://dbpedia.org/resource/Elbow_Pond_(Plymouth,_Massachusetts)","64749.7","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Massachusettsss","http://dbpedia.org/resource/Massachusetts"
"Elderberry Forebay","http://dbpedia.org/resource/Elderberry_Forebay","1.82109e+06","Los Angeles County, California","http://dbpedia.org/resource/Los_Angeles_County,_California","Californiaaa","http://dbpedia.org/resource/California"
"Engineers Lake","http://dbpedia.org/resource/Engineers_Lake","49169.3","Haines City, Florida","http://dbpedia.org/resource/Haines_City,_Florida","Floridaa","http://dbpedia.org/resource/Florida"
"Englebright Lake","http://dbpedia.org/resource/Englebright_Lake","3.29819e+06","Nevada County, California","http://dbpedia.org/resource/Nevada_County,_California","Californiaaa","http://dbpedia.org/resource/California"
"Englebright Lake","http://dbpedia.org/resource/Englebright_Lake","3.29819e+06","Yuba County, California","http://dbpedia.org/resource/Yuba_County,_California","Calliforniaa","http://dbpedia.org/resource/California"
"Ezekiel Pond (Massachusetts)","http://dbpedia.org/resource/Ezekiel_Pond_(Massachusetts)","145687.0","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Plymouth Counnty, Massachusettsss","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Ezekiel Pond (Massachusetts)","http://dbpedia.org/resource/Ezekiel_Pond_(Massachusetts)","145687.0","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Massachusettss","http://dbpedia.org/resource/Massachusetts"
"Fawn Pond (Massachusetts)","http://dbpedia.org/resource/Fawn_Pond_(Massachusetts)","133546.0","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Plymouthh County, Massachusettss","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Fawn Pond (Massachusetts)","http://dbpedia.org/resource/Fawn_Pond_(Massachusetts)","133546.0","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Massachusettssss","http://dbpedia.org/resource/Massachusetts"
"Fearing Pond","http://dbpedia.org/resource/Fearing_Pond","97124.6","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Plymoutth County, Massachusettss","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Fearing Pond","http://dbpedia.org/resource/Fearing_Pond","97124.6","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Massachusetttsss","http://dbpedia.org/resource/Massachusetts"
"Federal Pond","http://dbpedia.org/resource/Federal_Pond","522044.0","Carver, Massachusetts","http://dbpedia.org/resource/Carver,_Massachusetts","Plymouth County, Massachusetts","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Federal Pond","http://dbpedia.org/resource/Federal_Pond","522044.0","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Plymouth County, Massachusettssss","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Federal Pond","http://dbpedia.org/resource/Federal_Pond","522044.0","Carver, Massachusetts","http://dbpedia.org/resource/Carver,_Massachusetts","Massachusettss","http://dbpedia.org/resource/Massachusetts"
"Federal Pond","http://dbpedia.org/resource/Federal_Pond","522044.0","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Massachusettsss","http://dbpedia.org/resource/Massachusetts"
"Five Mile Pond (Plymouth, Massachusetts)","http://dbpedia.org/resource/Five_Mile_Pond_(Plymouth,_Massachusetts)","117359.0","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Plymouth County, Massachusettsss","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Five Mile Pond (Plymouth, Massachusetts)","http://dbpedia.org/resource/Five_Mile_Pond_(Plymouth,_Massachusetts)","117359.0","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Massachuseetts","http://dbpedia.org/resource/Massachusetts"
"Folsom Lake","http://dbpedia.org/resource/Folsom_Lake","4.63365e+07","Northern California","http://dbpedia.org/resource/Northern_California","Californiaaaa","http://dbpedia.org/resource/California"
"Forge Pond (Plymouth, Massachusetts)","http://dbpedia.org/resource/Forge_Pond_(Plymouth,_Massachusetts)","56656.0","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Plymouth County, Massachusettssss","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Forge Pond (Plymouth, Massachusetts)","http://dbpedia.org/resource/Forge_Pond_(Plymouth,_Massachusetts)","56656.0","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Massachusettsss","http://dbpedia.org/resource/Massachusetts"
"Fountaingrove Lake","http://dbpedia.org/resource/Fountaingrove_Lake","133546.0","Sonoma County, California","http://dbpedia.org/resource/Sonoma_County,_California","Californiaaa","http://dbpedia.org/resource/California"
"Frenchman Lake (California)","http://dbpedia.org/resource/Frenchman_Lake_(California)","6.39403e+06","Plumas County, California","http://dbpedia.org/resource/Plumas_County,_California","Californiaaaa","http://dbpedia.org/resource/California"
"Fresh Meadow Pond","http://dbpedia.org/resource/Fresh_Meadow_Pond","238765.0","Carver, Massachusetts","http://dbpedia.org/resource/Carver,_Massachusetts","Plymouth County, Massachusettss","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Fresh Meadow Pond","http://dbpedia.org/resource/Fresh_Meadow_Pond","238765.0","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Plymouth Coounty, Massachusettss","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Fresh Meadow Pond","http://dbpedia.org/resource/Fresh_Meadow_Pond","238765.0","Carver, Massachusetts","http://dbpedia.org/resource/Carver,_Massachusetts","Massachusettssss","http://dbpedia.org/resource/Massachusetts"
"Fresh Meadow Pond","http://dbpedia.org/resource/Fresh_Meadow_Pond","238765.0","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Massachuusettss","http://dbpedia.org/resource/Massachusetts"
"Fresh Pond (Cambridge, Massachusetts)","http://dbpedia.org/resource/Fresh_Pond_(Cambridge,_Massachusetts)","627263.0","Cambridge, Massachusetts","http://dbpedia.org/resource/Cambridge,_Massachusetts","Massachusetttss","http://dbpedia.org/resource/Massachusetts"
"Fresh Pond (Plymouth, Massachusetts)","http://dbpedia.org/resource/Fresh_Pond_(Plymouth,_Massachusetts)","250905.0","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Plymouth County, Massachusettssss","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Fresh Pond (Plymouth, Massachusetts)","http://dbpedia.org/resource/Fresh_Pond_(Plymouth,_Massachusetts)","250905.0","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Masssachusettss","http://dbpedia.org/resource/Massachusetts"
"Fuller Street Pond","http://dbpedia.org/resource/Fuller_Street_Pond","84984.0","Carver, Massachusetts","http://dbpedia.org/resource/Carver,_Massachusetts","Plymoutth County, Massachusettss","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Fuller Street Pond","http://dbpedia.org/resource/Fuller_Street_Pond","84984.0","Middleborough, Massachusetts","http://dbpedia.org/resource/Middleborough,_Massachusetts","Plymouth County, Massachusettss","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Fuller Street Pond","http://dbpedia.org/resource/Fuller_Street_Pond","84984.0","Carver, Massachusetts","http://dbpedia.org/resource/Carver,_Massachusetts","Massacchusettss","http://dbpedia.org/resource/Massachusetts"
"Fuller Street Pond","http://dbpedia.org/resource/Fuller_Street_Pond","84984.0","Middleborough, Massachusetts","http://dbpedia.org/resource/Middleborough,_Massachusetts","Massachusettssss","http://dbpedia.org/resource/Massachusetts"
"Furnace Pond (Pembroke, Massachusetts)","http://dbpedia.org/resource/Furnace_Pond_(Pembroke,_Massachusetts)","433014.0","Pembroke, Massachusetts","http://dbpedia.org/resource/Pembroke,_Massachusetts","Plymouth County, Masssachusettss","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Furnace Pond (Pembroke, Massachusetts)","http://dbpedia.org/resource/Furnace_Pond_(Pembroke,_Massachusetts)","433014.0","Pembroke, Massachusetts","http://dbpedia.org/resource/Pembroke,_Massachusetts","Massachuusettss","http://dbpedia.org/resource/Massachusetts"
"Gallows Pond","http://dbpedia.org/resource/Gallows_Pond","174015.0","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Plymouth County, Massachusettss","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Gallows Pond","http://dbpedia.org/resource/Gallows_Pond","174015.0","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Massachusettss","http://dbpedia.org/resource/Massachusetts"
"Glen Charlie Pond","http://dbpedia.org/resource/Glen_Charlie_Pond","748668.0","Wareham, Massachusetts","http://dbpedia.org/resource/Wareham,_Massachusetts","Plymouth County, Massachusettsss","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Glen Charlie Pond","http://dbpedia.org/resource/Glen_Charlie_Pond","748668.0","Wareham, Massachusetts","http://dbpedia.org/resource/Wareham,_Massachusetts","Massachuusettss","http://dbpedia.org/resource/Massachusetts"
"Goose Lake (Oregon–California)","http://dbpedia.org/resource/Goose_Lake_(Oregon–California)","3.80728e+08","Modoc County, California","http://dbpedia.org/resource/Modoc_County,_California","Californiaa","http://dbpedia.org/resource/California"
"Grassy Lake (Florida)","http://dbpedia.org/resource/Grassy_Lake_(Florida)","2.14447e+06","Lake Placid, Florida","http://dbpedia.org/resource/Lake_Placid,_Florida","Floriidaa","http://dbpedia.org/resource/Florida"
"Great Herring Pond","http://dbpedia.org/resource/Great_Herring_Pond","1.52162e+06","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Plymouth County, Massachusettss","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Great Herring Pond","http://dbpedia.org/resource/Great_Herring_Pond","1.52162e+06","Bourne, Massachusetts","http://dbpedia.org/resource/Bourne,_Massachusetts","Massachusettsss","http://dbpedia.org/resource/Massachusetts"
"Great Herring Pond","http://dbpedia.org/resource/Great_Herring_Pond","1.52162e+06","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Massachusetts","http://dbpedia.org/resource/Massachusetts"
"Great Island Pond","http://dbpedia.org/resource/Great_Island_Pond","311608.0","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Plymouth County, Massaacchusettss","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Great Island Pond","http://dbpedia.org/resource/Great_Island_Pond","311608.0","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Masssachusettss","http://dbpedia.org/resource/Massachusetts"
"Great Quittacas Pond","http://dbpedia.org/resource/Great_Quittacas_Pond","4.79552e+06","Lakeville, Massachusetts","http://dbpedia.org/resource/Lakeville,_Massachusetts","PPlymoouth County, Massachusettss","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Great Quittacas Pond","http://dbpedia.org/resource/Great_Quittacas_Pond","4.79552e+06","Middleborough, Massachusetts","http://dbpedia.org/resource/Middleborough,_Massachusetts","Plymouth County, Massachusetts","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Great Quittacas Pond","http://dbpedia.org/resource/Great_Quittacas_Pond","4.79552e+06","Rochester, Massachusetts","http://dbpedia.org/resource/Rochester,_Massachusetts","Plymouth County, Massachusetttss","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Great Quittacas Pond","http://dbpedia.org/resource/Great_Quittacas_Pond","4.79552e+06","Middleborough, Massachusetts","http://dbpedia.org/resource/Middleborough,_Massachusetts","Massachhusetts","http://dbpedia.org/resource/Massachusetts"
"Great Quittacas Pond","http://dbpedia.org/resource/Great_Quittacas_Pond","4.79552e+06","Lakeville, Massachusetts","http://dbpedia.org/resource/Lakeville,_Massachusetts","Maassachusettss","http://dbpedia.org/resource/Massachusetts"
"Great Quittacas Pond","http://dbpedia.org/resource/Great_Quittacas_Pond","4.79552e+06","Rochester, Massachusetts","http://dbpedia.org/resource/Rochester,_Massachusetts","Massachusettsss","http://dbpedia.org/resource/Massachusetts"
"Great Sandy Bottom Pond","http://dbpedia.org/resource/Great_Sandy_Bottom_Pond","441107.0","Pembroke, Massachusetts","http://dbpedia.org/resource/Pembroke,_Massachusetts","Plymouth County, Massachusettss","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Great Sandy Bottom Pond","http://dbpedia.org/resource/Great_Sandy_Bottom_Pond","441107.0","Pembroke, Massachusetts","http://dbpedia.org/resource/Pembroke,_Massachusetts","MMassacchusettss","http://dbpedia.org/resource/Massachusetts"
"Great South Pond","http://dbpedia.org/resource/Great_South_Pond","1.18168e+06","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Plymouth County, Massachusettss","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Great South Pond","http://dbpedia.org/resource/Great_South_Pond","1.18168e+06","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Massachusettssss","http://dbpedia.org/resource/Massachusetts"
"Guadalupe Reservoir","http://dbpedia.org/resource/Guadalupe_Reservoir","299467.0","Santa Clara County, California","http://dbpedia.org/resource/Santa_Clara_County,_California","Californiaaaa","http://dbpedia.org/resource/California"
"Gunners Exchange Pond","http://dbpedia.org/resource/Gunners_Exchange_Pond","117359.0","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Plymouth County, Massachusettss","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Gunners Exchange Pond","http://dbpedia.org/resource/Gunners_Exchange_Pond","117359.0","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Massachhusettsss","http://dbpedia.org/resource/Massachusetts"
"Halfway Pond (Massachusetts)","http://dbpedia.org/resource/Halfway_Pond_(Massachusetts)","938871.0","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Plymouth County,  Massachusetttss","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Halfway Pond (Massachusetts)","http://dbpedia.org/resource/Halfway_Pond_(Massachusetts)","938871.0","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Massachusettsss","http://dbpedia.org/resource/Massachusetts"
"Hardy Pond","http://dbpedia.org/resource/Hardy_Pond","169968.0","Waltham, Massachusetts","http://dbpedia.org/resource/Waltham,_Massachusetts","Massacchusettss","http://dbpedia.org/resource/Massachusetts"
"Harrobs Corner Bog Pond","http://dbpedia.org/resource/Harrobs_Corner_Bog_Pond","64749.7","Plympton, Massachusetts","http://dbpedia.org/resource/Plympton,_Massachusetts","Plymouth County, Massachusettsss","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Harrobs Corner Bog Pond","http://dbpedia.org/resource/Harrobs_Corner_Bog_Pond","64749.7","Plympton, Massachusetts","http://dbpedia.org/resource/Plympton,_Massachusetts","Massachusettsss","http://dbpedia.org/resource/Massachusetts"
"Hedges Pond (Plymouth, Massachusetts)","http://dbpedia.org/resource/Hedges_Pond_(Plymouth,_Massachusetts)","105218.0","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Plymouth County, Massachusetts","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Hedges Pond (Plymouth, Massachusetts)","http://dbpedia.org/resource/Hedges_Pond_(Plymouth,_Massachusetts)","105218.0","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Massachusettss","http://dbpedia.org/resource/Massachusetts"
"Hernandez Reservoir","http://dbpedia.org/resource/Hernandez_Reservoir","2.38765e+06","San Benito County, California","http://dbpedia.org/resource/San_Benito_County,_California","Californiaaa","http://dbpedia.org/resource/California"
"Hocomonco Pond","http://dbpedia.org/resource/Hocomonco_Pond","109265.0","Westborough, Massachusetts","http://dbpedia.org/resource/Westborough,_Massachusetts","Massachusettts","http://dbpedia.org/resource/Massachusetts"
"Honey Lake","http://dbpedia.org/resource/Honey_Lake","2.22739e+08","Lassen County, California","http://dbpedia.org/resource/Lassen_County,_California","Californiaaa","http://dbpedia.org/resource/California"
"Horn Pond (Massachusetts)","http://dbpedia.org/resource/Horn_Pond_(Massachusetts)","412779.0","Woburn, Massachusetts","http://dbpedia.org/resource/Woburn,_Massachusetts","Massachusettss","http://dbpedia.org/resource/Massachusetts"
"Houghton's Pond","http://dbpedia.org/resource/Houghton's_Pond","97124.6","Milton, Massachusetts","http://dbpedia.org/resource/Milton,_Massachusetts","Massaachusettsss","http://dbpedia.org/resource/Massachusetts"
"Howard Lake (Mendocino County)","http://dbpedia.org/resource/Howard_Lake_(Mendocino_County)","80937.1","Mendocino County, California","http://dbpedia.org/resource/Mendocino_County,_California","Californiiia","http://dbpedia.org/resource/California"
"Hoyts Pond (Massachusetts)","http://dbpedia.org/resource/Hoyts_Pond_(Massachusetts)","64749.7","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Plymouth County,  Massachusettss","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Hoyts Pond (Massachusetts)","http://dbpedia.org/resource/Hoyts_Pond_(Massachusetts)","64749.7","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Massachuusetttss","http://dbpedia.org/resource/Massachusetts"
"Hume Lake","http://dbpedia.org/resource/Hume_Lake","352077.0","Fresno County, California","http://dbpedia.org/resource/Fresno_County,_California","Californiaa","http://dbpedia.org/resource/California"
"Huntington Lake","http://dbpedia.org/resource/Huntington_Lake","5.83152e+06","Fresno County, California","http://dbpedia.org/resource/Fresno_County,_California","Caliiforrniaa","http://dbpedia.org/resource/California"
"Imperial Reservoir","http://dbpedia.org/resource/Imperial_Reservoir","2.8e+07","Imperial County, California","http://dbpedia.org/resource/Imperial_County,_California","Californiaaaa","http://dbpedia.org/resource/California"
"Indian Head Pond (Massachusetts)","http://dbpedia.org/resource/Indian_Head_Pond_(Massachusetts)","489670.0","Hanson, Massachusetts","http://dbpedia.org/resource/Hanson,_Massachusetts","Plymouth County, Massachusettsss","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Indian Head Pond (Massachusetts)","http://dbpedia.org/resource/Indian_Head_Pond_(Massachusetts)","489670.0","Hanson, Massachusetts","http://dbpedia.org/resource/Hanson,_Massachusetts","Massachusettssss","http://dbpedia.org/resource/Massachusetts"
"Indian Pond (Kingston, Massachusetts)","http://dbpedia.org/resource/Indian_Pond_(Kingston,_Massachusetts)","267093.0","Plympton, Massachusetts","http://dbpedia.org/resource/Plympton,_Massachusetts","Plymouth  County, Massachhusettss","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Indian Pond (Kingston, Massachusetts)","http://dbpedia.org/resource/Indian_Pond_(Kingston,_Massachusetts)","267093.0","Kingston, Massachusetts","http://dbpedia.org/resource/Kingston,_Massachusetts","Plymouth County, Massachusettsss","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Indian Pond (Kingston, Massachusetts)","http://dbpedia.org/resource/Indian_Pond_(Kingston,_Massachusetts)","267093.0","Plympton, Massachusetts","http://dbpedia.org/resource/Plympton,_Massachusetts","Massachusetttsss","http://dbpedia.org/resource/Massachusetts"
"Indian Pond (Kingston, Massachusetts)","http://dbpedia.org/resource/Indian_Pond_(Kingston,_Massachusetts)","267093.0","Kingston, Massachusetts","http://dbpedia.org/resource/Kingston,_Massachusetts","Massaacchusetts","http://dbpedia.org/resource/Massachusetts"
"Indian Tom Lake","http://dbpedia.org/resource/Indian_Tom_Lake","2.02343e+06","Siskiyou County, California","http://dbpedia.org/resource/Siskiyou_County,_California","Caliiforniaa","http://dbpedia.org/resource/California"
"Indian Valley Reservoir","http://dbpedia.org/resource/Indian_Valley_Reservoir","1.61874e+07","Lake County, California","http://dbpedia.org/resource/Lake_County,_California","Califffornia","http://dbpedia.org/resource/California"
"Irvine Lake","http://dbpedia.org/resource/Irvine_Lake","2.8328e+06","Orange County, California","http://dbpedia.org/resource/Orange_County,_California","Californiaaa","http://dbpedia.org/resource/California"
"Island Creek Pond","http://dbpedia.org/resource/Island_Creek_Pond","174015.0","Duxbury, Massachusetts","http://dbpedia.org/resource/Duxbury,_Massachusetts","Plymouth County, Massachussettss","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Island Creek Pond","http://dbpedia.org/resource/Island_Creek_Pond","174015.0","Duxbury, Massachusetts","http://dbpedia.org/resource/Duxbury,_Massachusetts","Massachusettssss","http://dbpedia.org/resource/Massachusetts"
"Island Pond (Cedarville, Massachusetts)","http://dbpedia.org/resource/Island_Pond_(Cedarville,_Massachusetts)","311608.0","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Plymouth County, Masssachusettss","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Island Pond (Cedarville, Massachusetts)","http://dbpedia.org/resource/Island_Pond_(Cedarville,_Massachusetts)","311608.0","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Massachusettss","http://dbpedia.org/resource/Massachusetts"
"Island Pond (Plymouth, Massachusetts)","http://dbpedia.org/resource/Island_Pond_(Plymouth,_Massachusetts)","48562.3","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Plymouth County, Massachusettsss","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Island Pond (Plymouth, Massachusetts)","http://dbpedia.org/resource/Island_Pond_(Plymouth,_Massachusetts)","48562.3","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Massachusetts","http://dbpedia.org/resource/Massachusetts"
"Ivanpah Lake","http://dbpedia.org/resource/Ivanpah_Lake","3.4e+07","San Bernardino County, California","http://dbpedia.org/resource/San_Bernardino_County,_California","Californiaa","http://dbpedia.org/resource/California"
"Jacobs Pond (Norwell, Massachusetts)","http://dbpedia.org/resource/Jacobs_Pond_(Norwell,_Massachusetts)","238765.0","Norwell, Massachusetts","http://dbpedia.org/resource/Norwell,_Massachusetts","Plymouth County, Massachusettssss","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Jacobs Pond (Norwell, Massachusetts)","http://dbpedia.org/resource/Jacobs_Pond_(Norwell,_Massachusetts)","238765.0","Norwell, Massachusetts","http://dbpedia.org/resource/Norwell,_Massachusetts","Massachusetttss","http://dbpedia.org/resource/Massachusetts"
"Keene Pond","http://dbpedia.org/resource/Keene_Pond","52609.1","Duxbury, Massachusetts","http://dbpedia.org/resource/Duxbury,_Massachusetts","Plymouth CCounty, Massachusettss","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Keene Pond","http://dbpedia.org/resource/Keene_Pond","52609.1","Duxbury, Massachusetts","http://dbpedia.org/resource/Duxbury,_Massachusetts","Massachusettssss","http://dbpedia.org/resource/Massachusetts"
"Kelly Lake (Florida)","http://dbpedia.org/resource/Kelly_Lake_(Florida)","27397.2","Lakeland, Florida","http://dbpedia.org/resource/Lakeland,_Florida","Floridaaa","http://dbpedia.org/resource/Florida"
"Kent Lake","http://dbpedia.org/resource/Kent_Lake","1.7442e+06","Marin County, California","http://dbpedia.org/resource/Marin_County,_California","Caliiforniaaa","http://dbpedia.org/resource/California"
"Kings Pond (Plymouth, Massachusetts)","http://dbpedia.org/resource/Kings_Pond_(Plymouth,_Massachusetts)","84984.0","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Plymouth County, Massachusettsss","http://dbpedia.org/resource/Plymouth_County,_Massachusetts"
"Kings Pond (Plymouth, Massachusetts)","http://dbpedia.org/resource/Kings_Pond_(Plymouth,_Massachusetts)","84984.0","Plymouth, Massachusetts","http://dbpedia.org/resource/Plymouth,_Massachusetts","Massachusettsss","http://dbpedia.org/resource/Massachusetts"
"Laguna Niguel Lake","http://dbpedia.org/resource/Laguna_Niguel_Lake","178062.0","Laguna Niguel, California","http://dbpedia.org/resource/Laguna_Niguel,_California","Califorrniaa","http://dbpedia.org/resource/California"
"Lake Alpine","http://dbpedia.org/resource/Lake_Alpine","724387.0","Alpine County, California","http://dbpedia.org/resource/Alpine_County,_California","Califoorniia","http://dbpedia.org/resource/California"
"Lake Amador","http://dbpedia.org/resource/Lake_Amador","1.55804e+06","Amador County, California","http://dbpedia.org/resource/Amador_County,_California","Caliiforrnia","http://dbpedia.org/resource/California"
"Lake Anza","http://dbpedia.org/resource/Lake_Anza","40468.6","Contra Costa County, California","http://dbpedia.org/resource/Contra_Costa_County,_California","Californiaaa","http://dbpedia.org/resource/California"
"Lake Arrowhead Reservoir","http://dbpedia.org/resource/Lake_Arrowhead_Reservoir","3.15655e+06","San Bernardino County, California","http://dbpedia.org/resource/San_Bernardino_County,_California","Californiaaaa","http://dbpedia.org/resource/California"
"Lake Attitash","http://dbpedia.org/resource/Lake_Attitash","1.45687e+06","Merrimac, Massachusetts","http://dbpedia.org/resource/Merrimac,_Massachusetts","Masssachusetts","http://dbpedia.org/resource/Massachusetts"
"Lake Attitash","http://dbpedia.org/resource/Lake_Attitash","1.45687e+06","Amesbury, Massachusetts","http://dbpedia.org/resource/Amesbury,_Massachusetts","Massacchusetttss","http://dbpedia.org/resource/Massachusetts"
"Lake August","http://dbpedia.org/resource/Lake_August","210963.0","Placid Lakes, Florida","http://dbpedia.org/resource/Placid_Lakes,_Florida","Florridaaa","http://dbpedia.org/resource/Florida"
"Lake Berryessa","http://dbpedia.org/resource/Lake_Berryessa","8.37699e+07","Napa County, California","http://dbpedia.org/resource/Napa_County,_California","Californiaa","http://dbpedia.org/resource/California"
"Lake Boon","http://dbpedia.org/resource/Lake_Boon","659638.0","Stow, Massachusetts","http://dbpedia.org/resource/Stow,_Massachusetts","Maassachusettsss","http://dbpedia.org/resource/Massachusetts"
"Lake Boon","http://dbpedia.org/resource/Lake_Boon","659638.0","Hudson, Massachusetts","http://dbpedia.org/resource/Hudson,_Massachusetts","Maassachusettss","http://dbpedia.org/resource/Massachusetts"
"Lake Buckeye","http://dbpedia.org/resource/Lake_Buckeye","284251.0","Winter Haven, Florida","http://dbpedia.org/resource/Winter_Haven,_Florida","Floridaa","http://dbpedia.org/resource/Florida"
"Lake Buel","http://dbpedia.org/resource/Lake_Buel","793184.0","New Marlborough, Massachusetts","http://dbpedia.org/resource/New_Marlborough,_Massachusetts","Massachusettsss","http://dbpedia.org/resource/Massachusetts"
"Lake Buel","http://dbpedia.org/resource/Lake_Buel","793184.0","Monterey, Massachusetts","http://dbpedia.org/resource/Monterey,_Massachusetts","MMassachusettsss","http://dbpedia.org/resource/Massachusetts"
"Lake Butler (Polk County, Florida)","http://dbpedia.org/resource/Lake_Butler_(Polk_County,_Florida)","69848.7","Haines City, Florida","http://dbpedia.org/resource/Haines_City,_Florida","Flooridaaa","http://dbpedia.org/resource/Florida"
"Lake Cachuma","http://dbpedia.org/resource/Lake_Cachuma","1.25453e+07","Santa Barbara County, California","http://dbpedia.org/resource/Santa_Barbara_County,_California","Californiaaa","http://dbpedia.org/resource/California"
"Lake Calero","http://dbpedia.org/resource/Lake_Calero","445154.0","Sacramento County, California","http://dbpedia.org/resource/Sacramento_County,_California","Californiaaa","http://dbpedia.org/resource/California"
