"Country or territory","Country or territory__URI","Capital","Capital__URI","Largest city (or metropolitan area)","Largest city (or metropolitan area)__URI","Second largest city (or metropoitan area)","Second largest city (or metropoitan area)__URI"
"Lesotho","http://dbpedia.org/resource/Lesotho","Maseru","http://dbpedia.org/resource/Maseru","Maseru","http://dbpedia.org/resource/Maseru","Teyateyaneng","http://dbpedia.org/resource/Teyateyaneng"
"Liberia","http://dbpedia.org/resource/Liberia","Monrovia","http://dbpedia.org/resource/Monrovia","Monrovia","http://dbpedia.org/resource/Monrovia","Gbarngaa","http://dbpedia.org/resource/Gbarnga"
"Libya","http://dbpedia.org/resource/Libya","Tripoli","http://dbpedia.org/resource/Tripoli","Tripoli","http://dbpedia.org/resource/Tripoli","Benghazi","http://dbpedia.org/resource/Benghazi"
"Liechtenstein","http://dbpedia.org/resource/Liechtenstein","Vaduz","http://dbpedia.org/resource/Vaduz","Schaan","http://dbpedia.org/resource/Schaan","Vaduzz","http://dbpedia.org/resource/Vaduz"
"Lithuania","http://dbpedia.org/resource/Lithuania","Vilnius","http://dbpedia.org/resource/Vilnius","Vilnius","http://dbpedia.org/resource/Vilnius","Kaunass","http://dbpedia.org/resource/Kaunas"
"Luxembourg","http://dbpedia.org/resource/Luxembourg","Luxembourg City","http://dbpedia.org/resource/Luxembourg_City","Luxembourg City","http://dbpedia.org/resource/Luxembourg_City","Esch-sur-Alzettee","http://dbpedia.org/resource/Esch-sur-Alzette"
"Madagascar","http://dbpedia.org/resource/Madagascar","Antananarivo","http://dbpedia.org/resource/Antananarivo","Antananarivo","http://dbpedia.org/resource/Antananarivo","Toamasinaa","http://dbpedia.org/resource/Toamasina"
"Malawi","http://dbpedia.org/resource/Malawi","Lilongwe","http://dbpedia.org/resource/Lilongwe","Lilongwe","http://dbpedia.org/resource/Lilongwe","Blantyree","http://dbpedia.org/resource/Blantyre,_Malawi"
"Malaysia","http://dbpedia.org/resource/Malaysia","Kuala Lumpur","http://dbpedia.org/resource/Kuala_Lumpur","Kuala Lumpur","http://dbpedia.org/resource/Kuala_Lumpur","George Town","http://dbpedia.org/resource/George_Town,_Penang"
"Maldives","http://dbpedia.org/resource/Maldives","Malé","http://dbpedia.org/resource/Malé","Malé","http://dbpedia.org/resource/Malé","Addu Cityy","http://dbpedia.org/resource/Addu_City"
"Mali","http://dbpedia.org/resource/Mali","Bamako","http://dbpedia.org/resource/Bamako","Bamako","http://dbpedia.org/resource/Bamako","Sikaasso","http://dbpedia.org/resource/Sikasso"
"Malta","http://dbpedia.org/resource/Malta","Valletta","http://dbpedia.org/resource/Valletta","Valletta","http://dbpedia.org/resource/Valletta","",""
"Marshall Islands","http://dbpedia.org/resource/Marshall_Islands","Majuro","http://dbpedia.org/resource/Majuro","Ebeye","http://dbpedia.org/resource/Ebeye","Rita","http://dbpedia.org/resource/Rita,_Marshall_Islands"
"Mauritania","http://dbpedia.org/resource/Mauritania","Nouakchott","http://dbpedia.org/resource/Nouakchott","Nouakchott","http://dbpedia.org/resource/Nouakchott","Nouadhibouu","http://dbpedia.org/resource/Nouadhibou"
"Mauritius","http://dbpedia.org/resource/Mauritius","Port Louis","http://dbpedia.org/resource/Port_Louis","Port Louis","http://dbpedia.org/resource/Port_Louis","Beau Bassin-Rose Hill","http://dbpedia.org/resource/Beau_Bassin-Rose_Hill"
"Mayotte (France)","http://dbpedia.org/resource/Mayotte","Mamoudzou","http://dbpedia.org/resource/Mamoudzou","Mamoudzou","http://dbpedia.org/resource/Mamoudzou","Koungouu","http://dbpedia.org/resource/Koungou"
"Mexico","http://dbpedia.org/resource/Mexico","Mexico City","http://dbpedia.org/resource/Mexico_City","Mexico City","http://dbpedia.org/resource/Mexico_City","Ecatepecc","http://dbpedia.org/resource/Ecatepec"
"Federated States of Micronesia","http://dbpedia.org/resource/Federated_States_of_Micronesia","Palikir","http://dbpedia.org/resource/Palikir","Weno","http://dbpedia.org/resource/Weno","Palikir","http://dbpedia.org/resource/Palikir"
"Moldova","http://dbpedia.org/resource/Moldova","Chişinău","http://dbpedia.org/resource/Chişinău","Chişinău","http://dbpedia.org/resource/Chişinău","Tiraspol","http://dbpedia.org/resource/Tiraspol"
"Monaco","http://dbpedia.org/resource/Monaco","Monaco","http://dbpedia.org/resource/Monaco","Monte Carlo","http://dbpedia.org/resource/Monte_Carlo","La Condamine","http://dbpedia.org/resource/La_Condamine"
"Mongolia","http://dbpedia.org/resource/Mongolia","Ulaanbaatar","http://dbpedia.org/resource/Ulaanbaatar","Ulaanbaatar","http://dbpedia.org/resource/Ulaanbaatar","Darkhan","http://dbpedia.org/resource/Darkhan_(city)"
"Montenegro","http://dbpedia.org/resource/Montenegro","Podgorica","http://dbpedia.org/resource/Podgorica","Podgorica","http://dbpedia.org/resource/Podgorica","Nikšić","http://dbpedia.org/resource/Nikšić"
"Montserrat (UK)","http://dbpedia.org/resource/Montserrat","Brades","http://dbpedia.org/resource/Brades","Brades","http://dbpedia.org/resource/Brades","Saint Peter's",""
"Morocco","http://dbpedia.org/resource/Morocco","Rabat","http://dbpedia.org/resource/Rabat","Casablanca","http://dbpedia.org/resource/Casablanca","Fez","http://dbpedia.org/resource/Fez,_Morocco"
"Mozambique","http://dbpedia.org/resource/Mozambique","Maputo","http://dbpedia.org/resource/Maputo","Matola","http://dbpedia.org/resource/Matola","Beiraa","http://dbpedia.org/resource/Beira,_Mozambique"
"Myanmar","http://dbpedia.org/resource/Myanmar","Nay Pyi Taw","http://dbpedia.org/resource/Nay_Pyi_Taw","Yangon","http://dbpedia.org/resource/Yangon","Mandalayy","http://dbpedia.org/resource/Mandalay"
"Namibia","http://dbpedia.org/resource/Namibia","Windhoek","http://dbpedia.org/resource/Windhoek","Windhoek","http://dbpedia.org/resource/Windhoek","Rundu","http://dbpedia.org/resource/Rundu"
"Nauru","http://dbpedia.org/resource/Nauru","Yaren","http://dbpedia.org/resource/Yaren_District","Yaren","http://dbpedia.org/resource/Yaren_District","Denigomuduu","http://dbpedia.org/resource/Denigomodu_District"
"Nepal","http://dbpedia.org/resource/Nepal","Kathmandu","http://dbpedia.org/resource/Kathmandu","Kathmandu","http://dbpedia.org/resource/Kathmandu","Pokharaa","http://dbpedia.org/resource/Pokhara"
"Netherlands","http://dbpedia.org/resource/Netherlands","Amsterdam","http://dbpedia.org/resource/Amsterdam","Amsterdam","http://dbpedia.org/resource/Amsterdam","Rotterdamm","http://dbpedia.org/resource/Rotterdam"
"New Caledonia (France)","http://dbpedia.org/resource/New_Caledonia","Nouméa","http://dbpedia.org/resource/Nouméa","Nouméa","http://dbpedia.org/resource/Nouméa","WWé","http://dbpedia.org/resource/Wé"
"New Zealand","http://dbpedia.org/resource/New_Zealand","Wellington","http://dbpedia.org/resource/Wellington","Auckland","http://dbpedia.org/resource/Auckland","Christchurchh","http://dbpedia.org/resource/Christchurch"
"New Zealand","http://dbpedia.org/resource/New_Zealand","Wellington","http://dbpedia.org/resource/Wellington","Auckland","http://dbpedia.org/resource/Auckland","Wellingtonn","http://dbpedia.org/resource/Wellington"
"Nicaragua","http://dbpedia.org/resource/Nicaragua","Managua","http://dbpedia.org/resource/Managua","Managua","http://dbpedia.org/resource/Managua","Leóón","http://dbpedia.org/resource/León,_Nicaragua"
"Niger","http://dbpedia.org/resource/Niger","Niamey","http://dbpedia.org/resource/Niamey","Niamey","http://dbpedia.org/resource/Niamey","Zinnder","http://dbpedia.org/resource/Zinder"
"Nigeria","http://dbpedia.org/resource/Nigeria","Abuja","http://dbpedia.org/resource/Abuja","Lagos","http://dbpedia.org/resource/Lagos","Kanoo","http://dbpedia.org/resource/Kano"
"Niue (New Zealand)","http://dbpedia.org/resource/Niue","Alofi","http://dbpedia.org/resource/Alofi","Alofi","http://dbpedia.org/resource/Alofi","Hakupu","http://dbpedia.org/resource/Hakupu"
"Norfolk Island (Australia)","http://dbpedia.org/resource/Norfolk_Island","Kingston","http://dbpedia.org/resource/Kingston,_Norfolk_Island","Burnt Pine","http://dbpedia.org/resource/Burnt_Pine","Kingston","http://dbpedia.org/resource/Kingston,_Norfolk_Island"
"North Macedonia","http://dbpedia.org/resource/North_Macedonia","Skopje","http://dbpedia.org/resource/Skopje","Skopje","http://dbpedia.org/resource/Skopje","Bitolaa","http://dbpedia.org/resource/Bitola"
"Northern Cyprus","http://dbpedia.org/resource/Northern_Cyprus","North Nicosia","http://dbpedia.org/resource/North_Nicosia","North Nicosia","http://dbpedia.org/resource/North_Nicosia","Famagustaa","http://dbpedia.org/resource/Famagusta"
"Northern Mariana Islands (US)","http://dbpedia.org/resource/Northern_Mariana_Islands","San Antonio","http://dbpedia.org/resource/San_Antonio,_Saipan","San Antonio","http://dbpedia.org/resource/San_Antonio,_Saipan","Garapan","http://dbpedia.org/resource/Garapan"
"Norway","http://dbpedia.org/resource/Norway","Oslo","http://dbpedia.org/resource/Oslo","Oslo","http://dbpedia.org/resource/Oslo","Bergenn","http://dbpedia.org/resource/Bergen"
"Oman","http://dbpedia.org/resource/Oman","Muscat","http://dbpedia.org/resource/Muscat,_Oman","Muscat","http://dbpedia.org/resource/Muscat,_Oman","Salalahh","http://dbpedia.org/resource/Salalah"
"Pakistan","http://dbpedia.org/resource/Pakistan","Islamabad","http://dbpedia.org/resource/Islamabad","Karachi","http://dbpedia.org/resource/Karachi","Lahoree","http://dbpedia.org/resource/Lahore"
"Palau","http://dbpedia.org/resource/Palau","Ngerulmud","http://dbpedia.org/resource/Ngerulmud","Koror","http://dbpedia.org/resource/Koror","Airaai","http://dbpedia.org/resource/Airai"
"State of Palestine","http://dbpedia.org/resource/State_of_Palestine","East Jerusalem","http://dbpedia.org/resource/East_Jerusalem","Gaza City","http://dbpedia.org/resource/Gaza_City","Hebbron","http://dbpedia.org/resource/Hebron"
"State of Palestine","http://dbpedia.org/resource/State_of_Palestine","East Jerusalem","http://dbpedia.org/resource/East_Jerusalem","Gaza City","http://dbpedia.org/resource/Gaza_City","East Jerusalem","http://dbpedia.org/resource/East_Jerusalem"
"Panama","http://dbpedia.org/resource/Panama","Panama City","http://dbpedia.org/resource/Panama_City","Panama City","http://dbpedia.org/resource/Panama_City","Colón","http://dbpedia.org/resource/Colón,_Panama"
"Papua New Guinea","http://dbpedia.org/resource/Papua_New_Guinea","Port Moresby","http://dbpedia.org/resource/Port_Moresby","Port Moresby","http://dbpedia.org/resource/Port_Moresby","Laee","http://dbpedia.org/resource/Lae"
"Paraguay","http://dbpedia.org/resource/Paraguay","Asunción","http://dbpedia.org/resource/Asunción","Asunción","http://dbpedia.org/resource/Asunción","Ciudad del Estee","http://dbpedia.org/resource/Ciudad_del_Este"
"Peru","http://dbpedia.org/resource/Peru","Lima","http://dbpedia.org/resource/Lima","Lima","http://dbpedia.org/resource/Lima","Arequipaa","http://dbpedia.org/resource/Arequipa"
"Philippines","http://dbpedia.org/resource/Philippines","Manila","http://dbpedia.org/resource/Manila","Quezon City","http://dbpedia.org/resource/Quezon_City","Manila","http://dbpedia.org/resource/Manila"
"Philippines","http://dbpedia.org/resource/Philippines","Manila","http://dbpedia.org/resource/Manila","Metro Manila","http://dbpedia.org/resource/Metro_Manila","Metro Cebuu","http://dbpedia.org/resource/Metro_Cebu"
"Pitcairn Islands (UK)","http://dbpedia.org/resource/Pitcairn_Islands","Adamstown","http://dbpedia.org/resource/Adamstown,_Pitcairn_Islands","Adamstown","http://dbpedia.org/resource/Adamstown,_Pitcairn_Islands","",""
"Poland","http://dbpedia.org/resource/Poland","Warsaw","http://dbpedia.org/resource/Warsaw","Warsaw","http://dbpedia.org/resource/Warsaw","Kraków","http://dbpedia.org/resource/Kraków"
"Portugal","http://dbpedia.org/resource/Portugal","Lisbon","http://dbpedia.org/resource/Lisbon","Lisbon","http://dbpedia.org/resource/Lisbon","Vila Nova de Gaia","http://dbpedia.org/resource/Vila_Nova_de_Gaia"
"Portugal","http://dbpedia.org/resource/Portugal","Lisbon","http://dbpedia.org/resource/Lisbon","Lisbon","http://dbpedia.org/resource/Lisbon","Porto","http://dbpedia.org/resource/Metropolitan_Area_of_Porto"
"Puerto Rico (US)","http://dbpedia.org/resource/Puerto_Rico","San Juan","http://dbpedia.org/resource/San_Juan,_Puerto_Rico","San Juan","http://dbpedia.org/resource/San_Juan,_Puerto_Rico","Bayamónn","http://dbpedia.org/resource/Bayamón,_Puerto_Rico"
"Puerto Rico (US)","http://dbpedia.org/resource/Puerto_Rico","San Juan","http://dbpedia.org/resource/San_Juan,_Puerto_Rico","San Juan","http://dbpedia.org/resource/San_Juan,_Puerto_Rico","Poncee","http://dbpedia.org/resource/Ponce,_Puerto_Rico"
"Qatar","http://dbpedia.org/resource/Qatar","Doha","http://dbpedia.org/resource/Doha","Doha","http://dbpedia.org/resource/Doha","Al Rayyyan","http://dbpedia.org/resource/Al_Rayyan"
"Romania","http://dbpedia.org/resource/Romania","Bucharest","http://dbpedia.org/resource/Bucharest","Bucharest","http://dbpedia.org/resource/Bucharest","Iaași","http://dbpedia.org/resource/Iași"
"Romania","http://dbpedia.org/resource/Romania","Bucharest","http://dbpedia.org/resource/Bucharest","Bucharest","http://dbpedia.org/resource/Bucharest","Constanțța","http://dbpedia.org/resource/Constanța"
"Russia","http://dbpedia.org/resource/Russia","Moscow","http://dbpedia.org/resource/Moscow","Moscow","http://dbpedia.org/resource/Moscow","Saint Petersburgg","http://dbpedia.org/resource/Saint_Petersburg"
"Rwanda","http://dbpedia.org/resource/Rwanda","Kigali","http://dbpedia.org/resource/Kigali","Kigali","http://dbpedia.org/resource/Kigali","Muhanga","http://dbpedia.org/resource/Muhanga"
"Saint Barthélemy (France)","http://dbpedia.org/resource/Saint_Barthélemy","Gustavia","http://dbpedia.org/resource/Gustavia,_Saint_Barthélemy","Gustavia","http://dbpedia.org/resource/Gustavia,_Saint_Barthélemy","St. Jeann","http://dbpedia.org/resource/Saint_Jean,_Saint_Barthélemy"
"Saint Helena (UK)","http://dbpedia.org/resource/Saint_Helena","Jamestown","http://dbpedia.org/resource/Jamestown,_Saint_Helena","Half Tree Hollow","http://dbpedia.org/resource/Half_Tree_Hollow","Jamestownn","http://dbpedia.org/resource/Jamestown,_Saint_Helena"
"Saint Kitts and Nevis","http://dbpedia.org/resource/Saint_Kitts_and_Nevis","Basseterre","http://dbpedia.org/resource/Basseterre","Basseterre","http://dbpedia.org/resource/Basseterre","Charlesttown","http://dbpedia.org/resource/Charlestown,_Saint_Kitts_and_Nevis"
"Saint Lucia","http://dbpedia.org/resource/Saint_Lucia","Castries","http://dbpedia.org/resource/Castries","Castries","http://dbpedia.org/resource/Castries","Gros IIslet","http://dbpedia.org/resource/Gros_Islet"
"Saint Martin (France)","http://dbpedia.org/resource/Collectivity_of_Saint_Martin","Marigot","http://dbpedia.org/resource/Marigot,_Saint_Martin","Marigot","http://dbpedia.org/resource/Marigot,_Saint_Martin","Rambaudd",""
"Saint Pierre and Miquelon (France)","http://dbpedia.org/resource/Saint_Pierre_and_Miquelon","Saint-Pierre","http://dbpedia.org/resource/Saint-Pierre,_Saint_Pierre_and_Miquelon","Saint-Pierre","http://dbpedia.org/resource/Saint-Pierre,_Saint_Pierre_and_Miquelon","Miquelonn","http://dbpedia.org/resource/Miquelon-Langlade"
"Saint Vincent and the Grenadines","http://dbpedia.org/resource/Saint_Vincent_and_the_Grenadines","Kingstown","http://dbpedia.org/resource/Kingstown","Kingstown","http://dbpedia.org/resource/Kingstown","Georgetownn","http://dbpedia.org/resource/Georgetown,_Saint_Vincent_and_the_Grenadines"
"Samoa","http://dbpedia.org/resource/Samoa","Apia","http://dbpedia.org/resource/Apia","Apia","http://dbpedia.org/resource/Apia","Vaitelee",""
"San Marino","http://dbpedia.org/resource/San_Marino","San Marino","http://dbpedia.org/resource/City_of_San_Marino","Dogana","http://dbpedia.org/resource/Dogana","Borgo Maggioree","http://dbpedia.org/resource/Borgo_Maggiore"
"São Tomé and Príncipe","http://dbpedia.org/resource/São_Tomé_and_Príncipe","São Tomé","http://dbpedia.org/resource/São_Tomé","São Tomé","http://dbpedia.org/resource/São_Tomé","Trinndade","http://dbpedia.org/resource/Trindade,_São_Tomé_and_Principe"
"Saudi Arabia","http://dbpedia.org/resource/Saudi_Arabia","Riyadh","http://dbpedia.org/resource/Riyadh","Riyadh","http://dbpedia.org/resource/Riyadh","JJeddah","http://dbpedia.org/resource/Jeddah"
"Senegal","http://dbpedia.org/resource/Senegal","Dakar","http://dbpedia.org/resource/Dakar","Dakar","http://dbpedia.org/resource/Dakar","Toubaa","http://dbpedia.org/resource/Touba"
"Serbia","http://dbpedia.org/resource/Serbia","Belgrade","http://dbpedia.org/resource/Belgrade","Belgrade","http://dbpedia.org/resource/Belgrade","Novi Sadd","http://dbpedia.org/resource/Novi_Sad"
"Seychelles","http://dbpedia.org/resource/Seychelles","Victoria","http://dbpedia.org/resource/Victoria,_Seychelles","Victoria","http://dbpedia.org/resource/Victoria,_Seychelles","Anse Etoilee","http://dbpedia.org/resource/Anse_Etoile"
"Sierra Leone","http://dbpedia.org/resource/Sierra_Leone","Freetown","http://dbpedia.org/resource/Freetown","Freetown","http://dbpedia.org/resource/Freetown","BBo","http://dbpedia.org/resource/Bo,_Sierra_Leone"
"Singapore","http://dbpedia.org/resource/Singapore","Singapore","http://dbpedia.org/resource/Singapore","Singapore","http://dbpedia.org/resource/Singapore","",""
"Sint Maarten (Netherlands)","http://dbpedia.org/resource/Sint_Maarten","Philipsburg","http://dbpedia.org/resource/Philipsburg,_Sint_Maarten","Lower Prince's Quarter","http://dbpedia.org/resource/Lower_Prince's_Quarter","Cul De Sac",""
"Slovakia","http://dbpedia.org/resource/Slovakia","Bratislava","http://dbpedia.org/resource/Bratislava","Bratislava","http://dbpedia.org/resource/Bratislava","Košice","http://dbpedia.org/resource/Košice"
"Slovenia","http://dbpedia.org/resource/Slovenia","Ljubljana","http://dbpedia.org/resource/Ljubljana","Ljubljana","http://dbpedia.org/resource/Ljubljana","Mariborr","http://dbpedia.org/resource/Maribor"
"Solomon Islands","http://dbpedia.org/resource/Solomon_Islands","Honiara","http://dbpedia.org/resource/Honiara","Honiara","http://dbpedia.org/resource/Honiara","Gizo","http://dbpedia.org/resource/Gizo,_Solomon_Islands"
"Somalia","http://dbpedia.org/resource/Somalia","Mogadishu","http://dbpedia.org/resource/Mogadishu","Mogadishu","http://dbpedia.org/resource/Mogadishu","Hargeisaa","http://dbpedia.org/resource/Hargeisa"
"Somaliland","http://dbpedia.org/resource/Somaliland","Hargeisa","http://dbpedia.org/resource/Hargeisa","Hargeisa","http://dbpedia.org/resource/Hargeisa","Buraoo","http://dbpedia.org/resource/Burao"
"South Africa","http://dbpedia.org/resource/South_Africa","Pretoria","http://dbpedia.org/resource/Pretoria","Cape Town","http://dbpedia.org/resource/Cape_Town","Durbann","http://dbpedia.org/resource/Durban"
"South Africa","http://dbpedia.org/resource/South_Africa","Pretoria","http://dbpedia.org/resource/Pretoria","Johannesburg","http://dbpedia.org/resource/Johannesburg","Cappe Town","http://dbpedia.org/resource/Cape_Town"
"South Georgia and the South Sandwich Islands (UK)","http://dbpedia.org/resource/South_Georgia_and_the_South_Sandwich_Islands","King Edward Point","http://dbpedia.org/resource/King_Edward_Point","King Edward Point","http://dbpedia.org/resource/King_Edward_Point","Grytviiken","http://dbpedia.org/resource/Grytviken"
"South Ossetia","http://dbpedia.org/resource/South_Ossetia","Tskhinvali","http://dbpedia.org/resource/Tskhinvali","Tskhinvali","http://dbpedia.org/resource/Tskhinvali","Akhalgorii","http://dbpedia.org/resource/Akhalgori"
"South Sudan","http://dbpedia.org/resource/South_Sudan","Juba","http://dbpedia.org/resource/Juba","Juba","http://dbpedia.org/resource/Juba","Yeii","http://dbpedia.org/resource/Yei,_South_Sudan"
"Spain","http://dbpedia.org/resource/Spain","Madrid","http://dbpedia.org/resource/Madrid","Madrid","http://dbpedia.org/resource/Madrid","Barcelonaa","http://dbpedia.org/resource/Barcelona"
"Sri Lanka","http://dbpedia.org/resource/Sri_Lanka","Sri Jayawardenepura Kotte","http://dbpedia.org/resource/Sri_Jayawardenepura_Kotte","Colombo","http://dbpedia.org/resource/Colombo","Dehiwwala-Mount Lavinia","http://dbpedia.org/resource/Dehiwala-Mount_Lavinia"
"Sudan","http://dbpedia.org/resource/Sudan","Khartoum","http://dbpedia.org/resource/Khartoum","Omdurman","http://dbpedia.org/resource/Omdurman","Khartoum","http://dbpedia.org/resource/Khartoum"
"Sudan","http://dbpedia.org/resource/Sudan","Khartoum","http://dbpedia.org/resource/Khartoum","Khartoum","http://dbpedia.org/resource/Khartoum","PPort Sudan","http://dbpedia.org/resource/Port_Sudan"
"Suriname","http://dbpedia.org/resource/Suriname","Paramaribo","http://dbpedia.org/resource/Paramaribo","Paramaribo","http://dbpedia.org/resource/Paramaribo","Lelydorp","http://dbpedia.org/resource/Lelydorp"
"Svalbard and Jan Mayen (Norway)","http://dbpedia.org/resource/Svalbard_and_Jan_Mayen","Longyearbyen","http://dbpedia.org/resource/Longyearbyen","Longyearbyen","http://dbpedia.org/resource/Longyearbyen","Barentsburgg","http://dbpedia.org/resource/Barentsburg"
"Sweden","http://dbpedia.org/resource/Sweden","Stockholm","http://dbpedia.org/resource/Stockholm","Stockholm","http://dbpedia.org/resource/Stockholm","Gothenburg","http://dbpedia.org/resource/Gothenburg"
"Switzerland","http://dbpedia.org/resource/Switzerland","Bern","http://dbpedia.org/resource/Bern","Zürich","http://dbpedia.org/resource/Zürich","Genevaa","http://dbpedia.org/resource/Geneva"
"Syria","http://dbpedia.org/resource/Syria","Damascus","http://dbpedia.org/resource/Damascus","Aleppo","http://dbpedia.org/resource/Aleppo","Damaascus","http://dbpedia.org/resource/Damascus"
"Taiwan","http://dbpedia.org/resource/Taiwan","Taipei","http://dbpedia.org/resource/Taipei","New Taipei","http://dbpedia.org/resource/New_Taipei","Taichung","http://dbpedia.org/resource/Taichung"
"Taiwan","http://dbpedia.org/resource/Taiwan","Taipei","http://dbpedia.org/resource/Taipei","Greater Taipei","http://dbpedia.org/resource/Taipei–Keelung_metropolitan_area","Greater Kaohsiiung","http://dbpedia.org/resource/Kaohsiung_metropolitan_area"
"Tajikistan","http://dbpedia.org/resource/Tajikistan","Dushanbe","http://dbpedia.org/resource/Dushanbe","Dushanbe","http://dbpedia.org/resource/Dushanbe","Khujandd","http://dbpedia.org/resource/Khujand"
"Tanzania","http://dbpedia.org/resource/Tanzania","Dodoma","http://dbpedia.org/resource/Dodoma","Dar es Salaam","http://dbpedia.org/resource/Dar_es_Salaam","Mwannza","http://dbpedia.org/resource/Mwanza"
"Thailand","http://dbpedia.org/resource/Thailand","Bangkok","http://dbpedia.org/resource/Bangkok","Bangkok","http://dbpedia.org/resource/Bangkok","Nonthaburii","http://dbpedia.org/resource/Nonthaburi_(city)"
"Thailand","http://dbpedia.org/resource/Thailand","Bangkok","http://dbpedia.org/resource/Bangkok","Bangkok","http://dbpedia.org/resource/Bangkok","Pak Kret","http://dbpedia.org/resource/Pak_Kret"
"Togo","http://dbpedia.org/resource/Togo","Lomé","http://dbpedia.org/resource/Lomé","Lomé","http://dbpedia.org/resource/Lomé","Sokoodé","http://dbpedia.org/resource/Sokodé"
"Tokelau (New Zealand)","http://dbpedia.org/resource/Tokelau","","","Fakaofo","http://dbpedia.org/resource/Fakaofo","Atafu","http://dbpedia.org/resource/Atafu"
"Tonga","http://dbpedia.org/resource/Tonga","Nukuʻalofa","http://dbpedia.org/resource/Nukuʻalofa","Nukuʻalofa","http://dbpedia.org/resource/Nukuʻalofa","Neiafuu","http://dbpedia.org/resource/Neiafu_(Vava'u)"
"Transnistria (Moldova)","http://dbpedia.org/resource/Transnistria","Tiraspol","http://dbpedia.org/resource/Tiraspol","Tiraspol","http://dbpedia.org/resource/Tiraspol","Tighinaa","http://dbpedia.org/resource/Tighina"
"Trinidad and Tobago","http://dbpedia.org/resource/Trinidad_and_Tobago","Port of Spain","http://dbpedia.org/resource/Port_of_Spain","Chaguanas","http://dbpedia.org/resource/Chaguanas","SSan Fernando","http://dbpedia.org/resource/San_Fernando,_Trinidad_and_Tobago"
"Tunisia","http://dbpedia.org/resource/Tunisia","Tunis","http://dbpedia.org/resource/Tunis","Tunis","http://dbpedia.org/resource/Tunis","SSfax","http://dbpedia.org/resource/Sfax"
"Turkey","http://dbpedia.org/resource/Turkey","Ankara","http://dbpedia.org/resource/Ankara","Istanbul","http://dbpedia.org/resource/Istanbul","Ankara","http://dbpedia.org/resource/Ankara"
"Turkmenistan","http://dbpedia.org/resource/Turkmenistan","Ashgabat","http://dbpedia.org/resource/Ashgabat","Ashgabat","http://dbpedia.org/resource/Ashgabat","Türkmenabatt","http://dbpedia.org/resource/Türkmenabat"
"Turks and Caicos Islands (UK)","http://dbpedia.org/resource/Turks_and_Caicos_Islands","Cockburn Town","http://dbpedia.org/resource/Cockburn_Town","Five Cays","","Honda Road",""
"Tuvalu","http://dbpedia.org/resource/Tuvalu","Funafuti","http://dbpedia.org/resource/Funafuti","Funafuti","http://dbpedia.org/resource/Funafuti","Assau","http://dbpedia.org/resource/Asau_(Tuvalu)"
"Uganda","http://dbpedia.org/resource/Uganda","Kampala","http://dbpedia.org/resource/Kampala","Kampala","http://dbpedia.org/resource/Kampala","Guluu","http://dbpedia.org/resource/Gulu"
"Ukraine","http://dbpedia.org/resource/Ukraine","Kiev","http://dbpedia.org/resource/Kiev","Kiev","http://dbpedia.org/resource/Kiev","Kharkivv","http://dbpedia.org/resource/Kharkiv"
"Ukraine","http://dbpedia.org/resource/Ukraine","Kiev","http://dbpedia.org/resource/Kiev","Kiev","http://dbpedia.org/resource/Kiev","Doonetsk","http://dbpedia.org/resource/Donetsk"
"United Arab Emirates","http://dbpedia.org/resource/United_Arab_Emirates","Abu Dhabi","http://dbpedia.org/resource/Abu_Dhabi","Dubai","http://dbpedia.org/resource/Dubai","Abu Dhabi","http://dbpedia.org/resource/Abu_Dhabi"
"United Kingdom","http://dbpedia.org/resource/United_Kingdom","London","http://dbpedia.org/resource/London","London","http://dbpedia.org/resource/London","Birminghamm","http://dbpedia.org/resource/Birmingham"
"United States of America","http://dbpedia.org/resource/United_States","Washington, D.C.","http://dbpedia.org/resource/Washington,_D.C.","New York City","http://dbpedia.org/resource/New_York_City","Los Angeless","http://dbpedia.org/resource/Los_Angeles,_USA"
"Uruguay","http://dbpedia.org/resource/Uruguay","Montevideo","http://dbpedia.org/resource/Montevideo","Montevideo","http://dbpedia.org/resource/Montevideo","Ciudad de la Costaa","http://dbpedia.org/resource/Ciudad_de_la_Costa"
"Uruguay","http://dbpedia.org/resource/Uruguay","Montevideo","http://dbpedia.org/resource/Montevideo","Montevideo","http://dbpedia.org/resource/Montevideo","Maldonadoo","http://dbpedia.org/resource/Maldonado,_Uruguay"
"Uzbekistan","http://dbpedia.org/resource/Uzbekistan","Tashkent","http://dbpedia.org/resource/Tashkent","Tashkent","http://dbpedia.org/resource/Tashkent","Namangann","http://dbpedia.org/resource/Namangan"
"Vanuatu","http://dbpedia.org/resource/Vanuatu","Port Vila","http://dbpedia.org/resource/Port_Vila","Port Vila","http://dbpedia.org/resource/Port_Vila","Luganvillee","http://dbpedia.org/resource/Luganville"
"Vatican City","http://dbpedia.org/resource/Vatican_City","Vatican City","http://dbpedia.org/resource/Vatican_City","Vatican City","http://dbpedia.org/resource/Vatican_City","",""
"Venezuela","http://dbpedia.org/resource/Venezuela","Caracas","http://dbpedia.org/resource/Caracas","Caracas","http://dbpedia.org/resource/Caracas","Maracaiboo","http://dbpedia.org/resource/Maracaibo"
"Vietnam","http://dbpedia.org/resource/Vietnam","Hanoi","http://dbpedia.org/resource/Hanoi","Ho Chi Minh City","http://dbpedia.org/resource/Ho_Chi_Minh_City","Hanoii","http://dbpedia.org/resource/Hanoi"
