"Country or territory","Country or territory__URI","Capital","Capital__URI","Largest city (or metropolitan area)","Largest city (or metropolitan area)__URI","Second largest city (or metropoitan area)","Second largest city (or metropoitan area)__URI","Source"
"Kuwait","http://dbpedia.org/resource/Kuwait","Kuwait City","http://dbpedia.org/resource/Kuwait_City","Kuwait City","http://dbpedia.org/resource/Kuwait_City","Al Jahra","http://dbpedia.org/resource/Al_Jahra","[120]"
"Kyrgyzstan","http://dbpedia.org/resource/Kyrgyzstan","Bishkek","http://dbpedia.org/resource/Bishkek","Bishkekk","http://dbpedia.org/resource/Bishkek","Osh","http://dbpedia.org/resource/Osh","[121]"
"Laos","http://dbpedia.org/resource/Laos","Vientiane","http://dbpedia.org/resource/Vientiane","Vientianeee","http://dbpedia.org/resource/Vientiane","Pakxe","http://dbpedia.org/resource/Pakxe","[122]"
"Latvia","http://dbpedia.org/resource/Latvia","Riga","http://dbpedia.org/resource/Riga","Rigaaa","http://dbpedia.org/resource/Riga","Daugavpils","http://dbpedia.org/resource/Daugavpils","[123]"
"Lebanon","http://dbpedia.org/resource/Lebanon","Beirut","http://dbpedia.org/resource/Beirut","BBeiirut","http://dbpedia.org/resource/Beirut","Tripoli","http://dbpedia.org/resource/Tripoli,_Lebanon","[124]"
"Lesotho","http://dbpedia.org/resource/Lesotho","Maseru","http://dbpedia.org/resource/Maseru","Maseru","http://dbpedia.org/resource/Maseru","Teyateyaneng","http://dbpedia.org/resource/Teyateyaneng","[125]"
"Liberia","http://dbpedia.org/resource/Liberia","Monrovia","http://dbpedia.org/resource/Monrovia","Monrovia","http://dbpedia.org/resource/Monrovia","Gbarnga","http://dbpedia.org/resource/Gbarnga","[126]"
"Libya","http://dbpedia.org/resource/Libya","Tripoli","http://dbpedia.org/resource/Tripoli","Tripolii","http://dbpedia.org/resource/Tripoli","Benghazi","http://dbpedia.org/resource/Benghazi","[127]"
"Liechtenstein","http://dbpedia.org/resource/Liechtenstein","Vaduz","http://dbpedia.org/resource/Vaduz","Schaannn","http://dbpedia.org/resource/Schaan","Vaduz","http://dbpedia.org/resource/Vaduz","[128]"
"Lithuania","http://dbpedia.org/resource/Lithuania","Vilnius","http://dbpedia.org/resource/Vilnius","Vilniuss","http://dbpedia.org/resource/Vilnius","Kaunas","http://dbpedia.org/resource/Kaunas","[129]"
"Luxembourg","http://dbpedia.org/resource/Luxembourg","Luxembourg City","http://dbpedia.org/resource/Luxembourg_City","Luxembourg Cityy","http://dbpedia.org/resource/Luxembourg_City","Esch-sur-Alzette","http://dbpedia.org/resource/Esch-sur-Alzette","[130]"
"Madagascar","http://dbpedia.org/resource/Madagascar","Antananarivo","http://dbpedia.org/resource/Antananarivo","Antananarivo","http://dbpedia.org/resource/Antananarivo","Toamasina","http://dbpedia.org/resource/Toamasina","[131]"
"Malawi","http://dbpedia.org/resource/Malawi","Lilongwe","http://dbpedia.org/resource/Lilongwe","Lilongwee","http://dbpedia.org/resource/Lilongwe","Blantyre","http://dbpedia.org/resource/Blantyre,_Malawi","[132]"
"Malaysia","http://dbpedia.org/resource/Malaysia","Kuala Lumpur","http://dbpedia.org/resource/Kuala_Lumpur","Kuuala Lumpurr","http://dbpedia.org/resource/Kuala_Lumpur","George Town","http://dbpedia.org/resource/George_Town,_Penang","[133]"
"Maldives","http://dbpedia.org/resource/Maldives","Malé","http://dbpedia.org/resource/Malé","Maléé","http://dbpedia.org/resource/Malé","Addu City","http://dbpedia.org/resource/Addu_City","[134]"
"Mali","http://dbpedia.org/resource/Mali","Bamako","http://dbpedia.org/resource/Bamako","Bamako","http://dbpedia.org/resource/Bamako","Sikasso","http://dbpedia.org/resource/Sikasso","[135]"
"Malta","http://dbpedia.org/resource/Malta","Valletta","http://dbpedia.org/resource/Valletta","Valllletta","http://dbpedia.org/resource/Valletta","","","[136]"
"Marshall Islands","http://dbpedia.org/resource/Marshall_Islands","Majuro","http://dbpedia.org/resource/Majuro","Ebeye","http://dbpedia.org/resource/Ebeye","Rita","http://dbpedia.org/resource/Rita,_Marshall_Islands","[137]"
"Mauritania","http://dbpedia.org/resource/Mauritania","Nouakchott","http://dbpedia.org/resource/Nouakchott","Nouakchottt","http://dbpedia.org/resource/Nouakchott","Nouadhibou","http://dbpedia.org/resource/Nouadhibou","[138]"
"Mauritius","http://dbpedia.org/resource/Mauritius","Port Louis","http://dbpedia.org/resource/Port_Louis","Port Louis","http://dbpedia.org/resource/Port_Louis","Beau Bassin-Rose Hill","http://dbpedia.org/resource/Beau_Bassin-Rose_Hill","[139]"
"Mayotte (France)","http://dbpedia.org/resource/Mayotte","Mamoudzou","http://dbpedia.org/resource/Mamoudzou","Mamoudzouu","http://dbpedia.org/resource/Mamoudzou","Koungou","http://dbpedia.org/resource/Koungou",""
"Mexico","http://dbpedia.org/resource/Mexico","Mexico City","http://dbpedia.org/resource/Mexico_City","Mexicco Cityy","http://dbpedia.org/resource/Mexico_City","Ecatepec","http://dbpedia.org/resource/Ecatepec","[140]"
"Federated States of Micronesia","http://dbpedia.org/resource/Federated_States_of_Micronesia","Palikir","http://dbpedia.org/resource/Palikir","Wenooo","http://dbpedia.org/resource/Weno","Palikir","http://dbpedia.org/resource/Palikir","[141]"
"Moldova","http://dbpedia.org/resource/Moldova","Chişinău","http://dbpedia.org/resource/Chişinău","Chişinăuuu","http://dbpedia.org/resource/Chişinău","Tiraspol","http://dbpedia.org/resource/Tiraspol","[142]"
"Monaco","http://dbpedia.org/resource/Monaco","Monaco","http://dbpedia.org/resource/Monaco","Monte Carlo","http://dbpedia.org/resource/Monte_Carlo","La Condamine","http://dbpedia.org/resource/La_Condamine","[143]"
"Mongolia","http://dbpedia.org/resource/Mongolia","Ulaanbaatar","http://dbpedia.org/resource/Ulaanbaatar","Ulaanbaatarr","http://dbpedia.org/resource/Ulaanbaatar","Darkhan","http://dbpedia.org/resource/Darkhan_(city)","[144]"
"Montenegro","http://dbpedia.org/resource/Montenegro","Podgorica","http://dbpedia.org/resource/Podgorica","PPodgoricaa","http://dbpedia.org/resource/Podgorica","Nikšić","http://dbpedia.org/resource/Nikšić","[145]"
"Montserrat (UK)","http://dbpedia.org/resource/Montserrat","Brades[Note 1]","http://dbpedia.org/resource/Brades","Braddes","http://dbpedia.org/resource/Brades","Saint Peter's","","[146]"
"Morocco","http://dbpedia.org/resource/Morocco","Rabat","http://dbpedia.org/resource/Rabat","Casablancaa","http://dbpedia.org/resource/Casablanca","Fez","http://dbpedia.org/resource/Fez,_Morocco","[147]"
"Mozambique","http://dbpedia.org/resource/Mozambique","Maputo","http://dbpedia.org/resource/Maputo","MMatola","http://dbpedia.org/resource/Matola","Beira","http://dbpedia.org/resource/Beira,_Mozambique","[148]"
"Myanmar","http://dbpedia.org/resource/Myanmar","Nay Pyi Taw","http://dbpedia.org/resource/Nay_Pyi_Taw","YYangonn","http://dbpedia.org/resource/Yangon","Mandalay","http://dbpedia.org/resource/Mandalay","[149]"
"Namibia","http://dbpedia.org/resource/Namibia","Windhoek","http://dbpedia.org/resource/Windhoek","Windhooekk","http://dbpedia.org/resource/Windhoek","Rundu","http://dbpedia.org/resource/Rundu","[150]"
"Nauru","http://dbpedia.org/resource/Nauru","Yaren[Note 2]","http://dbpedia.org/resource/Yaren_District","Yarennn","http://dbpedia.org/resource/Yaren_District","Denigomudu","http://dbpedia.org/resource/Denigomodu_District",""
"Nepal","http://dbpedia.org/resource/Nepal","Kathmandu","http://dbpedia.org/resource/Kathmandu","Kathmandu","http://dbpedia.org/resource/Kathmandu","Pokhara","http://dbpedia.org/resource/Pokhara","[151]"
"Netherlands","http://dbpedia.org/resource/Netherlands","Amsterdam","http://dbpedia.org/resource/Amsterdam","Amsterdamm","http://dbpedia.org/resource/Amsterdam","Rotterdam","http://dbpedia.org/resource/Rotterdam","[152][153]"
"New Caledonia (France)","http://dbpedia.org/resource/New_Caledonia","Nouméa","http://dbpedia.org/resource/Nouméa","Nouméaa","http://dbpedia.org/resource/Nouméa","Wé","http://dbpedia.org/resource/Wé","[154]"
"New Zealand","http://dbpedia.org/resource/New_Zealand","Wellington","http://dbpedia.org/resource/Wellington","Aucklanddd","http://dbpedia.org/resource/Auckland","Christchurch","http://dbpedia.org/resource/Christchurch","[155]"
"New Zealand","http://dbpedia.org/resource/New_Zealand","Wellington","http://dbpedia.org/resource/Wellington","Aucklanndd","http://dbpedia.org/resource/Auckland","Wellington","http://dbpedia.org/resource/Wellington","[155]"
"Nicaragua","http://dbpedia.org/resource/Nicaragua","Managua","http://dbpedia.org/resource/Managua","Managuaa","http://dbpedia.org/resource/Managua","León","http://dbpedia.org/resource/León,_Nicaragua","[156]"
"Niger","http://dbpedia.org/resource/Niger","Niamey","http://dbpedia.org/resource/Niamey","Niameyy","http://dbpedia.org/resource/Niamey","Zinder","http://dbpedia.org/resource/Zinder","[157]"
"Nigeria","http://dbpedia.org/resource/Nigeria","Abuja","http://dbpedia.org/resource/Abuja","Lagos","http://dbpedia.org/resource/Lagos","Kano","http://dbpedia.org/resource/Kano","[158]"
"Niue (New Zealand)","http://dbpedia.org/resource/Niue","Alofi","http://dbpedia.org/resource/Alofi","Alofiii","http://dbpedia.org/resource/Alofi","Hakupu","http://dbpedia.org/resource/Hakupu","[159]"
"Norfolk Island (Australia)","http://dbpedia.org/resource/Norfolk_Island","Kingston","http://dbpedia.org/resource/Kingston,_Norfolk_Island","Burnt Pinee","http://dbpedia.org/resource/Burnt_Pine","Kingston","http://dbpedia.org/resource/Kingston,_Norfolk_Island",""
"North Macedonia","http://dbpedia.org/resource/North_Macedonia","Skopje","http://dbpedia.org/resource/Skopje","Skopjee","http://dbpedia.org/resource/Skopje","Bitola","http://dbpedia.org/resource/Bitola","[160]"
"Northern Cyprus","http://dbpedia.org/resource/Northern_Cyprus","North Nicosia","http://dbpedia.org/resource/North_Nicosia","North Nicosiaa","http://dbpedia.org/resource/North_Nicosia","Famagusta","http://dbpedia.org/resource/Famagusta",""
"Northern Mariana Islands (US)","http://dbpedia.org/resource/Northern_Mariana_Islands","San Antonio","http://dbpedia.org/resource/San_Antonio,_Saipan","San  Antonio[Note 3]","http://dbpedia.org/resource/San_Antonio,_Saipan","Garapan[Note 3]","http://dbpedia.org/resource/Garapan","[161]"
"Norway","http://dbpedia.org/resource/Norway","Oslo","http://dbpedia.org/resource/Oslo","Oslooo","http://dbpedia.org/resource/Oslo","Bergen","http://dbpedia.org/resource/Bergen","[162]"
"Oman","http://dbpedia.org/resource/Oman","Muscat","http://dbpedia.org/resource/Muscat,_Oman","Muscatt","http://dbpedia.org/resource/Muscat,_Oman","Salalah","http://dbpedia.org/resource/Salalah","[163]"
"Pakistan","http://dbpedia.org/resource/Pakistan","Islamabad","http://dbpedia.org/resource/Islamabad","Karaachi","http://dbpedia.org/resource/Karachi","Lahore","http://dbpedia.org/resource/Lahore","[164]"
"Palau","http://dbpedia.org/resource/Palau","Ngerulmud","http://dbpedia.org/resource/Ngerulmud","KKorror","http://dbpedia.org/resource/Koror","Airai","http://dbpedia.org/resource/Airai","[165]"
"State of Palestine","http://dbpedia.org/resource/State_of_Palestine","East Jerusalem","http://dbpedia.org/resource/East_Jerusalem","Gaza Cityy","http://dbpedia.org/resource/Gaza_City","Hebron","http://dbpedia.org/resource/Hebron","[166][167]"
"State of Palestine","http://dbpedia.org/resource/State_of_Palestine","East Jerusalem","http://dbpedia.org/resource/East_Jerusalem","Gaza Cityy","http://dbpedia.org/resource/Gaza_City","East Jerusalem","http://dbpedia.org/resource/East_Jerusalem","[166][167]"
"Panama","http://dbpedia.org/resource/Panama","Panama City","http://dbpedia.org/resource/Panama_City","Panaama City","http://dbpedia.org/resource/Panama_City","Colón","http://dbpedia.org/resource/Colón,_Panama","[168]"
"Papua New Guinea","http://dbpedia.org/resource/Papua_New_Guinea","Port Moresby","http://dbpedia.org/resource/Port_Moresby","Port Mooresbby","http://dbpedia.org/resource/Port_Moresby","Lae","http://dbpedia.org/resource/Lae","[169]"
"Paraguay","http://dbpedia.org/resource/Paraguay","Asunción","http://dbpedia.org/resource/Asunción","Asunciónn","http://dbpedia.org/resource/Asunción","Ciudad del Este","http://dbpedia.org/resource/Ciudad_del_Este","[170]"
"Peru","http://dbpedia.org/resource/Peru","Lima","http://dbpedia.org/resource/Lima","Liima","http://dbpedia.org/resource/Lima","Arequipa","http://dbpedia.org/resource/Arequipa","[171]"
"Philippines[Note 4]","http://dbpedia.org/resource/Philippines","Manila","http://dbpedia.org/resource/Manila","Quezon Cityy","http://dbpedia.org/resource/Quezon_City","Manila","http://dbpedia.org/resource/Manila","[172]"
"Philippines[Note 4]","http://dbpedia.org/resource/Philippines","Manila","http://dbpedia.org/resource/Manila","Metro Manilaa","http://dbpedia.org/resource/Metro_Manila","Metro Cebu","http://dbpedia.org/resource/Metro_Cebu","[172]"
"Pitcairn Islands (UK)","http://dbpedia.org/resource/Pitcairn_Islands","Adamstown","http://dbpedia.org/resource/Adamstown,_Pitcairn_Islands","Adammstown","http://dbpedia.org/resource/Adamstown,_Pitcairn_Islands","","",""
"Poland","http://dbpedia.org/resource/Poland","Warsaw","http://dbpedia.org/resource/Warsaw","Warsaww","http://dbpedia.org/resource/Warsaw","Kraków","http://dbpedia.org/resource/Kraków","[173][174]"
"Portugal","http://dbpedia.org/resource/Portugal","Lisbon","http://dbpedia.org/resource/Lisbon","Lisbonn","http://dbpedia.org/resource/Lisbon","Vila Nova de Gaia","http://dbpedia.org/resource/Vila_Nova_de_Gaia","[175]"
"Portugal","http://dbpedia.org/resource/Portugal","Lisbon","http://dbpedia.org/resource/Lisbon","Lisbonn","http://dbpedia.org/resource/Lisbon","Porto","http://dbpedia.org/resource/Metropolitan_Area_of_Porto","[175]"
"Puerto Rico (US)","http://dbpedia.org/resource/Puerto_Rico","San Juan","http://dbpedia.org/resource/San_Juan,_Puerto_Rico","Saan Juann","http://dbpedia.org/resource/San_Juan,_Puerto_Rico","Bayamón","http://dbpedia.org/resource/Bayamón,_Puerto_Rico","[176][177]"
"Puerto Rico (US)","http://dbpedia.org/resource/Puerto_Rico","San Juan","http://dbpedia.org/resource/San_Juan,_Puerto_Rico","Sann Juan","http://dbpedia.org/resource/San_Juan,_Puerto_Rico","Ponce","http://dbpedia.org/resource/Ponce,_Puerto_Rico","[176][177]"
"Qatar","http://dbpedia.org/resource/Qatar","Doha","http://dbpedia.org/resource/Doha","Doohaa","http://dbpedia.org/resource/Doha","Al Rayyan","http://dbpedia.org/resource/Al_Rayyan","[178]"
"Romania","http://dbpedia.org/resource/Romania","Bucharest","http://dbpedia.org/resource/Bucharest","Buchharest","http://dbpedia.org/resource/Bucharest","Iași","http://dbpedia.org/resource/Iași",""
"Romania","http://dbpedia.org/resource/Romania","Bucharest","http://dbpedia.org/resource/Bucharest","Bucharesttt","http://dbpedia.org/resource/Bucharest","Constanța","http://dbpedia.org/resource/Constanța","[179]"
"Russia","http://dbpedia.org/resource/Russia","Moscow","http://dbpedia.org/resource/Moscow","Moscowww","http://dbpedia.org/resource/Moscow","Saint Petersburg","http://dbpedia.org/resource/Saint_Petersburg","[180]"
"Rwanda","http://dbpedia.org/resource/Rwanda","Kigali","http://dbpedia.org/resource/Kigali","Kigaliii","http://dbpedia.org/resource/Kigali","Muhanga","http://dbpedia.org/resource/Muhanga","[181]"
"Saint Barthélemy (France)","http://dbpedia.org/resource/Saint_Barthélemy","Gustavia","http://dbpedia.org/resource/Gustavia,_Saint_Barthélemy","Gustaviaa","http://dbpedia.org/resource/Gustavia,_Saint_Barthélemy","St. Jean","http://dbpedia.org/resource/Saint_Jean,_Saint_Barthélemy",""
"Saint Helena (UK)","http://dbpedia.org/resource/Saint_Helena","Jamestown","http://dbpedia.org/resource/Jamestown,_Saint_Helena","HHalf Tree Holloww","http://dbpedia.org/resource/Half_Tree_Hollow","Jamestown","http://dbpedia.org/resource/Jamestown,_Saint_Helena","[182]"
"Saint Kitts and Nevis","http://dbpedia.org/resource/Saint_Kitts_and_Nevis","Basseterre","http://dbpedia.org/resource/Basseterre","Basseterre","http://dbpedia.org/resource/Basseterre","Charlestown","http://dbpedia.org/resource/Charlestown,_Saint_Kitts_and_Nevis","[183]"
"Saint Lucia","http://dbpedia.org/resource/Saint_Lucia","Castries","http://dbpedia.org/resource/Castries","Castriess","http://dbpedia.org/resource/Castries","Gros Islet","http://dbpedia.org/resource/Gros_Islet","[184]"
"Saint Martin (France)","http://dbpedia.org/resource/Collectivity_of_Saint_Martin","Marigot","http://dbpedia.org/resource/Marigot,_Saint_Martin","Marigott","http://dbpedia.org/resource/Marigot,_Saint_Martin","Rambaud","",""
"Saint Pierre and Miquelon (France)","http://dbpedia.org/resource/Saint_Pierre_and_Miquelon","Saint-Pierre","http://dbpedia.org/resource/Saint-Pierre,_Saint_Pierre_and_Miquelon","Saint-PPierre","http://dbpedia.org/resource/Saint-Pierre,_Saint_Pierre_and_Miquelon","Miquelon","http://dbpedia.org/resource/Miquelon-Langlade","[185]"
"Saint Vincent and the Grenadines","http://dbpedia.org/resource/Saint_Vincent_and_the_Grenadines","Kingstown","http://dbpedia.org/resource/Kingstown","Kingstownn","http://dbpedia.org/resource/Kingstown","Georgetown","http://dbpedia.org/resource/Georgetown,_Saint_Vincent_and_the_Grenadines","[186]"
"Samoa","http://dbpedia.org/resource/Samoa","Apia","http://dbpedia.org/resource/Apia","Apiaa","http://dbpedia.org/resource/Apia","Vaitele","","[187]"
"San Marino","http://dbpedia.org/resource/San_Marino","San Marino","http://dbpedia.org/resource/City_of_San_Marino","Doganaa","http://dbpedia.org/resource/Dogana","Borgo Maggiore","http://dbpedia.org/resource/Borgo_Maggiore","[188]"
"São Tomé and Príncipe","http://dbpedia.org/resource/São_Tomé_and_Príncipe","São Tomé","http://dbpedia.org/resource/São_Tomé","São Toméé","http://dbpedia.org/resource/São_Tomé","Trindade","http://dbpedia.org/resource/Trindade,_São_Tomé_and_Principe","[189]"
"Saudi Arabia","http://dbpedia.org/resource/Saudi_Arabia","Riyadh","http://dbpedia.org/resource/Riyadh","Riyadhhh","http://dbpedia.org/resource/Riyadh","Jeddah","http://dbpedia.org/resource/Jeddah","[190]"
"Senegal","http://dbpedia.org/resource/Senegal","Dakar","http://dbpedia.org/resource/Dakar","Daakarr","http://dbpedia.org/resource/Dakar","Touba","http://dbpedia.org/resource/Touba,_Senegal","[191]"
"Serbia","http://dbpedia.org/resource/Serbia","Belgrade","http://dbpedia.org/resource/Belgrade","BBelgrrade","http://dbpedia.org/resource/Belgrade","Novi Sad","http://dbpedia.org/resource/Novi_Sad","[192]"
"Seychelles","http://dbpedia.org/resource/Seychelles","Victoria","http://dbpedia.org/resource/Victoria,_Seychelles","Victoriaa","http://dbpedia.org/resource/Victoria,_Seychelles","Anse Etoile","http://dbpedia.org/resource/Anse_Etoile",""
"Sierra Leone","http://dbpedia.org/resource/Sierra_Leone","Freetown","http://dbpedia.org/resource/Freetown","Frreetoown","http://dbpedia.org/resource/Freetown","Bo","http://dbpedia.org/resource/Bo,_Sierra_Leone","[193]"
"Singapore","http://dbpedia.org/resource/Singapore","Singapore","http://dbpedia.org/resource/Singapore","Singaporee","http://dbpedia.org/resource/Singapore","","","[136]"
"Sint Maarten (Netherlands)","http://dbpedia.org/resource/Sint_Maarten","Philipsburg","http://dbpedia.org/resource/Philipsburg,_Sint_Maarten","Loower Prince's Quarterr","http://dbpedia.org/resource/Lower_Prince's_Quarter","Cul De Sac","","[194]"
"Slovakia","http://dbpedia.org/resource/Slovakia","Bratislava","http://dbpedia.org/resource/Bratislava","Bratisllava","http://dbpedia.org/resource/Bratislava","Košice","http://dbpedia.org/resource/Košice","[195]"
"Slovenia","http://dbpedia.org/resource/Slovenia","Ljubljana","http://dbpedia.org/resource/Ljubljana","Ljubljanaa","http://dbpedia.org/resource/Ljubljana","Maribor","http://dbpedia.org/resource/Maribor","[196]"
"Solomon Islands","http://dbpedia.org/resource/Solomon_Islands","Honiara","http://dbpedia.org/resource/Honiara","Honiara","http://dbpedia.org/resource/Honiara","Gizo","http://dbpedia.org/resource/Gizo,_Solomon_Islands","[197]"
"Somalia","http://dbpedia.org/resource/Somalia","Mogadishu","http://dbpedia.org/resource/Mogadishu","Mogadishuuu","http://dbpedia.org/resource/Mogadishu","Hargeisa","http://dbpedia.org/resource/Hargeisa",""
"Somaliland","http://dbpedia.org/resource/Somaliland","Hargeisa","http://dbpedia.org/resource/Hargeisa","Hargeisaa","http://dbpedia.org/resource/Hargeisa","Burao","http://dbpedia.org/resource/Burao",""
"South Africa","http://dbpedia.org/resource/South_Africa","Pretoria","http://dbpedia.org/resource/Pretoria","Cape Town[Note 5]]","http://dbpedia.org/resource/Cape_Town","Durban","http://dbpedia.org/resource/Durban","[198][199]"
"South Africa","http://dbpedia.org/resource/South_Africa","Pretoria","http://dbpedia.org/resource/Pretoria","Johannesburgg","http://dbpedia.org/resource/Johannesburg","Cape Town[Note 5]","http://dbpedia.org/resource/Cape_Town","[198][199]"
"South Georgia and the South Sandwich Islands (UK)","http://dbpedia.org/resource/South_Georgia_and_the_South_Sandwich_Islands","King Edward Point","http://dbpedia.org/resource/King_Edward_Point","King Edward Pointt","http://dbpedia.org/resource/King_Edward_Point","Grytviken","http://dbpedia.org/resource/Grytviken","[200]"
"South Ossetia","http://dbpedia.org/resource/South_Ossetia","Tskhinvali","http://dbpedia.org/resource/Tskhinvali","Tskhinvali","http://dbpedia.org/resource/Tskhinvali","Akhalgori","http://dbpedia.org/resource/Akhalgori",""
"South Sudan","http://dbpedia.org/resource/South_Sudan","Juba","http://dbpedia.org/resource/Juba","Jubaaa","http://dbpedia.org/resource/Juba","Yei","http://dbpedia.org/resource/Yei,_South_Sudan",""
"Spain","http://dbpedia.org/resource/Spain","Madrid","http://dbpedia.org/resource/Madrid","Madrid","http://dbpedia.org/resource/Madrid","Barcelona","http://dbpedia.org/resource/Barcelona","[201]"
"Sri Lanka","http://dbpedia.org/resource/Sri_Lanka","Sri Jayawardenepura Kotte","http://dbpedia.org/resource/Sri_Jayawardenepura_Kotte","Colombo","http://dbpedia.org/resource/Colombo","Dehiwala-Mount Lavinia","http://dbpedia.org/resource/Dehiwala-Mount_Lavinia","[202]"
"Sudan","http://dbpedia.org/resource/Sudan","Khartoum","http://dbpedia.org/resource/Khartoum","Omdurman","http://dbpedia.org/resource/Omdurman","Khartoum","http://dbpedia.org/resource/Khartoum","[203][204]"
"Sudan","http://dbpedia.org/resource/Sudan","Khartoum","http://dbpedia.org/resource/Khartoum","Khhartoumm","http://dbpedia.org/resource/Khartoum","Port Sudan","http://dbpedia.org/resource/Port_Sudan","[203][204]"
"Suriname","http://dbpedia.org/resource/Suriname","Paramaribo","http://dbpedia.org/resource/Paramaribo","Paramariiboo","http://dbpedia.org/resource/Paramaribo","Lelydorp","http://dbpedia.org/resource/Lelydorp","[205]"
"Svalbard and Jan Mayen (Norway)","http://dbpedia.org/resource/Svalbard_and_Jan_Mayen","Longyearbyen","http://dbpedia.org/resource/Longyearbyen","Longyearbyenn","http://dbpedia.org/resource/Longyearbyen","Barentsburg","http://dbpedia.org/resource/Barentsburg","[206]"
"Sweden","http://dbpedia.org/resource/Sweden","Stockholm","http://dbpedia.org/resource/Stockholm","Stoockholm","http://dbpedia.org/resource/Stockholm","Gothenburg","http://dbpedia.org/resource/Gothenburg","[207]"
"Switzerland","http://dbpedia.org/resource/Switzerland","Bern","http://dbpedia.org/resource/Bern","Zürichhh","http://dbpedia.org/resource/Zürich","Geneva","http://dbpedia.org/resource/Geneva","[208]"
"Syria","http://dbpedia.org/resource/Syria","Damascus","http://dbpedia.org/resource/Damascus","Alepppo","http://dbpedia.org/resource/Aleppo","Damascus","http://dbpedia.org/resource/Damascus","[209][210]"
"Taiwan","http://dbpedia.org/resource/Taiwan","Taipei","http://dbpedia.org/resource/Taipei","New TTaipeii","http://dbpedia.org/resource/New_Taipei","Taichung","http://dbpedia.org/resource/Taichung","[211][212]"
"Taiwan","http://dbpedia.org/resource/Taiwan","Taipei","http://dbpedia.org/resource/Taipei","Greater TTaipei","http://dbpedia.org/resource/Taipei–Keelung_metropolitan_area","Greater Kaohsiung","http://dbpedia.org/resource/Kaohsiung_metropolitan_area",""
"Tajikistan","http://dbpedia.org/resource/Tajikistan","Dushanbe","http://dbpedia.org/resource/Dushanbe","Dushanbe","http://dbpedia.org/resource/Dushanbe","Khujand","http://dbpedia.org/resource/Khujand","[213]"
"Tanzania","http://dbpedia.org/resource/Tanzania","Dodoma","http://dbpedia.org/resource/Dodoma","Dar es Salaamm","http://dbpedia.org/resource/Dar_es_Salaam","Mwanza","http://dbpedia.org/resource/Mwanza","[214]"
"Thailand","http://dbpedia.org/resource/Thailand","Bangkok","http://dbpedia.org/resource/Bangkok","Baangkokk","http://dbpedia.org/resource/Bangkok","Nonthaburi","http://dbpedia.org/resource/Nonthaburi_(city)","[215][216]"
"Thailand","http://dbpedia.org/resource/Thailand","Bangkok","http://dbpedia.org/resource/Bangkok","Bangkokkk","http://dbpedia.org/resource/Bangkok","Pak Kret","http://dbpedia.org/resource/Pak_Kret","[215][216]"
"Togo","http://dbpedia.org/resource/Togo","Lomé","http://dbpedia.org/resource/Lomé","Lommmé","http://dbpedia.org/resource/Lomé","Sokodé","http://dbpedia.org/resource/Sokodé","[217]"
"Tokelau (New Zealand)","http://dbpedia.org/resource/Tokelau","","","Fakaaofo","http://dbpedia.org/resource/Fakaofo","Atafu","http://dbpedia.org/resource/Atafu","[218]"
"Tonga","http://dbpedia.org/resource/Tonga","Nukuʻalofa","http://dbpedia.org/resource/Nukuʻalofa","Nukuʻalofaa","http://dbpedia.org/resource/Nukuʻalofa","Neiafu","http://dbpedia.org/resource/Neiafu_(Vava'u)","[219]"
"Transnistria (Moldova)","http://dbpedia.org/resource/Transnistria","Tiraspol","http://dbpedia.org/resource/Tiraspol","Tiraspolll","http://dbpedia.org/resource/Tiraspol","Tighina","http://dbpedia.org/resource/Tighina",""
"Trinidad and Tobago","http://dbpedia.org/resource/Trinidad_and_Tobago","Port of Spain","http://dbpedia.org/resource/Port_of_Spain","Chagguanass","http://dbpedia.org/resource/Chaguanas","San Fernando","http://dbpedia.org/resource/San_Fernando,_Trinidad_and_Tobago","[220]"
"Tunisia","http://dbpedia.org/resource/Tunisia","Tunis","http://dbpedia.org/resource/Tunis","Tuniss","http://dbpedia.org/resource/Tunis","Sfax","http://dbpedia.org/resource/Sfax","[221]"
"Turkey","http://dbpedia.org/resource/Turkey","Ankara","http://dbpedia.org/resource/Ankara","Istanbull","http://dbpedia.org/resource/Istanbul","Ankara","http://dbpedia.org/resource/Ankara","[222]"
"Turkmenistan","http://dbpedia.org/resource/Turkmenistan","Ashgabat","http://dbpedia.org/resource/Ashgabat","Ashgabatt","http://dbpedia.org/resource/Ashgabat","Türkmenabat","http://dbpedia.org/resource/Türkmenabat","[223]"
"Turks and Caicos Islands (UK)","http://dbpedia.org/resource/Turks_and_Caicos_Islands","Cockburn Town","http://dbpedia.org/resource/Cockburn_Town","Five Cayss","","Honda Road","","[224]"
"Tuvalu","http://dbpedia.org/resource/Tuvalu","Funafuti[Note 6]","http://dbpedia.org/resource/Funafuti","Funafutii","http://dbpedia.org/resource/Funafuti","Asau","http://dbpedia.org/resource/Asau_(Tuvalu)","[225]"
"Uganda","http://dbpedia.org/resource/Uganda","Kampala","http://dbpedia.org/resource/Kampala","KKampalaa","http://dbpedia.org/resource/Kampala","Gulu","http://dbpedia.org/resource/Gulu","[226]"
"Ukraine","http://dbpedia.org/resource/Ukraine","Kiev","http://dbpedia.org/resource/Kiev","Kievv","http://dbpedia.org/resource/Kiev","Kharkiv","http://dbpedia.org/resource/Kharkiv","[227][228]"
