"???O","???O__URI","???[?O","?`?[??","?`?[??__URI","????","?N","??"
"Bobby Veach","http://dbpedia.org/resource/Bobby_Veach","?`?k","Tigers","http://dbpedia.org/resource/Detroit_Tigers","09-17","1920","."
"George Burns","http://dbpedia.org/resource/George_Burns_(outfielder)","?m?k","Giants","http://dbpedia.org/resource/San_Francisco_Giants","09-17","1920","."
"George Sisler","http://dbpedia.org/resource/George_Sisler","?`?k","Browns","http://dbpedia.org/resource/History_of_the_St._Louis_Browns","08-08","1920","1"
"Cliff Heathcote","http://dbpedia.org/resource/Cliff_Heathcote","?m?k","Cardinals","http://dbpedia.org/resource/St._Louis_Cardinals","07-13","1918","."
"Heinie Groh","http://dbpedia.org/resource/Heinie_Groh","?m?k","Reds","http://dbpedia.org/resource/Cincinnati_Reds","07-05","1915","."
"Honus Wagner","http://dbpedia.org/resource/Honus_Wagner","?m?k","Pirates","http://dbpedia.org/resource/Pittsburgh_Pirates","08-22","1912","."
"Bert Daniels","http://dbpedia.org/resource/Bert_Daniels","?`?k","Yankees","http://dbpedia.org/resource/New_York_Yankees","07-25","1912","."
"Chief Meyers","http://dbpedia.org/resource/Chief_Meyers","?m?k","Giants","http://dbpedia.org/resource/San_Francisco_Giants","06-10","1912","."
"Tris Speaker","http://dbpedia.org/resource/Tris_Speaker","?`?k","Red Sox","http://dbpedia.org/resource/Boston_Red_Sox","06-09","1912","."
"Mike Mitchell","http://dbpedia.org/resource/Mike_Mitchell_(baseball)","?m?k","Reds","http://dbpedia.org/resource/Cincinnati_Reds","08-19","1911","."
"Frank Baker","http://dbpedia.org/resource/Frank_Baker_(outfielder)","?`?k","Athletics","http://dbpedia.org/resource/Oakland_Athletics","07-03","1911","."
"Bill Collins","http://dbpedia.org/resource/Bill_Collins_(outfielder)","?m?k","Braves","http://dbpedia.org/resource/Atlanta_Braves","10-06","1910","."
"Danny Murphy","http://dbpedia.org/resource/Danny_Murphy_(second_baseman)","?`?k","Athletics","http://dbpedia.org/resource/Oakland_Athletics","08-25","1910","."
"Owen Wilson","http://dbpedia.org/resource/Chief_Wilson","?m?k","Pirates","http://dbpedia.org/resource/Pittsburgh_Pirates","07-03","1910","."
"Otis Clymer","http://dbpedia.org/resource/Otis_Clymer","?`?k","Senators","http://dbpedia.org/resource/History_of_the_Washington_Senators_(1901-60)","10-02","1908","."
"John Bates","http://dbpedia.org/resource/John_Bates_(baseball)","?m?k","Braves","http://dbpedia.org/resource/Atlanta_Braves","04-26","1907","."
"Sam Mertes","http://dbpedia.org/resource/Sam_Mertes","?m?k","Giants","http://dbpedia.org/resource/San_Francisco_Giants","10-04","1904","."
"Duff Cooley","http://dbpedia.org/resource/Duff_Cooley","?m?k","Braves","http://dbpedia.org/resource/Atlanta_Braves","06-20","1904","."
"Bill Bradley","http://dbpedia.org/resource/Bill_Bradley","?`?k","Indians","http://dbpedia.org/resource/Cleveland_Indians","09-24","1903","."
"Pat Dougherty","http://dbpedia.org/resource/Pat_Dougherty","?`?k","Red Sox","http://dbpedia.org/resource/Boston_Red_Sox","07-29","1903","."
"Buck Freeman","http://dbpedia.org/resource/Buck_Freeman","?`?k","Red Sox","http://dbpedia.org/resource/Boston_Red_Sox","07-21","1903","."
"Fred Clarke","http://dbpedia.org/resource/Fred_Clarke","?m?k","Pirates","http://dbpedia.org/resource/Pittsburgh_Pirates","05-07","1903","2"
"Nap Lajoie","http://dbpedia.org/resource/Nap_Lajoie","?`?k","Athletics","http://dbpedia.org/resource/Oakland_Athletics","07-30","1901","."
"Fred Clarke","http://dbpedia.org/resource/Fred_Clarke","?m?k","Pirates","http://dbpedia.org/resource/Pittsburgh_Pirates","07-23","1901","1"
"Harry Davis","http://dbpedia.org/resource/Harry_Davis_(1900s_first_baseman)","?`?k","Athletics","http://dbpedia.org/resource/Oakland_Athletics","07-10","1901","."
"Bill Joyce","http://dbpedia.org/resource/Bill_Joyce_(baseball)","?m?k","Washington","http://dbpedia.org/resource/Washington_Senators_(1891–99)","05-30","1896","."
"Herman Long","http://dbpedia.org/resource/Herman_Long_(baseball)","?m?k","Boston","http://dbpedia.org/resource/History_of_the_Boston_Braves","05-09","1896","."
"Ed Cartwright","http://dbpedia.org/resource/Ed_Cartwright","?m?k","Washington","http://dbpedia.org/resource/Washington_Senators_(1891–99)","09-30","1895","."
"Tom Dowd","http://dbpedia.org/resource/Tommy_Dowd_(baseball)","?m?k","St. Louis","http://dbpedia.org/resource/History_of_the_St._Louis_Browns","08-16","1895","."
"Tom Parrett","http://dbpedia.org/resource/Tom_Parrott","?m?k","Cincinnati","http://dbpedia.org/resource/Cincinnati_Reds","09-28","1894","."
"Sam Thompson","http://dbpedia.org/resource/Sam_Thompson","?m?k","Philadelphia","http://dbpedia.org/resource/Philadelphia_Phillies","08-17","1894","."
"Bill Hassamaer","http://dbpedia.org/resource/Bill_Hassamaer","?m?k","Washington","http://dbpedia.org/resource/Washington_Senators_(1891–99)","06-13","1894","."
"Lave Cross","http://dbpedia.org/resource/Lave_Cross","?m?k","Philadelphia","http://dbpedia.org/resource/Philadelphia_Phillies","04-24","1894","."
"Jimmy Ryan","http://dbpedia.org/resource/Jimmy_Ryan_(baseball)","?m?k","Chicago","http://dbpedia.org/resource/History_of_the_Chicago_Cubs","07-01","1891","2"
"John Reilly","http://dbpedia.org/resource/John_Reilly_(baseball)","?m?k","Cincinnati","http://dbpedia.org/resource/Cincinnati_Reds","08-06","1890","."
"Tom Burns","http://dbpedia.org/resource/Tom_Burns_(baseball)","?m?k","Brooklyn","http://dbpedia.org/resource/History_of_the_Brooklyn_Dodgers","08-01","1890","."
"Larry Twitchell","http://dbpedia.org/resource/Larry_Twitchell","?m?k","Cleveland","http://dbpedia.org/resource/Cleveland_Spiders","08-15","1889","."
"John Glasscock","http://dbpedia.org/resource/Jack_Glasscock","?m?k","Indianapolis","http://dbpedia.org/resource/St._Louis_Maroons/Indianapolis_Hoosiers","08-08","1889","."
"Mike Tiernan","http://dbpedia.org/resource/Mike_Tiernan","?m?k","New York","http://dbpedia.org/resource/History_of_the_New_York_Giants_(baseball)","08-25","1888","."
"Jimmy Ryan","http://dbpedia.org/resource/Jimmy_Ryan_(baseball)","?m?k","Chicago","http://dbpedia.org/resource/History_of_the_Chicago_Cubs","07-28","1888","1"
"Fred Carroll","http://dbpedia.org/resource/Fred_Carroll","?m?k","Pittsburgh","http://dbpedia.org/resource/Pittsburgh_Pirates","05-02","1887","."
"John Rowe","http://dbpedia.org/resource/Jack_Rowe","?m?k","Detroit","http://dbpedia.org/resource/Detroit_Wolverines","08-21","1886","."
"Fred Dunlap","http://dbpedia.org/resource/Fred_Dunlap","?m?k","St. Louis","http://dbpedia.org/resource/History_of_the_St._Louis_Browns","05-24","1886","."
"Bill McQuery","http://dbpedia.org/resource/Mox_McQuery","?m?k","Detroit","http://dbpedia.org/resource/Detroit_Wolverines","09-28","1885","."
"George Wood","http://dbpedia.org/resource/George_Wood_(baseball)","?m?k","Detroit","http://dbpedia.org/resource/Detroit_Wolverines","06-13","1885","."
"Jim O'Rourke","http://dbpedia.org/resource/Jim_O'Rourke_(baseball)","?m?k","Buffalo","http://dbpedia.org/resource/Buffalo_Bisons_(NL)","06-16","1884","."
"Charles Foley","http://dbpedia.org/resource/Curry_Foley","?m?k","Buffalo","http://dbpedia.org/resource/Buffalo_Bisons_(NL)","05-25","1882","."
