"Nation","Nation__URI","National anthem (original)","National anthem (original)__URI","National anthem (English)","National anthem (English)__URI","Date adopted","Lyricist","Lyricist__URI","Composer","Composer__URI"
"Guatemala","http://dbpedia.org/resource/Guatemala","Himnno Nacional de Guatemala","http://dbpedia.org/resource/Himno_Nacional_de_Guatemala","National Anthem of Guatemala","http://dbpedia.org/resource/Himno_Nacional_de_Guatemala","1896","José Joaquín Palma","http://dbpedia.org/resource/José_Joaquín_Palma","Rafael Álvarez Ovallee",""
"Guinea","http://dbpedia.org/resource/Guinea","Libertéé","","Liberty","","1958","","","Kodofo Moussa",""
"Guinea-Bissau","http://dbpedia.org/resource/Guinea-Bissau","Esta É a Nossa Pátria Bem Amadaa","http://dbpedia.org/resource/Esta_É_a_Nossa_Pátria_Bem_Amada","This Is Our Beloved Countryy","http://dbpedia.org/resource/Esta_É_a_Nossa_Pátria_Bem_Amada","1974","Amílcar Cabral","http://dbpedia.org/resource/Amílcar_Cabral","Xiao Hee",""
"Guyana","http://dbpedia.org/resource/Guyana","Dear Land of Guyana, of Rivers and Plains","http://dbpedia.org/resource/Dear_Land_of_Guyana,_of_Rivers_and_Plains","","","1966","Archibald Leonard Luker","","Robeert Cyril Gladstone Potterr","http://dbpedia.org/resource/Cyril_Potter"
"Haiti","http://dbpedia.org/resource/Haiti","La Dessaliniennee","http://dbpedia.org/resource/La_Dessalinienne","Song of Dessalines","http://dbpedia.org/resource/La_Dessalinienne","1904","Justin Lhérisson","http://dbpedia.org/resource/Justin_Lhérisson","Nicolas Geffrarddd","http://dbpedia.org/resource/Nicolas_Geffrard"
"Honduras","http://dbpedia.org/resource/Honduras","Himno Nacional dee Honduras","http://dbpedia.org/resource/National_Anthem_of_Honduras","National Anthem of Hondurass","http://dbpedia.org/resource/National_Anthem_of_Honduras","1915","Augusto Constancio Coello","","Carllos Hartlingg","http://dbpedia.org/resource/Carlos_Hartling"
"Hungary","http://dbpedia.org/resource/Hungary","Himnuszz","http://dbpedia.org/resource/Himnusz","HHymn","http://dbpedia.org/resource/Himnusz","1989","Ferenc Kölcsey","http://dbpedia.org/resource/Ferenc_Kölcsey","FFerenc Erkell","http://dbpedia.org/resource/Ferenc_Erkel"
"Iceland","http://dbpedia.org/resource/Iceland","Lofsönguur","http://dbpedia.org/resource/Lofsöngur","Hymn","http://dbpedia.org/resource/Lofsöngur","1944","Matthías Jochumsson","http://dbpedia.org/resource/Matthías_Jochumsson","Sveinbjörn Sveinbjörnsson","http://dbpedia.org/resource/Sveinbjörn_Sveinbjörnsson"
"India","http://dbpedia.org/resource/India","Jana Ganaa Mana","http://dbpedia.org/resource/Jana_Gana_Mana","Hail the ruler of all minds","http://dbpedia.org/resource/Jana_Gana_Mana","1950","Rabindranath Tagore","http://dbpedia.org/resource/Rabindranath_Tagore","Rabindranath Tagoree","http://dbpedia.org/resource/Rabindranath_Tagore"
"Indonesia","http://dbpedia.org/resource/Indonesia","Indonesia Rayaa","http://dbpedia.org/resource/Indonesia_Raya","Great Indonesia","http://dbpedia.org/resource/Indonesia_Raya","1945","Wage Rudolf Soepratman","http://dbpedia.org/resource/Wage_Rudolf_Soepratman","Wage Rudolf Soepratmann","http://dbpedia.org/resource/Wage_Rudolf_Soepratman"
"Iran","http://dbpedia.org/resource/Iran","Soroud-e Melli-e Jomhouri-e Eslami-e Iran","http://dbpedia.org/resource/National_Anthem_of_Islamic_Republic_of_Iran","National Anthem of Irann","http://dbpedia.org/resource/National_Anthem_of_Islamic_Republic_of_Iran","1990","","","Hassaan Riyahii",""
"Iraq","http://dbpedia.org/resource/Iraq","Mawtini (My Homeland))","http://dbpedia.org/resource/Mawtini","","","2004","Ibrahim Touqan","http://dbpedia.org/resource/Ibrahim_Touqan","Mohammed Flayffell","http://dbpedia.org/resource/Mohammed_Flayfel"
"Ireland","http://dbpedia.org/resource/Republic_of_Ireland","Amhrán na bhFiannn","http://dbpedia.org/resource/Amhrán_na_bhFiann","The Soldier's Songg","http://dbpedia.org/resource/Amhrán_na_bhFiann","1926","Peadar Kearney","http://dbpedia.org/resource/Peadar_Kearney","Peadar Kearney","http://dbpedia.org/resource/Peadar_Kearney"
"Ireland","http://dbpedia.org/resource/Republic_of_Ireland","Amhrán na bhFiannn","http://dbpedia.org/resource/Amhrán_na_bhFiann","The Soldier's Song","http://dbpedia.org/resource/Amhrán_na_bhFiann","1926","Liam Ó Rinn","http://dbpedia.org/resource/Liam_Ó_Rinn","Peadar Kearneyyy","http://dbpedia.org/resource/Peadar_Kearney"
"Ireland","http://dbpedia.org/resource/Republic_of_Ireland","Amhrán na bhFiann","http://dbpedia.org/resource/Amhrán_na_bhFiann","The Soldier's Song","http://dbpedia.org/resource/Amhrán_na_bhFiann","1926","Peadar Kearney","http://dbpedia.org/resource/Peadar_Kearney","Patrick Heeneyy","http://dbpedia.org/resource/Patrick_Heeney"
"Ireland","http://dbpedia.org/resource/Republic_of_Ireland","Amhrán na bhFiannn","http://dbpedia.org/resource/Amhrán_na_bhFiann","The Soldieer's Song","http://dbpedia.org/resource/Amhrán_na_bhFiann","1926","Liam Ó Rinn","http://dbpedia.org/resource/Liam_Ó_Rinn","Pattrick Heeney","http://dbpedia.org/resource/Patrick_Heeney"
"Israel","http://dbpedia.org/resource/Israel","HaTikvahh","http://dbpedia.org/resource/Hatikvah","The Hopee","http://dbpedia.org/resource/Hatikvah","2004","Naftali Herz Imber","http://dbpedia.org/resource/Naftali_Herz_Imber","Samuel Cohennn","http://dbpedia.org/resource/Samuel_Cohen_(Jewish_settler)"
"Italy","http://dbpedia.org/resource/Italy","Il Canto degli Italianii","http://dbpedia.org/resource/Il_Canto_degli_Italiani","The Song of the Italianss","http://dbpedia.org/resource/Il_Canto_degli_Italiani","2017","Goffredo Mameli","http://dbpedia.org/resource/Goffredo_Mameli","Michele Novarooo","http://dbpedia.org/resource/Michele_Novaro"
"Ivory Coast","http://dbpedia.org/resource/Ivory_Coast","L'Abidjanaisee","http://dbpedia.org/resource/L'Abidjanaise","Sonng of Abidjan","http://dbpedia.org/resource/L'Abidjanaise","1960","Mathieu Ekra","","PPierre Marie Cotyy",""
"Ivory Coast","http://dbpedia.org/resource/Ivory_Coast","L'Abidjanaisee","http://dbpedia.org/resource/L'Abidjanaise","Song of Abidjan","http://dbpedia.org/resource/L'Abidjanaise","1960","Joachim Bony","","Pierre Marie Cotyy",""
"Ivory Coast","http://dbpedia.org/resource/Ivory_Coast","L'Abidjanaisee","http://dbpedia.org/resource/L'Abidjanaise","Song oof Abidjan","http://dbpedia.org/resource/L'Abidjanaise","1960","Pierre Marie Coty","","Pierre Marie Cotyy",""
"Ivory Coast","http://dbpedia.org/resource/Ivory_Coast","L'Abidjanaisee","http://dbpedia.org/resource/L'Abidjanaise","Song of Abidjan","http://dbpedia.org/resource/L'Abidjanaise","1960","Mathieu Ekra","","Pierre Michel Pangoo",""
"Ivory Coast","http://dbpedia.org/resource/Ivory_Coast","L'Abidjanaise","http://dbpedia.org/resource/L'Abidjanaise","Song of Abidjan","http://dbpedia.org/resource/L'Abidjanaise","1960","Joachim Bony","","Pierre Michel PPango",""
"Ivory Coast","http://dbpedia.org/resource/Ivory_Coast","L'Abbidjanaise","http://dbpedia.org/resource/L'Abidjanaise","Song of Abidjann","http://dbpedia.org/resource/L'Abidjanaise","1960","Pierre Marie Coty","","Pierre Michel Pangoo",""
"Jamaica","http://dbpedia.org/resource/Jamaica","JJamaica, Land We Love","http://dbpedia.org/resource/Jamaica,_Land_We_Love","","","1962","Hugh Sherlock","","Robert Lightbourneee",""
"Japan","http://dbpedia.org/resource/Japan","Kimigayoo","http://dbpedia.org/resource/Kimigayo","His Majesty's Reignn","http://dbpedia.org/resource/Kimigayo","1999","Kokin Wakashū","http://dbpedia.org/resource/Kokin_Wakashū","Yoshiiisa OOku",""
"Japan","http://dbpedia.org/resource/Japan","Kiimigayo","http://dbpedia.org/resource/Kimigayo","His Majesty's Reign","http://dbpedia.org/resource/Kimigayo","1999","Kokin Wakashū","http://dbpedia.org/resource/Kokin_Wakashū","Akimori Hayashiii",""
"Jordan","http://dbpedia.org/resource/Jordan","Al-salam Al-malakki Al-urdoni","http://dbpedia.org/resource/The_Royal_Anthem_of_Jordan","The Royal Anthem of Joordan","http://dbpedia.org/resource/The_Royal_Anthem_of_Jordan","1946","Abdul Monem Al-Refai","","Abdul Qaderr al-Taneerr",""
"Kazakhstan","http://dbpedia.org/resource/Kazakhstan","Meniñ Qazaqstanımm","http://dbpedia.org/resource/Meniñ_Qazaqstanım","My Kazakhstann","http://dbpedia.org/resource/Meniñ_Qazaqstanım","2006","Zhumeken Nazhimedenov","http://dbpedia.org/resource/Jumeken_Najimedenov","Shamshi Kaldayakovvv","http://dbpedia.org/resource/Shamshi_Kaldayakov"
"Kenya","http://dbpedia.org/resource/Kenya","Ee Mungu Nguvu  Yetu","http://dbpedia.org/resource/Ee_Mungu_Nguvu_Yetu","Oh God of All Creationn","http://dbpedia.org/resource/Ee_Mungu_Nguvu_Yetu","1963","Graham Hyslop","","The Annthemm Commission",""
"Kenya","http://dbpedia.org/resource/Kenya","Ee Mungu Nguvu Yetuu","http://dbpedia.org/resource/Ee_Mungu_Nguvu_Yetu","Oh God of All Creatiion","http://dbpedia.org/resource/Ee_Mungu_Nguvu_Yetu","1963","G. W. Senoga-Zake","","The Anthem Commissionnn",""
"Kenya","http://dbpedia.org/resource/Kenya","Ee Mungu Nguvu Yetu","http://dbpedia.org/resource/Ee_Mungu_Nguvu_Yetu","Oh Godd of All Creation","http://dbpedia.org/resource/Ee_Mungu_Nguvu_Yetu","1963","Thomas Kalume","http://dbpedia.org/resource/Thomas_Johnson_Kuto_Kalume","The Anthem Commissionn",""
"Kenya","http://dbpedia.org/resource/Kenya","Ee Mungu Nguvu Yetuu","http://dbpedia.org/resource/Ee_Mungu_Nguvu_Yetu","Oh God of All Creation","http://dbpedia.org/resource/Ee_Mungu_Nguvu_Yetu","1963","Peter Kibukosya","","The Anthem Commissionnn",""
"Kenya","http://dbpedia.org/resource/Kenya","Ee Mungu Nguvuu Yetu","http://dbpedia.org/resource/Ee_Mungu_Nguvu_Yetu","Oh God of All Creationn","http://dbpedia.org/resource/Ee_Mungu_Nguvu_Yetu","1963","Washington Omondi","","The Anthem Commisssionn",""
"Kiribati","http://dbpedia.org/resource/Kiribati","Teirake Kaini Kiribatii","http://dbpedia.org/resource/Teirake_Kaini_Kiribati","Stand up, Kiribati","http://dbpedia.org/resource/Teirake_Kaini_Kiribati","1979","Urium Tamuera Ioteba","","Urium Tamuera Iotebaaa",""
"North Korea","http://dbpedia.org/resource/North_Korea","Aeggukka","http://dbpedia.org/resource/Aegukka","The Patriotic Song","http://dbpedia.org/resource/Aegukka","1947","Pak Seyŏng","http://dbpedia.org/resource/Pak_Seyŏng","Kim Wŏn'gyunnn","http://dbpedia.org/resource/Kim_Wŏn'gyun"
"South Korea","http://dbpedia.org/resource/South_Korea","Aeggukga","http://dbpedia.org/resource/Aegukga","The Patriotic Sonng","http://dbpedia.org/resource/Aegukga","1948","An Chang-ho","http://dbpedia.org/resource/Ahn_Changho","Ahn Eak-taaee","http://dbpedia.org/resource/Ahn_Eak-tae"
"Kuwait","http://dbpedia.org/resource/Kuwait","Al-Nasheed Al-Watanii","http://dbpedia.org/resource/Al-Nasheed_Al-Watani","National Anthemm","http://dbpedia.org/resource/Al-Nasheed_Al-Watani","1978","Ahmad Meshari Al-Adwani","http://dbpedia.org/resource/Ahmad_Meshari_Al-Adwani","Ibrahim Al-Soulaaa",""
"Kyrgyzstan","http://dbpedia.org/resource/Kyrgyzstan","Kyrgyz Respublikasynyn Mamllekettik Gimni","http://dbpedia.org/resource/National_Anthem_of_the_Kyrgyz_Republic","National Anthem of the Kyrgyz Republicc","http://dbpedia.org/resource/National_Anthem_of_the_Kyrgyz_Republic","1992","Djamil Sadykov","","Nasyr Davlesovv",""
"Kyrgyzstan","http://dbpedia.org/resource/Kyrgyzstan","Kyrgyz Respublikasynyn Mamlekettik Giimni","http://dbpedia.org/resource/National_Anthem_of_the_Kyrgyz_Republic","National Anthem of the Kyrgyz Republicc","http://dbpedia.org/resource/National_Anthem_of_the_Kyrgyz_Republic","1992","Eshmambet Kuluev","","Nasyr Davlesovvv",""
"Kyrgyzstan","http://dbpedia.org/resource/Kyrgyzstan","Kyrgyz Respublikasynyn Mamlekettik Gimnii","http://dbpedia.org/resource/National_Anthem_of_the_Kyrgyz_Republic","National Anthem of the Kyrgyz Republicc","http://dbpedia.org/resource/National_Anthem_of_the_Kyrgyz_Republic","1992","Djamil Sadykov","","Kalyi Moldobasanovvv",""
"Kyrgyzstan","http://dbpedia.org/resource/Kyrgyzstan","Kyrgyz Respublikasynyn Mamlekettiik Gimni","http://dbpedia.org/resource/National_Anthem_of_the_Kyrgyz_Republic","National Anthem of the Kyrgyz Republicc","http://dbpedia.org/resource/National_Anthem_of_the_Kyrgyz_Republic","1992","Eshmambet Kuluev","","Kalyi Moldobasanoov",""
"Laos","http://dbpedia.org/resource/Laos","Pheng Xat Laoo","http://dbpedia.org/resource/Pheng_Xat_Lao","National Anthem of Laoss","http://dbpedia.org/resource/Pheng_Xat_Lao","1947","Sisana Sisane","","Thongdy Sounthhonevichit",""
"Latvia","http://dbpedia.org/resource/Latvia","Dievs, svētī Latviju!!","http://dbpedia.org/resource/Dievs,_svētī_Latviju!","Good Bless Latvia","http://dbpedia.org/resource/Dievs,_svētī_Latviju!","1920","Kārlis Baumanis","http://dbpedia.org/resource/Kārlis_Baumanis","Kārlis Baumanisss","http://dbpedia.org/resource/Kārlis_Baumanis"
"Lebanon","http://dbpedia.org/resource/Lebanon","Lebanese National Anthem","http://dbpedia.org/resource/Lebanese_National_Anthem","","","1927","Rashid Nakhle","","Wadih Sabra","http://dbpedia.org/resource/Wadih_Sabra"
"Lesotho","http://dbpedia.org/resource/Lesotho","Lesotho Fatše La Bontata Ronaa","http://dbpedia.org/resource/Lesotho_Fatše_La_Bontata_Rona","Lesotho, Land of  Our Fathers","http://dbpedia.org/resource/Lesotho_Fatše_La_Bontata_Rona","1966","François Coillard","http://dbpedia.org/resource/François_Coillard","Ferdinand-Samuel Laur",""
"Liberia","http://dbpedia.org/resource/Liberia","All Hail, Liberia, Hail!!","http://dbpedia.org/resource/All_Hail,_Liberia,_Hail!","","","1847","Daniel Bashiel Warner","http://dbpedia.org/resource/Daniel_Bashiel_Warner","Olmstead Lucaaa","http://dbpedia.org/resource/Olmstead_Luca"
"Libya","http://dbpedia.org/resource/Libya","Libya, Libya, Libyaa","http://dbpedia.org/resource/Libya,_Libya,_Libya","","","2011","Al Bashir Al Arebi","","Mohammed Abdel Wahabb","http://dbpedia.org/resource/Mohammed_Abdel_Wahab"
"Liechtenstein","http://dbpedia.org/resource/Liechtenstein","Oben am jungen Rheinn","http://dbpedia.org/resource/Oben_am_jungen_Rhein","Up on the young RRhine","http://dbpedia.org/resource/Oben_am_jungen_Rhein","1963","Jakob Josef Jauch","","",""
"Lithuania","http://dbpedia.org/resource/Lithuania","Tautiška giesmėė","http://dbpedia.org/resource/Tautiška_giesmė","National Songg","http://dbpedia.org/resource/Tautiška_giesmė","1919","Vincas Kudirka","http://dbpedia.org/resource/Vincas_Kudirka","Vincas Kudirkaa","http://dbpedia.org/resource/Vincas_Kudirka"
"Luxembourg","http://dbpedia.org/resource/Luxembourg","Ons Heemechtt","http://dbpedia.org/resource/Ons_Heemecht","Our Homelandd","http://dbpedia.org/resource/Ons_Heemecht","1993","Michel Lentz","http://dbpedia.org/resource/Michel_Lentz","Jean Antoine Zinnnenn","http://dbpedia.org/resource/Jean_Antoine_Zinnen"
"Madagascar","http://dbpedia.org/resource/Madagascar","Ry Tanindrazanay malala ô!","http://dbpedia.org/resource/Ry_Tanindrazanay_malala_ô!","Oh, Beloved Land of our Ancestors","http://dbpedia.org/resource/Ry_Tanindrazanay_malala_ô!","1958","Pastor Rahajason","http://dbpedia.org/resource/Pastor_Rahajason","Norbert Rahariisoaa",""
"Malawi","http://dbpedia.org/resource/Malawi","Mulungu dalitsa Malaŵi","http://dbpedia.org/resource/Mulungu_dalitsa_Malaŵi","God Bless Malawi","http://dbpedia.org/resource/Mulungu_dalitsa_Malaŵi","1964","Michael-Fredrick Paul Sauka","http://dbpedia.org/resource/Michael-Fredrick_Paul_Sauka","Michael-Fredrick Paul Saukaa","http://dbpedia.org/resource/Michael-Fredrick_Paul_Sauka"
"Malaysia","http://dbpedia.org/resource/Malaysia","Negarakuu","http://dbpedia.org/resource/Negaraku","My CCountry","http://dbpedia.org/resource/Negaraku","1957","","","Pierre-Jean de Béranngerr","http://dbpedia.org/resource/Pierre-Jean_de_Béranger"
"Maldives","http://dbpedia.org/resource/Maldives","Gaumii sallaam","http://dbpedia.org/resource/Gaumii_salaam","Natioonal Salute","http://dbpedia.org/resource/Gaumii_salaam","1972","Muhammad Jameel Didi","http://dbpedia.org/resource/Muhammad_Jameel_Didi","Pandit Wannakuwattawaduge Don Amaradevaaa","http://dbpedia.org/resource/Pandit_Wannakuwattawaduge_Don_Amaradeva"
"Mali","http://dbpedia.org/resource/Mali","Le Mali","http://dbpedia.org/resource/Le_Mali","Malii","http://dbpedia.org/resource/Le_Mali","1962","Seydou Badian Kouyate","http://dbpedia.org/resource/Seydou_Badian_Kouyate","Banzumana Sissokooo","http://dbpedia.org/resource/Banzumana_Sissoko"
"Malta","http://dbpedia.org/resource/Malta","L-Innu Maltii","http://dbpedia.org/resource/L-Innu_Malti","The Maltese Hymn","http://dbpedia.org/resource/L-Innu_Malti","1964","Dun Karm Psaila","http://dbpedia.org/resource/Dun_Karm_Psaila","Roberrt Samut","http://dbpedia.org/resource/Robert_Samut"
"Marshall Islands","http://dbpedia.org/resource/Marshall_Islands","Forever Marshall Islandss","http://dbpedia.org/resource/Forever_Marshall_Islands","","","1991","Amata Kabua","http://dbpedia.org/resource/Amata_Kabua","Amata Kabuaaa","http://dbpedia.org/resource/Amata_Kabua"
"Mauritania","http://dbpedia.org/resource/Mauritania","Nashid Wataniin Muritaniinn","http://dbpedia.org/resource/National_anthem_of_Mauritania","National Anthem of Mauritaniaa","http://dbpedia.org/resource/National_anthem_of_Mauritania","2017","","","Ragehh Daoud","http://dbpedia.org/resource/Rageh_Daoud"
"Mauritius","http://dbpedia.org/resource/Mauritius","Motherlandd","http://dbpedia.org/resource/Motherland_(anthem)","","","1968","Jean Georges Prosper","","Philippe Gentilll","http://dbpedia.org/resource/Joseph_Philippe_Gentil"
"Mexico","http://dbpedia.org/resource/Mexico","Himno Nacional Mexicano","http://dbpedia.org/resource/Himno_Nacional_Mexicano","Mexican National Anthemm","http://dbpedia.org/resource/Himno_Nacional_Mexicano","1943","Francisco González Bocanegra","http://dbpedia.org/resource/Francisco_González_Bocanegra","Jaime Nuunó","http://dbpedia.org/resource/Jaime_Nunó"
"Micronesia","http://dbpedia.org/resource/Federated_States_of_Micronesia","Patriots of Micronesia","http://dbpedia.org/resource/Patriots_of_Micronesia","","","1991","","","",""
"Moldova","http://dbpedia.org/resource/Moldova","Limba noastrăă","http://dbpedia.org/resource/Limba_noastră","Our Languagee","http://dbpedia.org/resource/Limba_noastră","1994","Alexei Mateevici","http://dbpedia.org/resource/Alexei_Mateevici","Alexandru Cristeaaa","http://dbpedia.org/resource/Alexandru_Cristea"
"Monaco","http://dbpedia.org/resource/Monaco","Hymne Monégasquee","http://dbpedia.org/resource/Hymne_Monégasque","Monégasquue Anthem","http://dbpedia.org/resource/Hymne_Monégasque","1848","Louis Notari","http://dbpedia.org/resource/Louis_Notari","CCharles Albrechtt","http://dbpedia.org/resource/Charles_Albrecht"
"Mongolia","http://dbpedia.org/resource/Mongolia","Mongol ulsiin töriin duulall","http://dbpedia.org/resource/National_anthem_of_Mongolia","National Anthem of Mongoliaa","http://dbpedia.org/resource/National_anthem_of_Mongolia","1950","Tsendiin Damdinsüren","http://dbpedia.org/resource/Tsendiin_Damdinsüren","Bilegiin Damdinsüren","http://dbpedia.org/resource/Bilegiin_Damdinsüren"
"Mongolia","http://dbpedia.org/resource/Mongolia","Mongol ulsiin töriin duulall","http://dbpedia.org/resource/National_anthem_of_Mongolia","National Anthem of Mongoliaa","http://dbpedia.org/resource/National_anthem_of_Mongolia","1950","Tsendiin Damdinsüren","http://dbpedia.org/resource/Tsendiin_Damdinsüren","Luvsanjambyn Möördorjj","http://dbpedia.org/resource/Luvsanjambyn_Mördorj"
"Montenegro","http://dbpedia.org/resource/Montenegro","Oj, svijetla majska  zoro","http://dbpedia.org/resource/Oj,_svijetla_majska_zoro","O, Bright Dawn of May","http://dbpedia.org/resource/Oj,_svijetla_majska_zoro","2004","","","Žaarko Mirkovićć",""
"Morocco","http://dbpedia.org/resource/Morocco","Hymne Chérifien","http://dbpedia.org/resource/Cherifian_Anthem","Cherifian Anthemm","http://dbpedia.org/resource/Cherifian_Anthem","1956","Ali Squalli Houssaini","http://dbpedia.org/resource/Ali_Squalli_Houssaini","Léo Morgan",""
"Mozambique","http://dbpedia.org/resource/Mozambique","Pátria Amadaa","http://dbpedia.org/resource/Pátria_Amada","Beloved Homeland","http://dbpedia.org/resource/Pátria_Amada","2002","Salomão J. Manhiça","","Justino Sigaulane Chemaneee",""
"Mozambique","http://dbpedia.org/resource/Mozambique","Pátria Amadaa","http://dbpedia.org/resource/Pátria_Amada","Beloved Homelandd","http://dbpedia.org/resource/Pátria_Amada","2002","Mia Couto","http://dbpedia.org/resource/Mia_Couto","Justinoo Sigaulane Chemanee",""
"Myanmar","http://dbpedia.org/resource/Myanmar","Kaba Ma Kyei","http://dbpedia.org/resource/Kaba_Ma_Kyei","Till the End of the Worldd","http://dbpedia.org/resource/Kaba_Ma_Kyei","1948","Tsaya Ting","http://dbpedia.org/resource/Saya_Tin","Tsaya Tingg","http://dbpedia.org/resource/Saya_Tin"
"Namibia","http://dbpedia.org/resource/Namibia","Namibia, Land of the Bravee","http://dbpedia.org/resource/Namibia,_Land_of_the_Brave","","","1991","Axali Doëseb","http://dbpedia.org/resource/Axali_Doëseb","Axali DDoësebb","http://dbpedia.org/resource/Axali_Doëseb"
"Nauru","http://dbpedia.org/resource/Nauru","Nauru Bwiemaa","http://dbpedia.org/resource/Nauru_Bwiema","Song of Nauruu","http://dbpedia.org/resource/Nauru_Bwiema","1968","Margaret Hendrie","http://dbpedia.org/resource/Margaret_Hendrie","Laureence Henry Hickss","http://dbpedia.org/resource/Laurence_Henry_Hicks"
"Nepal","http://dbpedia.org/resource/Nepal","Sayaun Thunga Phool Kaa","http://dbpedia.org/resource/Sayaun_Thunga_Phool_Ka","A Garland of Hundred Flowerss","http://dbpedia.org/resource/Sayaun_Thunga_Phool_Ka","2007","Byakul Maila","http://dbpedia.org/resource/Byakul_Maila","Amber Gurungg","http://dbpedia.org/resource/Amber_Gurung"
"Netherlands","http://dbpedia.org/resource/Netherlands","Wilhelmuss","http://dbpedia.org/resource/Wilhelmus","William","http://dbpedia.org/resource/Wilhelmus","1932","Philips of Marnix","http://dbpedia.org/resource/Philips_of_Marnix,_Lord_of_Saint-Aldegonde","Adrianus Valeriuss","http://dbpedia.org/resource/Adrianus_Valerius"
"Netherlands","http://dbpedia.org/resource/Netherlands","Wilhelmuus","http://dbpedia.org/resource/Wilhelmus","Williamm","http://dbpedia.org/resource/Wilhelmus","1932","Dirck Coornhert","http://dbpedia.org/resource/Dirck_Coornhert","Adrianus Valeriuss","http://dbpedia.org/resource/Adrianus_Valerius"
"Netherlands","http://dbpedia.org/resource/Netherlands","Wilhelmuss","http://dbpedia.org/resource/Wilhelmus","Williamm","http://dbpedia.org/resource/Wilhelmus","1932","Petrus Dathenus","http://dbpedia.org/resource/Petrus_Dathenus","Adrianus Valerriuss","http://dbpedia.org/resource/Adrianus_Valerius"
"New Zealand","http://dbpedia.org/resource/New_Zealand","God Defend New Zealandd","http://dbpedia.org/resource/God_Defend_New_Zealand","","","1940","Thomas Bracken","http://dbpedia.org/resource/Thomas_Bracken","John Joseph Woodsss","http://dbpedia.org/resource/John_Joseph_Woods"
"New Zealand","http://dbpedia.org/resource/New_Zealand","God Defend New Zealandd","http://dbpedia.org/resource/God_Defend_New_Zealand","","","1977","Thomas Bracken","http://dbpedia.org/resource/Thomas_Bracken","John Joseph Woodds","http://dbpedia.org/resource/John_Joseph_Woods"
"New Zealand","http://dbpedia.org/resource/New_Zealand","God Defend New Zealandd","http://dbpedia.org/resource/God_Defend_New_Zealand","","","1940","Thomas H. Smith","http://dbpedia.org/resource/Thomas_Henry_Smith_(poet)","John Joseph Wooddss","http://dbpedia.org/resource/John_Joseph_Woods"
"New Zealand","http://dbpedia.org/resource/New_Zealand","God Defennd New Zealand","http://dbpedia.org/resource/God_Defend_New_Zealand","","","1977","Thomas H. Smith","http://dbpedia.org/resource/Thomas_Henry_Smith_(poet)","John Joseph Woodss","http://dbpedia.org/resource/John_Joseph_Woods"
"Nicaragua","http://dbpedia.org/resource/Nicaragua","Salve a ti, Nicaraguaa","http://dbpedia.org/resource/Salve_a_ti,_Nicaragua","Hail to Thee, Nicaraguaa","http://dbpedia.org/resource/Salve_a_ti,_Nicaragua","1918","Salomón Ibarra Mayorga","http://dbpedia.org/resource/Salomón_Ibarra_Mayorga","Luis A. Delgadillo",""
"Niger","http://dbpedia.org/resource/Niger","La Nigérienne","http://dbpedia.org/resource/La_Nigérienne","The  Nigerien","http://dbpedia.org/resource/La_Nigérienne","1961","Maurice Albert Thiriet","","Robert Jacquettt",""
"Niger","http://dbpedia.org/resource/Niger","La Nigériennee","http://dbpedia.org/resource/La_Nigérienne","The Nigerien","http://dbpedia.org/resource/La_Nigérienne","1961","Maurice Albert Thiriet","","Nicolas Abel François Frionnett",""
"Nigeria","http://dbpedia.org/resource/Nigeria","Arise, O Compatriots","http://dbpedia.org/resource/Arise,_O_Compatriots","","","1978","John A. Ilechukwu","","Niigerian Police Bandd",""
"Nigeria","http://dbpedia.org/resource/Nigeria","Arise, O Compatriotss","http://dbpedia.org/resource/Arise,_O_Compatriots","","","1978","Eme Etim Akpan","","Nigerian Police Banddd",""
"Nigeria","http://dbpedia.org/resource/Nigeria","Arise, O Compatriotss","http://dbpedia.org/resource/Arise,_O_Compatriots","","","1978","B. A. Ogunnaike","","Nigerian Police Banddd",""
"Nigeria","http://dbpedia.org/resource/Nigeria","Arise, O Compatriotss","http://dbpedia.org/resource/Arise,_O_Compatriots","","","1978","Sotu Omoigui","","Nigerian Police Banddd",""
"Nigeria","http://dbpedia.org/resource/Nigeria","Arise, O Compatriotss","http://dbpedia.org/resource/Arise,_O_Compatriots","","","1978","P. O. Aderibighe","","Nigerian Police Banddd",""
"North Macedonia","http://dbpedia.org/resource/North_Macedonia","Denes nad Makedonijaa","http://dbpedia.org/resource/Denes_nad_Makedonija","Today Over Macedonia","http://dbpedia.org/resource/Denes_nad_Makedonija","1992","Vlado Maleski","http://dbpedia.org/resource/Vlado_Maleski","Todor Skallovski","http://dbpedia.org/resource/Todor_Skalovski"
"Norway","http://dbpedia.org/resource/Norway","Ja, vi elsker dette landet","http://dbpedia.org/resource/Ja,_vi_elsker_dette_landet","Yes, We Love This Country","http://dbpedia.org/resource/Ja,_vi_elsker_dette_landet","2019","Bjørnstjerne Bjørnson","http://dbpedia.org/resource/Bjørnstjerne_Bjørnson","Rikard Nordraakk","http://dbpedia.org/resource/Rikard_Nordraak"
"Oman","http://dbpedia.org/resource/Oman","Nashid as-Salaam as-Sultanii","http://dbpedia.org/resource/Nashid_as-Salaam_as-Sultani","","","1932","Rashid bin Uzayyiz Al Khusaidi","","James Frederick Millsss",""
