"???O","???O__URI","???[?O","?`?[??","?`?[??__URI","????","?N","??"
"Larry Doby","http://dbpedia.org/resource/Larry_Doby http://dbpedia.org/resource/Larry_Doby http://dbpedia.org/resource/Lary_Doby","?`?k","Indians","http://dbpedia.org/page/Cleveland_Indians","06-04",1952,"."
"Gus Bell","http://dbpedia.org/resource/Gus_Bell http://dbpedia.org/resource/Gus_Bell","?m?k","Pirates","http://dbpedia.org/page/Pittsburgh_Pirates","06-04",1951,"."
"Hoot Evers","http://dbpedia.org/resource/Hoot_Evers http://dbpedia.org/resource/Hoot_Evers http://dbpedia.org/resource/Walter_Evers","?`?k","Tigers","http://dbpedia.org/page/Detroit_Tigers","09-07",1950,"."
"Elmer Valo","http://dbpedia.org/resource/Elmer_Valo http://dbpedia.org/resource/Elmer_Valo","?`?k","Athletics","http://dbpedia.org/page/Oakland_Athletics","08-02",1950,"."
"Roy Smalley","http://dbpedia.org/resource/Roy_Smalley,_Jr. http://dbpedia.org/resource/Roy_Smalley_(shortstop,_born_1926) http://dbpedia.org/resource/Roy_Smalley_(NL_baseball_player) http://dbpedia.org/resource/Roy_Smalley,_Jr. http://dbpedia.org/resource/Roy_Smalley_Jr. http://dbpedia.org/resource/Roy_Frederick_Smalley,_Jr. http://dbpedia.org/resource/Roy_Smalley_(right-handed_hitter)","?m?k","Cubs","http://dbpedia.org/page/Chicago_Cubs","06-28",1950,"."
"Ralph Kiner","http://dbpedia.org/resource/Ralph_Kiner http://dbpedia.org/resource/Ralph_McPherran_Kiner http://dbpedia.org/resource/Ralph_Kiner","?m?k","Pirates","http://dbpedia.org/page/Pittsburgh_Pirates","06-25",1950,"."
"George Kell","http://dbpedia.org/resource/George_Kell http://dbpedia.org/resource/George_Kell","?`?k","Tigers","http://dbpedia.org/page/Detroit_Tigers","06-02",1950,"."
"Stan Musial","http://dbpedia.org/resource/Stan_Musial http://dbpedia.org/resource/Stanley_Frank_Musial http://dbpedia.org/resource/Stan_Musial http://dbpedia.org/resource/Stan_the_Man http://dbpedia.org/resource/Stan_The_Man","?m?k","Cardinals","https://en.wikipedia.org/wiki/St._Louis_Cardinals","07-24",1949,"."
"Gil Hodges","http://dbpedia.org/resource/Gil_Hodges http://dbpedia.org/resource/Gil_Hodges","?m?k","Dodgers","http://dbpedia.org/page/Los_Angeles_Dodgers","06-25",1949,"."
"Wally Westlake","http://dbpedia.org/resource/Wally_Westlake http://dbpedia.org/resource/Wally_Westlake","?m?k","Pirates","http://dbpedia.org/page/Pittsburgh_Pirates","06-14",1949,2
"Jackie Robinson","http://dbpedia.org/resource/Jackie_Robinson http://dbpedia.org/resource/Jackie_Robinson http://dbpedia.org/resource/Jack_R._Robinson http://dbpedia.org/resource/Jack_Roosevelt_Robinson http://dbpedia.org/resource/Jack_Roosevelt_%22Jackie%22_Robinson http://dbpedia.org/resource/Jackie_robinson http://dbpedia.org/resource/Jackie_Robinson_(athlete) http://dbpedia.org/resource/Robinson,_Jackie","?m?k","Dodgers","http://dbpedia.org/page/Los_Angeles_Dodgers","08-29",1948,"."
"Wally Westlake","http://dbpedia.org/resource/Wally_Westlake http://dbpedia.org/resource/Wally_Westlake","?m?k","Pirates","http://dbpedia.org/page/Pittsburgh_Pirates","07-30",1948,1
"Joe DiMaggio","http://dbpedia.org/resource/Joe_DiMaggio http://dbpedia.org/resource/Joseph_Paul_DiMaggio http://dbpedia.org/resource/Joltin_Joe_DiMaggio http://dbpedia.org/resource/Joe_Dimaggio http://dbpedia.org/resource/56_game_hit_streak http://dbpedia.org/resource/Joe_DiMaggio http://dbpedia.org/resource/Joltin'_Joe http://dbpedia.org/resource/Joe_dimaggio http://dbpedia.org/resource/56-game_hit_streak http://dbpedia.org/resource/Joe_Dimmagio http://dbpedia.org/resource/Joseph_DiMaggio http://dbpedia.org/resource/Joe_Di_Maggio http://dbpedia.org/resource/Joe_di_Maggio http://dbpedia.org/resource/JOE_DIMAGGIO http://dbpedia.org/resource/56-game_hitting_streak http://dbpedia.org/resource/Giuseppe_Paolo_DiMaggio http://dbpedia.org/resource/Giuseppe_Paolo_DiMaggio,_Jr. http://dbpedia.org/resource/56_game_hitting_streak http://dbpedia.org/resource/Giuseppe_DiMaggio","?`?k","Yankees","http://dbpedia.org/page/New_York_Yankees","05-20",1948,2
"Vic Wertz","http://dbpedia.org/resource/Vic_Wertz http://dbpedia.org/resource/Victor_W._Wertz http://dbpedia.org/resource/Victor_Wertz http://dbpedia.org/resource/Vic_Wertz http://dbpedia.org/resource/Victor_Woodrow_Wertz","?`?k","Tigers","http://dbpedia.org/page/Detroit_Tigers","09-14",1947,"."
"Bobby Doerr","http://dbpedia.org/resource/Bobby_Doerr http://dbpedia.org/resource/Robert_Pershing_Doerr http://dbpedia.org/resource/Bob_Doerr http://dbpedia.org/resource/Bobby_Doerr","?`?k","Red Sox","http://dbpedia.org/page/Boston_Red_Sox","05-13",1947,2
"Ted Williams","http://dbpedia.org/resource/Ted_Williams http://dbpedia.org/resource/Theodore_Samuels_Williams http://dbpedia.org/resource/Ted_Williams_(baseball) http://dbpedia.org/resource/Teddy_Ballgame http://dbpedia.org/resource/Splendid_Splinter http://dbpedia.org/resource/Williams,_Ted http://dbpedia.org/resource/Ted_Williams http://dbpedia.org/resource/Ted_Williams_Brand http://dbpedia.org/resource/Greatest_Hitter_Who_Ever_Lived http://dbpedia.org/resource/Theodore_Samuel_Williams","?`?k","Red Sox","http://dbpedia.org/page/Boston_Red_Sox","07-21",1946,"."
"Mickey Vernon","http://dbpedia.org/resource/Mickey_Vernon http://dbpedia.org/resource/Micky_Vernon http://dbpedia.org/resource/Mickey_Vernon","?`?k","Senators","http://dbpedia.org/resource/History_of_the_Washington_Senators_(1901-60)","05-19",1946,"."
"Bill Salked","http://dbpedia.org/resource/Bill_Salkeld http://dbpedia.org/resource/Bill_Salkeld","?m?k","Pirates","http://dbpedia.org/page/Pittsburgh_Pirates","08-04",1945,"."
"Bob Elliott","http://dbpedia.org/resource/Bob_Elliott_(baseball) http://dbpedia.org/resource/Bob_Elliott_(baseball)","?m?k","Pirates","http://dbpedia.org/page/Pittsburgh_Pirates","07-15",1945,"."
"Dixie Walker","http://dbpedia.org/resource/Dixie_Walker http://dbpedia.org/resource/Fred_�â��Dixie�â��_Walker http://dbpedia.org/resource/Dixie_Walker http://dbpedia.org/resource/Roy_%22Dixie%22_Walker","?m?k","Dodgers","http://dbpedia.org/page/Los_Angeles_Dodgers","09-02",1944,"."
"Bob Johnson","http://dbpedia.org/resource/Bob_Johnson_(outfielder) http://dbpedia.org/resource/Indian_Bob_Johnson http://dbpedia.org/resource/Bob_Johnson_(MLB_outfielder) http://dbpedia.org/resource/Bob_Johnson_(outfielder) http://dbpedia.org/resource/Bob_Johnson_(baseball_player)","?`?k","Red Sox","http://dbpedia.org/page/Boston_Red_Sox","07-06",1944,"."
"Bobby Doerr","http://dbpedia.org/resource/Bobby_Doerr http://dbpedia.org/resource/Robert_Pershing_Doerr http://dbpedia.org/resource/Bob_Doerr http://dbpedia.org/resource/Bobby_Doerr","?`?k","Red Sox","http://dbpedia.org/page/Boston_Red_Sox","05-17",1944,1
"Leon Culberson","http://dbpedia.org/resource/Leon_Culberson http://dbpedia.org/resource/Leon_Culberson","?`?k","Red Sox","http://dbpedia.org/page/Boston_Red_Sox","07-03",1943,"."
"George McQuinn","http://dbpedia.org/resource/George_McQuinn http://dbpedia.org/resource/George_McQuinn","?`?k","Browns","http://dbpedia.org/page/History_of_the_St._Louis_Browns","07-19",1941,"."
"Joe Gordon","http://dbpedia.org/resource/Joe_Gordon http://dbpedia.org/resource/Joseph_Lowell_Gordon http://dbpedia.org/resource/Joe_Gordon http://dbpedia.org/resource/Joe_Gordon_(baseball)","?`?k","Yankees","http://dbpedia.org/page/New_York_Yankees","09-08",1940,"."
"Joe Cronin","http://dbpedia.org/resource/Joe_Cronin http://dbpedia.org/resource/Joe_Cronin http://dbpedia.org/resource/Cronin,_Joe","?`?k","Red Sox","http://dbpedia.org/page/Boston_Red_Sox","08-02",1940,2
"Buddy Rosar","http://dbpedia.org/resource/Buddy_Rosar http://dbpedia.org/resource/Buddy_Rosar","?`?k","Yankees","http://dbpedia.org/page/New_York_Yankees","07-19",1940,"."
"Johnny Mize","http://dbpedia.org/resource/Johnny_Mize http://dbpedia.org/resource/John_Mize http://dbpedia.org/resource/Johnny_Mize http://dbpedia.org/resource/Big_Jawn","?m?k","Cardinals","https://en.wikipedia.org/wiki/St._Louis_Cardinals","07-13",1940,"."
"Harry Danning","http://dbpedia.org/resource/Harry_Danning http://dbpedia.org/resource/Harry_Danning http://dbpedia.org/resource/Harry_the_Horse","?m?k","Giants","http://dbpedia.org/page/San_Francisco_Giants","06-15",1940,"."
"Harry Craft","http://dbpedia.org/resource/Harry_Craft http://dbpedia.org/resource/Harry_Craft","?m?k","Reds","http://dbpedia.org/page/Cincinnati_Reds","06-08",1940,"."
"Arky Vaughan","http://dbpedia.org/resource/Arky_Vaughan http://dbpedia.org/resource/Arky_Vaughn http://dbpedia.org/resource/Floyd_Vaughan http://dbpedia.org/resource/Joseph_Vaughan http://dbpedia.org/resource/Arky_Vaughan","?m?k","Pirates","http://dbpedia.org/page/Pittsburgh_Pirates","07-19",1939,2
"Charlie Gehringer","http://dbpedia.org/resource/Charlie_Gehringer http://dbpedia.org/resource/Charles_Gehringer http://dbpedia.org/resource/Charlie_Gehringer http://dbpedia.org/resource/Charles_Leonard_Gehringer","?`?k","Tigers","http://dbpedia.org/page/Detroit_Tigers","05-27",1939,"."
"Sam Chapman","http://dbpedia.org/resource/Sam_Chapman http://dbpedia.org/resource/Sam_Chapman_(football) http://dbpedia.org/resource/Sam_Chapman","?`?k","Athletics","http://dbpedia.org/page/Oakland_Athletics","05-05",1939,"."
"Odell Hale","http://dbpedia.org/resource/Odell_Hale http://dbpedia.org/resource/Bad_News_Hale http://dbpedia.org/resource/Odell_Hale","?`?k","Indians","http://dbpedia.org/page/Cleveland_Indians","07-12",1938,"."
"Lou Gehrig","http://dbpedia.org/resource/Lou_Gehrig http://dbpedia.org/resource/Biscuit_pants http://dbpedia.org/resource/Henry_Louis_Gehrig http://dbpedia.org/resource/Ludwig_Heinrich_Gehrig http://dbpedia.org/resource/Lou_Gherig http://dbpedia.org/resource/Lou_gerhig http://dbpedia.org/resource/Louis_Gehrig http://dbpedia.org/resource/Henry_Louis_%22Lou%22_Gehrig http://dbpedia.org/resource/Lou_Gehrig http://dbpedia.org/resource/Biscuit_Pants http://dbpedia.org/resource/Luckiest_man_on_the_face_of_the_earth http://dbpedia.org/resource/Lou_Gehrig_Appreciation_Day http://dbpedia.org/resource/The_luckiest_man_on_the_face_of_the_earth http://dbpedia.org/resource/Lou_Gerhig http://dbpedia.org/resource/Gehrig http://dbpedia.org/resource/Lou_gehrig","?`?k","Yankees","http://dbpedia.org/page/New_York_Yankees","08-01",1937,2
"Joe DiMaggio","http://dbpedia.org/resource/Joe_DiMaggio http://dbpedia.org/resource/56_game_hit_streak http://dbpedia.org/resource/56-game_hitting_streak http://dbpedia.org/resource/Joltin_Joe_DiMaggio http://dbpedia.org/resource/Joseph_Paul_DiMaggio http://dbpedia.org/resource/Joe_Dimaggio http://dbpedia.org/resource/Joe_di_Maggio http://dbpedia.org/resource/Joe_dimaggio http://dbpedia.org/resource/Joe_Di_Maggio http://dbpedia.org/resource/Giuseppe_DiMaggio http://dbpedia.org/resource/Giuseppe_Paolo_DiMaggio http://dbpedia.org/resource/56-game_hit_streak http://dbpedia.org/resource/Giuseppe_Paolo_DiMaggio,_Jr. http://dbpedia.org/resource/Joe_DiMaggio http://dbpedia.org/resource/JOE_DIMAGGIO http://dbpedia.org/resource/Joltin'_Joe http://dbpedia.org/resource/Joe_Dimmagio http://dbpedia.org/resource/56_game_hitting_streak http://dbpedia.org/resource/Joseph_DiMaggio","?`?k","Yankees","http://dbpedia.org/page/New_York_Yankees","07-09",1937,1
"Gee Walker","http://dbpedia.org/resource/Gee_Walker http://dbpedia.org/resource/Gerald_Holmes_Walker http://dbpedia.org/resource/Gerald_H._Walker http://dbpedia.org/resource/Gee_Walker","?`?k","Tigers","http://dbpedia.org/page/Detroit_Tigers","04-20",1937,"."
"Sam Leslie","http://dbpedia.org/resource/Sam_Leslie http://dbpedia.org/resource/Sam_Leslie","?m?k","Giants","http://dbpedia.org/page/San_Francisco_Giants","05-24",1936,"."
"Joe Medwick","http://dbpedia.org/resource/Joe_Medwick http://dbpedia.org/resource/Ducky_Medwick http://dbpedia.org/resource/Joe_Medwick http://dbpedia.org/resource/Ducky_medwick http://dbpedia.org/resource/Medwick http://dbpedia.org/resource/Ducky_Joe_Medwick","?m?k","Cardinals","https://en.wikipedia.org/wiki/St._Louis_Cardinals","06-29",1935,"."
"Moose Solters","http://dbpedia.org/resource/Moose_Solters http://dbpedia.org/resource/Moose_Solters http://dbpedia.org/resource/Julius_Joseph_Soltesz http://dbpedia.org/resource/Julius_Joseph_Solters http://dbpedia.org/resource/Julius_J._Soltesz http://dbpedia.org/resource/Julius_J._Solters http://dbpedia.org/resource/Julius_Solters http://dbpedia.org/resource/Julius_Soltesz","?`?k","Red Sox","http://dbpedia.org/page/Boston_Red_Sox","08-19",1934,"."
"Lou Gehrig","http://dbpedia.org/resource/Lou_Gehrig http://dbpedia.org/resource/Biscuit_pants http://dbpedia.org/resource/Henry_Louis_Gehrig http://dbpedia.org/resource/Ludwig_Heinrich_Gehrig http://dbpedia.org/resource/Lou_Gherig http://dbpedia.org/resource/Lou_gerhig http://dbpedia.org/resource/Louis_Gehrig http://dbpedia.org/resource/Henry_Louis_%22Lou%22_Gehrig http://dbpedia.org/resource/Lou_Gehrig http://dbpedia.org/resource/Biscuit_Pants http://dbpedia.org/resource/Luckiest_man_on_the_face_of_the_earth http://dbpedia.org/resource/Lou_Gehrig_Appreciation_Day http://dbpedia.org/resource/The_luckiest_man_on_the_face_of_the_earth http://dbpedia.org/resource/Lou_Gerhig http://dbpedia.org/resource/Gehrig http://dbpedia.org/resource/Lou_gehrig","?`?k","Yankees","http://dbpedia.org/page/New_York_Yankees","06-25",1934,"."
"Roger Cramer","http://dbpedia.org/resource/Doc_Cramer http://dbpedia.org/resource/Doc_Cramer http://dbpedia.org/resource/Roger_Cramer","?`?k","Athletics","http://dbpedia.org/page/Oakland_Athletics","06-10",1934,"."
"Babe Herman","http://dbpedia.org/resource/Babe_Herman http://dbpedia.org/resource/Babe_Herman","?m?k","Cubs","http://dbpedia.org/page/Chicago_Cubs","09-30",1933,3
"Earl Averill","http://dbpedia.org/resource/Earl_Averill http://dbpedia.org/resource/Earl_Averill http://dbpedia.org/resource/H._Earl_Averill http://dbpedia.org/resource/Howard_Earl_Averill","?`?k","Indians","http://dbpedia.org/page/Cleveland_Indians","08-17",1933,"."
"Jimmie Foxx","http://dbpedia.org/resource/Jimmie_Foxx http://dbpedia.org/resource/James_Emory_Foxx http://dbpedia.org/resource/Jimmy_Foxx http://dbpedia.org/resource/Jimmie_Foxx http://dbpedia.org/resource/Jimmie_fox","?`?k","Athletics","http://dbpedia.org/page/Oakland_Athletics","08-14",1933,"."
"Pinky Higgins","http://dbpedia.org/resource/Pinky_Higgins http://dbpedia.org/resource/Pinky_Higgins","?`?k","Athletics","http://dbpedia.org/page/Oakland_Athletics","08-06",1933,"."
"Mickey Cochrane","http://dbpedia.org/resource/Mickey_Cochrane http://dbpedia.org/resource/Gordon_Stanley_%22Mickey%22_Cochrane http://dbpedia.org/resource/Cochrane,_Mickey http://dbpedia.org/resource/Gordon_Stanley_Cochrane http://dbpedia.org/resource/Mickey_Cochrane http://dbpedia.org/resource/Mickey_Cochran","?`?k","Athletics","http://dbpedia.org/page/Oakland_Athletics","08-02",1933,2
"Arky Vaughan","http://dbpedia.org/resource/Arky_Vaughan http://dbpedia.org/resource/Arky_Vaughn http://dbpedia.org/resource/Floyd_Vaughan http://dbpedia.org/resource/Joseph_Vaughan http://dbpedia.org/resource/Arky_Vaughan","?m?k","Pirates","http://dbpedia.org/page/Pittsburgh_Pirates","06-24",1933,1
"Chuck Klein","http://dbpedia.org/resource/Chuck_Klein http://dbpedia.org/resource/Chuck_Klein","?m?k","Phillies","http://dbpedia.org/page/Philadelphia_Phillies","05-26",1933,2
"Pepper Martin","http://dbpedia.org/resource/Pepper_Martin http://dbpedia.org/resource/Pepper_Martin","?m?k","Cardinals","https://en.wikipedia.org/wiki/St._Louis_Cardinals","05-05",1933,"."
"Mickey Cochrane","http://dbpedia.org/resource/Mickey_Cochrane http://dbpedia.org/resource/Mickey_Cochran http://dbpedia.org/resource/Gordon_Stanley_%22Mickey%22_Cochrane http://dbpedia.org/resource/Cochrane,_Mickey http://dbpedia.org/resource/Mickey_Cochrane http://dbpedia.org/resource/Gordon_Stanley_Cochrane","?`?k","Athletics","http://dbpedia.org/page/Oakland_Athletics","07-22",1932,"."
"Tony Lazzeri","http://dbpedia.org/resource/Tony_Lazzeri http://dbpedia.org/resource/Lazzeri http://dbpedia.org/resource/Anthony_Michael_''Tony''_Lazzeri http://dbpedia.org/resource/Tony_Lazzeri http://dbpedia.org/resource/Tony_Lazzerri http://dbpedia.org/resource/Anthony_Michael_Lazzeri http://dbpedia.org/resource/Anthony_Lazzeri http://dbpedia.org/resource/Tony_Lazeri","?`?k","Yankees","http://dbpedia.org/page/New_York_Yankees","06-03",1932,"."
"Babe Herman","http://dbpedia.org/resource/Babe_Herman http://dbpedia.org/resource/Babe_Herman","?m?k","Dodgers","http://dbpedia.org/page/Los_Angeles_Dodgers","07-24",1931,2
"Chuck Klein","http://dbpedia.org/resource/Chuck_Klein http://dbpedia.org/resource/Chuck_Klein","?m?k","Phillies","http://dbpedia.org/page/Philadelphia_Phillies","07-01",1931,1
"Babe Herman","http://dbpedia.org/resource/Babe_Herman http://dbpedia.org/resource/Babe_Herman","?m?k","Dodgers","http://dbpedia.org/page/Los_Angeles_Dodgers","05-18",1931,1
"Chick Hafey","http://dbpedia.org/resource/Chick_Hafey http://dbpedia.org/resource/Charles_J._Hafey http://dbpedia.org/resource/Chick_Hafey http://dbpedia.org/resource/Charles_James_Hafey http://dbpedia.org/resource/Charles_Hafey http://dbpedia.org/resource/Hafey,_Chick","?m?k","Cardinals","https://en.wikipedia.org/wiki/St._Louis_Cardinals","08-21",1930,"."
"Hack Wilson","http://dbpedia.org/resource/Hack_Wilson http://dbpedia.org/resource/Hack_Wilson http://dbpedia.org/resource/Lewis_Robert_Wilson","?m?k","Cubs","http://dbpedia.org/page/Chicago_Cubs","06-23",1930,"."
"Freddy Lindstrom","http://dbpedia.org/resource/Freddie_Lindstrom http://dbpedia.org/resource/Frederick_Charles_Lindstrom http://dbpedia.org/resource/Freddy_Lindstrom http://dbpedia.org/resource/Lindstrom,_Fred http://dbpedia.org/resource/Freddie_Lindstrom","?m?k","Giants","http://dbpedia.org/page/San_Francisco_Giants","05-08",1930,"."
"Joe Cronin","http://dbpedia.org/resource/Joe_Cronin http://dbpedia.org/resource/Joe_Cronin http://dbpedia.org/resource/Cronin,_Joe","?`?k","Senators","http://dbpedia.org/resource/History_of_the_Washington_Senators_(1901-60)","09-02",1929,1
"Oscar Melillo","http://dbpedia.org/resource/Ski_Melillo http://dbpedia.org/resource/Oscar_Melillo http://dbpedia.org/resource/Ski_Melillo","?`?k","Browns","http://dbpedia.org/page/History_of_the_St._Louis_Browns","05-23",1929,"."
"Mel Ott","http://dbpedia.org/resource/Mel_Ott http://dbpedia.org/resource/Melvin_T._Ott http://dbpedia.org/resource/Melvin_Thomas_Ott http://dbpedia.org/resource/Mel_Ott http://dbpedia.org/resource/Mel_ott http://dbpedia.org/resource/Melvin_Ott http://dbpedia.org/resource/Mel_Ott_Award","?m?k","Giants","http://dbpedia.org/page/San_Francisco_Giants","05-16",1929,"."
"Bob Meusel","http://dbpedia.org/resource/Bob_Meusel http://dbpedia.org/resource/Robert_William_%22Bob%22_Meusel http://dbpedia.org/resource/Robert_William_Meusel http://dbpedia.org/resource/Bob_Meusel http://dbpedia.org/resource/Robert_Meusel","?`?k","Yankees","http://dbpedia.org/page/New_York_Yankees","07-26",1928,3
"Bill Terry","http://dbpedia.org/resource/Bill_Terry http://dbpedia.org/resource/Bill_Terry","?m?k","Giants","http://dbpedia.org/page/San_Francisco_Giants","05-29",1928,"."
"Cy Williams","http://dbpedia.org/resource/Cy_Williams http://dbpedia.org/resource/Cy_Williams","?m?k","Phillies","http://dbpedia.org/page/Philadelphia_Phillies","08-05",1927,"."
"Jim Bottomley","http://dbpedia.org/resource/Jim_Bottomley http://dbpedia.org/resource/Sunny_Jim_Bottomley http://dbpedia.org/resource/Jim_Bottomley http://dbpedia.org/resource/Jim_Bottomly","?m?k","Cardinals","https://en.wikipedia.org/wiki/St._Louis_Cardinals","07-15",1927,"."
"Bob Fothergill","http://dbpedia.org/resource/Bob_Fothergill http://dbpedia.org/resource/Fats_Fothergill http://dbpedia.org/resource/Bob_Fothergill http://dbpedia.org/resource/Robert_R._Fothergill http://dbpedia.org/resource/Robert_Fothergill http://dbpedia.org/resource/Robert_Roy_Fothergill http://dbpedia.org/resource/Fatty_Fothergill","?`?k","Tigers","http://dbpedia.org/page/Detroit_Tigers","09-26",1926,"."
"Roy Carlyle","http://dbpedia.org/resource/Roy_Carlyle http://dbpedia.org/resource/Roy_Carlyle","?`?k","Red Sox","http://dbpedia.org/page/Boston_Red_Sox","07-21",1925,"."
"Max Carey","http://dbpedia.org/resource/Max_Carey http://dbpedia.org/resource/Max_Carey","?m?k","Pirates","http://dbpedia.org/page/Pittsburgh_Pirates","06-20",1925,"."
"Kiki Cuyler","http://dbpedia.org/resource/Kiki_Cuyler http://dbpedia.org/resource/Hazen_Shirley_Cuyler http://dbpedia.org/resource/Hazen_Cuyler http://dbpedia.org/resource/Cuyler,_Hazen_Shirley http://dbpedia.org/resource/Kiki_Cuyler","?m?k","Pirates","http://dbpedia.org/page/Pittsburgh_Pirates","06-04",1925,"."
"Goose Goslin","http://dbpedia.org/resource/Goose_Goslin http://dbpedia.org/resource/Goose_Goslin http://dbpedia.org/resource/Leon_Goslin","?`?k","Senators","http://dbpedia.org/resource/History_of_the_Washington_Senators_(1901-60)","08-28",1924,"."
"Baby Doll Jacobson","http://dbpedia.org/resource/Baby_Doll_Jacobson http://dbpedia.org/resource/Baby_Doll_Jacobson","?`?k","Browns","http://dbpedia.org/page/History_of_the_St._Louis_Browns","04-17",1924,"."
"Pie Traynor","http://dbpedia.org/resource/Pie_Traynor http://dbpedia.org/resource/Harold_J._Traynor http://dbpedia.org/resource/Pie_Traynor http://dbpedia.org/resource/Harold_Joseph_%22Pie%22_Traynor","?m?k","Pirates","http://dbpedia.org/page/Pittsburgh_Pirates","07-07",1923,"."
"Bob Meusel","http://dbpedia.org/resource/Bob_Meusel http://dbpedia.org/resource/Robert_William_Meusel http://dbpedia.org/resource/Robert_William_%22Bob%22_Meusel http://dbpedia.org/resource/Bob_Meusel http://dbpedia.org/resource/Robert_Meusel","?`?k","Yankees","http://dbpedia.org/page/New_York_Yankees","07-03",1922,2
"Ray Schalk","http://dbpedia.org/resource/Ray_Schalk http://dbpedia.org/resource/Cracker_Schalk http://dbpedia.org/resource/Ray_Schalk","?`?k","White Sox","http://dbpedia.org/page/Chicago_White_Sox","06-27",1922,"."
"Jimmy Johnston","http://dbpedia.org/resource/Jimmy_Johnston http://dbpedia.org/resource/Jimmy_Johnston","?m?k","Dodgers","http://dbpedia.org/page/Los_Angeles_Dodgers","05-25",1922,"."
"Ross Youngs","http://dbpedia.org/resource/Ross_Youngs http://dbpedia.org/resource/Ross_Youngs","?m?k","Giants","http://dbpedia.org/page/San_Francisco_Giants","04-29",1922,"."
"Dave Robertson","http://dbpedia.org/resource/Dave_Robertson http://dbpedia.org/resource/Davis_Robertson http://dbpedia.org/resource/Dave_Robertson http://dbpedia.org/resource/Davis_A._Robertson http://dbpedia.org/resource/Davis_Aydelotte_Robertson","?m?k","Pirates","http://dbpedia.org/page/Pittsburgh_Pirates","08-30",1921,"."
"George Sisler","http://dbpedia.org/resource/George_Sisler http://dbpedia.org/resource/George_Harold_Sisler http://dbpedia.org/resource/George_Sisler http://dbpedia.org/resource/George_%22The_Sizzler%22_Sisler http://dbpedia.org/resource/Sizzler_Sisler","?`?k","Browns","http://dbpedia.org/page/History_of_the_St._Louis_Browns","08-13",1921,2
"Dave Bancroft","http://dbpedia.org/resource/Dave_Bancroft http://dbpedia.org/resource/Dave_Bancroft http://dbpedia.org/resource/David_Bancroft","?m?k","Giants","http://dbpedia.org/page/San_Francisco_Giants","06-01",1921,"."
"Bob Meusel","http://dbpedia.org/resource/Bob_Meusel http://dbpedia.org/resource/Robert_William_%22Bob%22_Meusel http://dbpedia.org/resource/Robert_William_Meusel http://dbpedia.org/resource/Bob_Meusel http://dbpedia.org/resource/Robert_Meusel","?`?k","Yankees","http://dbpedia.org/page/New_York_Yankees","05-07",1921,1
"Bobby Veach","http://dbpedia.org/resource/Bobby_Veach http://dbpedia.org/resource/Bobby_Veach","?`?k","Tigers","http://dbpedia.org/page/Detroit_Tigers","09-17",1920,"."
"George Burns","http://dbpedia.org/resource/George_Burns_(outfielder) http://dbpedia.org/resource/George_J._Burns http://dbpedia.org/resource/George_Burns_(outfielder)","?m?k","Giants","http://dbpedia.org/page/San_Francisco_Giants","09-17",1920,"."
"George Sisler","http://dbpedia.org/resource/George_Sisler http://dbpedia.org/resource/George_Harold_Sisler http://dbpedia.org/resource/George_Sisler http://dbpedia.org/resource/George_%22The_Sizzler%22_Sisler http://dbpedia.org/resource/Sizzler_Sisler","?`?k","Browns","http://dbpedia.org/page/History_of_the_St._Louis_Browns","08-08",1920,1
"Cliff Heathcote","http://dbpedia.org/resource/Cliff_Heathcote http://dbpedia.org/resource/Cliff_Heathcote","?m?k","Cardinals","https://en.wikipedia.org/wiki/St._Louis_Cardinals","07-13",1918,"."
"Heinie Groh","http://dbpedia.org/resource/Heinie_Groh http://dbpedia.org/resource/Heinie_Groh","?m?k","Reds","http://dbpedia.org/page/Cincinnati_Reds","07-05",1915,"."
"Honus Wagner","http://dbpedia.org/resource/Honus_Wagner http://dbpedia.org/resource/Honus'_Wagner http://dbpedia.org/resource/John_P._Wagner http://dbpedia.org/resource/Honus http://dbpedia.org/resource/Honus_Wagner http://dbpedia.org/resource/John_Peter_Wagner http://dbpedia.org/resource/Johannes_Peter_%22Honus%22_Wagner http://dbpedia.org/resource/Johannes_Wagner","?m?k","Pirates","http://dbpedia.org/page/Pittsburgh_Pirates","08-22",1912,"."
"Bert Daniels","http://dbpedia.org/resource/Bert_Daniels http://dbpedia.org/resource/Bert_Daniels","?`?k","Yankees","http://dbpedia.org/page/New_York_Yankees","07-25",1912,"."
"Chief Meyers","http://dbpedia.org/resource/Chief_Meyers http://dbpedia.org/resource/Chief_Meyers http://dbpedia.org/resource/John_Tortes_%22Chief%22_Meyers","?m?k","Giants","http://dbpedia.org/page/San_Francisco_Giants","06-10",1912,"."
"Tris Speaker","http://dbpedia.org/resource/Tris_Speaker http://dbpedia.org/resource/Tristram_Speaker http://dbpedia.org/resource/Tris_Speaker","?`?k","Red Sox","http://dbpedia.org/page/Boston_Red_Sox","06-09",1912,"."
"Mike Mitchell","http://dbpedia.org/resource/Mike_Mitchell_(baseball) http://dbpedia.org/resource/Mike_Mitchell_(baseball) http://dbpedia.org/resource/Mike_Mitchell_(baseball_player)","?m?k","Reds","http://dbpedia.org/page/Cincinnati_Reds","08-19",1911,"."
